Jammer,Algorithm,DeltaSINR_dB,Pd_before,Pd_after,PeakError_before,PeakError_after,FalsePeak_before,FalsePeak_after,TargetPeakLoss_dB,Conclusion
FMZuse,Identity,0.0,0.7,0.7,112.5875,112.5875,1.5375,1.5375,-7.883377039073126e-15,Baseline
FMZuse,WLN,1.433307319966815,0.7,0.7875,112.5875,57.7125,1.5375,1.2875,3.6816563804073716,Recommended
FMZuse,FDC,0.0007362430398910047,0.7,0.7,112.5875,112.5875,1.5375,1.5375,-0.003176846051612054,Neutral
FMZuse,adapt_filter,18.138675371678666,0.7,1.0,112.5875,1.0,1.5375,219.4875,-0.5290904119640187,Recommended
FMZuse,FrFT,-0.18032299913055366,0.7,0.6625,112.5875,112.6,1.5375,1.5,-0.32720562650132307,Harmful/Not demonstrated
FMZuse,qpzh,1.4337502902462205,0.7,0.75,112.5875,112.475,1.5375,1.6625,-2.4303289891563624,Conditional
FMNoiseAimedJam,Identity,0.0,0.525,0.525,151.7875,151.7875,1.1125,1.1125,-6.714129985877264e-15,Baseline
FMNoiseAimedJam,WLN,1.25263633678756,0.525,0.6,151.7875,111.5,1.1125,0.975,3.4101776986579866,Recommended
FMNoiseAimedJam,FDC,-0.002272990042039835,0.525,0.525,151.7875,151.7875,1.1125,1.1125,-0.07293735602203015,Neutral
FMNoiseAimedJam,adapt_filter,22.348670656552258,0.525,1.0,151.7875,1.0,1.1125,221.2,-1.161951736122943,Conditional
FMNoiseAimedJam,FrFT,-0.24294420132879163,0.525,0.525,151.7875,151.775,1.1125,1.0375,-0.3970781911705015,Conditional
FMNoiseAimedJam,qpzh,-1.1669048262520039,0.525,0.5875,151.7875,151.6375,1.1125,1.575,-5.487895794705974,Conditional
FMNoiseSaopin,Identity,0.0,1.0,1.0,242.3875,242.3875,1.2,1.2,-8.654839012315754e-15,Baseline
FMNoiseSaopin,WLN,5.829462314054712,1.0,1.0,242.3875,15.075,1.2,1.25,5.201264978227566,Recommended
FMNoiseSaopin,FDC,0.0020044371757607627,1.0,1.0,242.3875,242.4,1.2,1.2,-0.027773650138711192,Neutral
FMNoiseSaopin,adapt_filter,20.331921170016393,1.0,1.0,242.3875,1.0,1.2,217.975,-0.15347522426510934,Recommended
FMNoiseSaopin,FrFT,-0.09095063817465482,1.0,0.9875,242.3875,220.7375,1.2,1.0875,-0.3409501130694127,Harmful/Not demonstrated
FMNoiseSaopin,qpzh,3.3408099639645386,1.0,0.975,242.3875,156.3125,1.2,1.4875,-0.1982447721884276,Harmful/Not demonstrated
AMNoiseGaiJam,Identity,0.0,0.5125,0.5125,78.8625,78.8625,1.2125,1.2125,-5.773910705987808e-15,Baseline
AMNoiseGaiJam,WLN,1.3147114692753514,0.5125,0.65,78.8625,19.9875,1.2125,1.1375,3.357668999964125,Recommended
AMNoiseGaiJam,FDC,0.04568377316946222,0.5125,0.6125,78.8625,100.325,1.2125,1.1625,-2.2848618424591516,Conditional
AMNoiseGaiJam,adapt_filter,19.61520460716714,0.5125,1.0,78.8625,1.0,1.2125,223.675,-0.06985197786804682,Recommended
AMNoiseGaiJam,FrFT,-0.06812103515134454,0.5125,0.5125,78.8625,78.875,1.2125,1.2875,-0.4474139943870036,Neutral
AMNoiseGaiJam,qpzh,0.011950223787087466,0.5125,0.55,78.8625,80.2625,1.2125,1.2375,-3.0753880000054967,Harmful/Not demonstrated
SMSP,Identity,0.0,0.4875,0.4875,259.2625,259.2625,1.3,1.3,-7.7146197324263e-15,Baseline
SMSP,WLN,1.336605070844529,0.4875,0.25,259.2625,259.625,1.3,1.35,3.3021476521384763,Harmful/Not demonstrated
SMSP,FDC,-4.884981308350689e-16,0.4875,0.4875,259.2625,259.2625,1.3,1.3,-7.063698692502832e-15,Neutral
SMSP,adapt_filter,25.9993637822883,0.4875,1.0,259.2625,1.0,1.3,225.45,-2.0405458067444693,Conditional
SMSP,FrFT,0.007113708191443224,0.4875,0.275,259.2625,259.4625,1.3,1.2875,-0.7811485899436723,Harmful/Not demonstrated
SMSP,qpzh,0.9757523527010041,0.4875,0.5,259.2625,259.1,1.3,1.8125,-3.9425930919610197,Conditional
NoiseProductJamming,Identity,0.0,0.325,0.325,75.0875,75.0875,1.0125,1.0125,-5.725694332660144e-15,Baseline
NoiseProductJamming,WLN,1.8801148088760988,0.325,0.45,75.0875,53.4,1.0125,0.8125,2.40054016915173,Recommended
NoiseProductJamming,FDC,-0.02060894143998122,0.325,0.325,75.0875,75.075,1.0125,1.075,-0.32311590349055674,Conditional
NoiseProductJamming,adapt_filter,22.286697968258313,0.325,1.0,75.0875,1.0,1.0125,216.85,-1.3597250940217263,Conditional
NoiseProductJamming,FrFT,-0.050500093426946745,0.325,0.3125,75.0875,75.025,1.0125,0.9375,-0.25334211891657277,Harmful/Not demonstrated
NoiseProductJamming,qpzh,3.8233561501608313,0.325,0.5375,75.0875,74.6,1.0125,1.0875,-8.233150554755898,Conditional
NoiseConvolutionJamming,Identity,0.0,0.3625,0.3625,174.7,174.7,1.0375,1.0375,-6.400723559247447e-15,Baseline
NoiseConvolutionJamming,WLN,1.3981858698422247,0.3625,0.3875,174.7,148.4,1.0375,0.95,3.296761906267114,Recommended
NoiseConvolutionJamming,FDC,2.9420910152566647e-16,0.3625,0.3625,174.7,174.7,1.0375,1.0375,-5.159151946060089e-15,Neutral
NoiseConvolutionJamming,adapt_filter,24.480119653647883,0.3625,1.0,174.7,1.0,1.0375,216.9625,-2.334874157237607,Conditional
NoiseConvolutionJamming,FrFT,-0.22383880925457564,0.3625,0.3375,174.7,189.625,1.0375,1.05,-0.38080964011886836,Harmful/Not demonstrated
NoiseConvolutionJamming,qpzh,-1.4859221982962094,0.3625,0.4875,174.7,174.6375,1.0375,1.4125,-5.06351770519626,Conditional
