Jammer,Algorithm,JSR_dB,Trials,InterfacePassRate,Pd_before,Pd_after,MeanDeltaSINR_dB,MeanPeakError_before,MeanPeakError_after,MeanFalsePeak_before,MeanFalsePeak_after,MeanTargetPeakLoss_dB,MeanRuntime_ms,Conclusion
FMZuse,Identity,0.0,20,1.0,1.0,1.0,0.0,0.0,0.0,1.5,1.5,-8.630730825651923e-15,0.0030229537514969707,Baseline
FMZuse,Identity,10.0,20,1.0,1.0,1.0,0.0,0.15,0.15,1.55,1.55,-8.437865332341269e-15,0.0029041519155725837,Baseline
FMZuse,Identity,20.0,20,1.0,0.8,0.8,0.0,0.6,0.6,1.5,1.5,-7.907485225736957e-15,0.002900004619732499,Baseline
FMZuse,Identity,30.0,20,1.0,0.0,0.0,0.0,449.6,449.6,1.6,1.6,-6.5574267725623554e-15,0.0028354028472676873,Baseline
FMNoiseAimedJam,Identity,0.0,20,1.0,1.0,1.0,0.0,0.0,0.0,1.2,1.2,-8.486081705668932e-15,0.002914547803811729,Baseline
FMNoiseAimedJam,Identity,10.0,20,1.0,0.9,0.9,0.0,0.65,0.65,1.1,1.1,-8.148567092375279e-15,0.0028646027203649282,Baseline
FMNoiseAimedJam,Identity,20.0,20,1.0,0.15,0.15,0.0,242.2,242.2,1.1,1.1,-6.702075892545349e-15,0.0028583541279658675,Baseline
FMNoiseAimedJam,Identity,30.0,20,1.0,0.05,0.05,0.0,364.3,364.3,1.05,1.05,-3.5197952529194987e-15,0.003010459477081895,Baseline
FMNoiseSaopin,Identity,0.0,20,1.0,1.0,1.0,0.0,0.0,0.0,1.45,1.45,-8.678947198979587e-15,0.0032249459763988853,Baseline
FMNoiseSaopin,Identity,10.0,20,1.0,1.0,1.0,0.0,0.0,0.0,1.2,1.2,-8.678947198979587e-15,0.0029126473236829042,Baseline
FMNoiseSaopin,Identity,20.0,20,1.0,1.0,1.0,0.0,37.4,37.4,1.1,1.1,-8.678947198979587e-15,0.0032708485377952456,Baseline
FMNoiseSaopin,Identity,30.0,20,1.0,1.0,1.0,0.0,932.15,932.15,1.05,1.05,-8.582514452324259e-15,0.0028834561817348003,Baseline
AMNoiseGaiJam,Identity,0.0,20,1.0,1.0,1.0,0.0,0.0,0.0,1.3,1.3,-7.762836105753968e-15,0.0029560993425548077,Baseline
AMNoiseGaiJam,Identity,10.0,20,1.0,1.0,1.0,0.0,0.1,0.1,1.3,1.3,-6.8467250125283395e-15,0.0029561546398326755,Baseline
AMNoiseGaiJam,Identity,20.0,20,1.0,0.05,0.05,0.0,0.7,0.7,1.15,1.15,-5.400233812698409e-15,0.0028563052183017135,Baseline
AMNoiseGaiJam,Identity,30.0,20,1.0,0.0,0.0,0.0,314.65,314.65,1.1,1.1,-3.0858478929705195e-15,0.0028104521334171295,Baseline
SMSP,Identity,0.0,20,1.0,1.0,1.0,0.0,0.0,0.0,1.3,1.3,-9.643274665532876e-15,0.0028520909836515784,Baseline
SMSP,Identity,10.0,20,1.0,0.95,0.95,0.0,1.05,1.05,1.3,1.3,-9.643274665532876e-15,0.002833310281857848,Baseline
SMSP,Identity,20.0,20,1.0,0.0,0.0,0.0,518.0,518.0,1.3,1.3,-8.678947198979587e-15,0.00286244903691113,Baseline
SMSP,Identity,30.0,20,1.0,0.0,0.0,0.0,518.0,518.0,1.3,1.3,-2.8929823996598616e-15,0.002845804556272924,Baseline
NoiseProductJamming,Identity,0.0,20,1.0,1.0,1.0,0.0,0.0,0.0,1.1,1.1,-8.341432585685937e-15,0.002914608921855688,Baseline
NoiseProductJamming,Identity,10.0,20,1.0,0.3,0.3,0.0,0.9,0.9,0.95,0.95,-7.521754239115643e-15,0.002845795825123787,Baseline
NoiseProductJamming,Identity,20.0,20,1.0,0.0,0.0,0.0,135.5,135.5,0.95,0.95,-5.0627191994047584e-15,0.002812602906487882,Baseline
NoiseProductJamming,Identity,30.0,20,1.0,0.0,0.0,0.0,163.95,163.95,1.05,1.05,-1.976871306434239e-15,0.0028374575776979327,Baseline
NoiseConvolutionJamming,Identity,0.0,20,1.0,1.0,1.0,0.0,0.4,0.4,1.05,1.05,-8.630730825651923e-15,0.0028352485969662666,Baseline
NoiseConvolutionJamming,Identity,10.0,20,1.0,0.45,0.45,0.0,28.35,28.35,1.05,1.05,-8.534298078996594e-15,0.0028583977837115526,Baseline
NoiseConvolutionJamming,Identity,20.0,20,1.0,0.0,0.0,0.0,314.6,314.6,1.05,1.05,-6.123479412613375e-15,0.0028479058528319,Baseline
NoiseConvolutionJamming,Identity,30.0,20,1.0,0.0,0.0,0.0,355.45,355.45,1.0,1.0,-2.3143859197278896e-15,0.0028084032237529755,Baseline
