Jammer,Algorithm,JSR_dB,Trials,InterfacePassRate,Pd_before,Pd_after,MeanDeltaSINR_dB,MeanPeakError_before,MeanPeakError_after,MeanFalsePeak_before,MeanFalsePeak_after,MeanTargetPeakLoss_dB,MeanRuntime_ms,Conclusion
FMZuse,Identity,0.0,20,1.0,1.0,1.0,0.0,0.0,0.0,1.5,1.5,-8.630730825651923e-15,0.0030229537514969707,Baseline
FMZuse,WLN,0.0,20,1.0,1.0,1.0,-1.1191712619835166,0.0,0.0,1.5,1.45,2.099771279854817,2.2225519962375984,Conditional
FMZuse,FDC,0.0,20,1.0,1.0,1.0,0.0,0.0,0.0,1.5,1.5,-7.859268852409295e-15,0.2698584081372246,Neutral
FMZuse,adapt_filter,0.0,20,1.0,1.0,1.0,5.931661003832946,0.0,1.0,1.5,215.1,-0.1552960313536441,25.67913339007646,Recommended
FMZuse,FrFT,0.0,20,1.0,1.0,1.0,-0.2505087864521567,0.0,0.0,1.5,1.55,-0.33692319819882144,36.490197901730426,Harmful/Not demonstrated
FMZuse,qpzh,0.0,20,1.0,1.0,1.0,1.3021728017882919,0.0,0.0,1.5,1.45,-0.0021998809984941367,0.7007438922300935,Recommended
FMZuse,Identity,10.0,20,1.0,1.0,1.0,0.0,0.15,0.15,1.55,1.55,-8.437865332341269e-15,0.0029041519155725837,Baseline
FMZuse,WLN,10.0,20,1.0,1.0,1.0,1.1350252408198964,0.15,0.15,1.55,1.15,3.3387004788613353,2.168879102100618,Recommended
FMZuse,FDC,10.0,20,1.0,1.0,1.0,0.00015304414817212119,0.15,0.15,1.55,1.55,-0.0020031964654811285,0.2753772016149014,Neutral
FMZuse,adapt_filter,10.0,20,1.0,1.0,1.0,13.313262819220792,0.15,1.0,1.55,220.65,-0.167374851244533,23.520916694542393,Recommended
FMZuse,FrFT,10.0,20,1.0,1.0,1.0,-0.2170310061715961,0.15,0.15,1.55,1.4,-0.3316922586149734,36.36492706136778,Conditional
FMZuse,qpzh,10.0,20,1.0,1.0,1.0,2.507873652913794,0.15,0.15,1.55,1.5,-0.07487416795368941,0.7025020575383678,Recommended
FMZuse,Identity,20.0,20,1.0,0.8,0.8,0.0,0.6,0.6,1.5,1.5,-7.907485225736957e-15,0.002900004619732499,Baseline
FMZuse,WLN,20.0,20,1.0,0.8,0.85,2.823127092811845,0.6,0.5,1.5,1.25,4.645110715026641,2.167804096825421,Recommended
FMZuse,FDC,20.0,20,1.0,0.8,0.8,0.0005405350662258002,0.6,0.6,1.5,1.5,-0.0053185806676995535,0.2675813448149711,Neutral
FMZuse,adapt_filter,20.0,20,1.0,0.8,1.0,22.62085952028386,0.6,1.0,1.5,226.05,-0.3069147316634973,23.56509166129399,Recommended
FMZuse,FrFT,20.0,20,1.0,0.8,0.65,-0.20444741251982287,0.6,0.7,1.5,1.5,-0.33079479528920114,36.325133399805054,Harmful/Not demonstrated
FMZuse,qpzh,20.0,20,1.0,0.8,1.0,2.6461177263616618,0.6,0.6,1.5,1.35,-0.23417014130290034,0.709974960773252,Recommended
FMZuse,Identity,30.0,20,1.0,0.0,0.0,0.0,449.6,449.6,1.6,1.6,-6.5574267725623554e-15,0.0028354028472676873,Baseline
FMZuse,WLN,30.0,20,1.0,0.0,0.3,2.894248208219035,449.6,230.2,1.6,1.3,4.6430430478866915,2.1382666542194784,Recommended
FMZuse,FDC,30.0,20,1.0,0.0,0.0,0.0022513929451660974,449.6,449.6,1.6,1.6,-0.005385607073259674,0.26625205064192414,Neutral
FMZuse,adapt_filter,30.0,20,1.0,0.0,1.0,30.688918143377077,449.6,1.0,1.6,216.15,-1.4867760335944005,23.47895624989178,Conditional
FMZuse,FrFT,30.0,20,1.0,0.0,0.0,-0.04930479137863904,449.6,449.55,1.6,1.55,-0.3094122539022962,36.26678345608525,Conditional
FMZuse,qpzh,30.0,20,1.0,0.0,0.0,-0.7211630200788659,449.6,449.15,1.6,2.35,-9.410071766370367,0.8241146948421374,Conditional
FMNoiseAimedJam,Identity,0.0,20,1.0,1.0,1.0,0.0,0.0,0.0,1.2,1.2,-8.486081705668932e-15,0.002914547803811729,Baseline
FMNoiseAimedJam,WLN,0.0,20,1.0,1.0,1.0,-0.3811044986662708,0.0,0.0,1.2,0.95,2.146557685610209,2.154429044458084,Conditional
FMNoiseAimedJam,FDC,0.0,20,1.0,1.0,1.0,-0.001979425579528815,0.0,0.0,1.2,1.2,-0.05648621259100979,0.2662251557921991,Neutral
FMNoiseAimedJam,adapt_filter,0.0,20,1.0,1.0,1.0,10.441992458808883,0.0,1.0,1.2,223.95,-0.1835080297415458,23.642893802025355,Recommended
FMNoiseAimedJam,FrFT,0.0,20,1.0,1.0,1.0,-0.24574576040560778,0.0,0.0,1.2,0.9,-0.3325684331358912,36.43521875492297,Conditional
FMNoiseAimedJam,qpzh,0.0,20,1.0,1.0,1.0,1.6429285380043546,0.0,0.0,1.2,1.15,0.2801569620354651,0.6618625135160983,Recommended
