Jammer,Algorithm,JSR_dB,Trials,InterfacePassRate,Pd_before,Pd_after,MeanDeltaSINR_dB,DeltaSINR_std_dB,DeltaSINR_ci95_dB,MeanPeakError_before,MeanPeakError_after,MeanFalsePeak_before,MeanFalsePeak_after,MeanWindowPeakChange_dB,MeanCleanTargetLoss_dB,CleanTargetLoss_std_dB,CleanTargetLoss_ci95_dB,Pd_after_ci95,MeanRuntime_ms,Conclusion
FMZuse,Identity,0.0,20,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,-8.630730825651923e-15,-0.00047182872296014226,0.12489896221464851,0.054739383686901816,0.0,0.0028875074349343777,Baseline
FMZuse,Identity,10.0,20,1.0,1.0,1.0,0.0,0.0,0.0,0.15,0.15,0.65,0.65,-8.437865332341269e-15,0.06898071217879227,0.3689562411551851,0.16170220224537668,0.0,0.0027707050321623683,Baseline
FMZuse,Identity,20.0,20,1.0,0.55,0.55,0.0,0.0,0.0,0.6,0.6,0.65,0.65,-7.907485225736957e-15,0.3085269031084113,1.1486468997240258,0.503416699785752,0.22370045761428853,0.002779092756099999,Baseline
FMZuse,Identity,30.0,20,1.0,0.0,0.0,0.0,0.0,0.0,449.6,449.6,0.8,0.8,-6.5574267725623554e-15,1.0716147392489206,4.104464160477834,1.798860731311848,0.0,0.002810446312651038,Baseline
FMNoiseAimedJam,Identity,0.0,20,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,-8.486081705668932e-15,0.08252987574264173,0.3375262942676915,0.1479274206825265,0.0,0.0028103531803935766,Baseline
FMNoiseAimedJam,Identity,10.0,20,1.0,0.85,0.85,0.0,0.0,0.0,0.65,0.65,0.4,0.4,-8.148567092375279e-15,0.28913778634784676,1.0560703539519696,0.46284323968993807,0.16055889229418857,0.002729301922954619,Baseline
FMNoiseAimedJam,Identity,20.0,20,1.0,0.1,0.1,0.0,0.0,0.0,242.2,242.2,0.4,0.4,-6.702075892545349e-15,1.101887657357312,2.9751355506170825,1.3039106453573883,0.1348964515158903,0.0027394969947636127,Baseline
FMNoiseAimedJam,Identity,30.0,20,1.0,0.05,0.05,0.0,0.0,0.0,364.3,364.3,0.4,0.4,-3.5197952529194987e-15,5.0803084721390865,4.882877533435531,2.1400154337513966,0.09799999999999998,0.0027916044928133488,Baseline
FMNoiseSaopin,Identity,0.0,20,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.45,0.45,-8.678947198979587e-15,0.012983233571473029,0.05837412818903607,0.025583589676562383,0.0,0.002776953624561429,Baseline
FMNoiseSaopin,Identity,10.0,20,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,-8.678947198979587e-15,0.014158074871887688,0.06057903637876601,0.026549933297453282,0.0,0.0027583097107708454,Baseline
FMNoiseSaopin,Identity,20.0,20,1.0,1.0,1.0,0.0,0.0,0.0,37.4,37.4,0.4,0.4,-8.678947198979587e-15,0.017880133853690285,0.07406589776186269,0.0324608109131746,0.0,0.002752145519480109,Baseline
FMNoiseSaopin,Identity,30.0,20,1.0,1.0,1.0,0.0,0.0,0.0,932.15,932.15,0.35,0.35,-8.582514452324259e-15,0.029715589311311724,0.14531231854839963,0.06368593155949571,0.0,0.002754107117652893,Baseline
