Jammer,Algorithm,JSR_dB,Trials,InterfacePassRate,Pd_before,Pd_after,MeanDeltaSINR_dB,DeltaSINR_std_dB,DeltaSINR_ci95_dB,MeanPeakError_before,MeanPeakError_after,MeanFalsePeak_before,MeanFalsePeak_after,MeanWindowPeakChange_dB,MeanReferenceResponseVsClean_dB,MeanTargetOnlyResponseChange_dB,TargetOnlyResponseChange_std_dB,TargetOnlyResponseChange_ci95_dB,Pd_after_ci95,MeanRuntime_ms,Conclusion
FMZuse,Identity,0.0,20,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,-8.630730825651923e-15,-0.00047182872296014226,-8.678947198979587e-15,0.0,0.0,0.0,0.417989757261239,Baseline
FMZuse,Identity,10.0,20,1.0,1.0,1.0,0.0,0.0,0.0,0.15,0.15,0.65,0.65,-8.437865332341269e-15,0.06898071217879227,-8.678947198979587e-15,0.0,0.0,0.0,0.40986660751514137,Baseline
FMZuse,Identity,20.0,20,1.0,0.55,0.55,0.0,0.0,0.0,0.6,0.6,0.65,0.65,-7.907485225736957e-15,0.3085269031084113,-8.678947198979587e-15,0.0,0.0,0.22370045761428853,0.4052958363899961,Baseline
FMZuse,Identity,30.0,20,1.0,0.0,0.0,0.0,0.0,0.0,449.6,449.6,0.8,0.8,-6.5574267725623554e-15,1.0716147392489206,-8.678947198979587e-15,0.0,0.0,0.0,0.4122458543861285,Baseline
FMNoiseAimedJam,Identity,0.0,20,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,-8.486081705668932e-15,0.08252987574264173,-8.678947198979587e-15,0.0,0.0,0.0,0.4118855023989454,Baseline
FMNoiseAimedJam,Identity,10.0,20,1.0,0.85,0.85,0.0,0.0,0.0,0.65,0.65,0.4,0.4,-8.148567092375279e-15,0.28913778634784676,-8.678947198979587e-15,0.0,0.0,0.16055889229418857,0.41520225640852004,Baseline
FMNoiseAimedJam,Identity,20.0,20,1.0,0.1,0.1,0.0,0.0,0.0,242.2,242.2,0.4,0.4,-6.702075892545349e-15,1.101887657357312,-8.678947198979587e-15,0.0,0.0,0.1348964515158903,0.4132771980948746,Baseline
FMNoiseAimedJam,Identity,30.0,20,1.0,0.05,0.05,0.0,0.0,0.0,364.3,364.3,0.4,0.4,-3.5197952529194987e-15,5.0803084721390865,-8.678947198979587e-15,0.0,0.0,0.09799999999999998,0.4442562465555966,Baseline
FMNoiseSaopin,Identity,0.0,20,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.45,0.45,-8.678947198979587e-15,0.012983233571473029,-8.678947198979587e-15,0.0,0.0,0.0,0.4464728990569711,Baseline
FMNoiseSaopin,Identity,10.0,20,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,-8.678947198979587e-15,0.014158074871887688,-8.678947198979587e-15,0.0,0.0,0.0,0.414754098164849,Baseline
FMNoiseSaopin,Identity,20.0,20,1.0,1.0,1.0,0.0,0.0,0.0,37.4,37.4,0.4,0.4,-8.678947198979587e-15,0.017880133853690285,-8.678947198979587e-15,0.0,0.0,0.0,0.39346250996459275,Baseline
FMNoiseSaopin,Identity,30.0,20,1.0,1.0,1.0,0.0,0.0,0.0,932.15,932.15,0.35,0.35,-8.582514452324259e-15,0.029715589311311724,-8.678947198979587e-15,0.0,0.0,0.0,0.3775249933823943,Baseline
AMNoiseGaiJam,Identity,0.0,20,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,-7.762836105753968e-15,0.35721851775346647,-8.678947198979587e-15,0.0,0.0,0.0,0.3773645032197237,Baseline
AMNoiseGaiJam,Identity,10.0,20,1.0,1.0,1.0,0.0,0.0,0.0,0.1,0.1,0.3,0.3,-6.8467250125283395e-15,1.138398975100646,-8.678947198979587e-15,0.0,0.0,0.0,0.3781312989303842,Baseline
AMNoiseGaiJam,Identity,20.0,20,1.0,0.05,0.05,0.0,0.0,0.0,0.7,0.7,0.3,0.3,-5.400233812698409e-15,3.2679560853486813,-8.678947198979587e-15,0.0,0.0,0.09799999999999998,0.3790250950260088,Baseline
AMNoiseGaiJam,Identity,30.0,20,1.0,0.0,0.0,0.0,0.0,0.0,314.65,314.65,0.3,0.3,-3.0858478929705195e-15,7.904928673754547,-8.678947198979587e-15,0.0,0.0,0.0,0.37578760529868305,Baseline
SMSP,Identity,0.0,20,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,-9.643274665532876e-15,-0.4328182822273968,-8.678947198979587e-15,0.0,0.0,0.0,0.37784370069857687,Baseline
SMSP,Identity,10.0,20,1.0,0.15,0.15,0.0,0.0,0.0,1.05,1.05,0.5,0.5,-9.643274665532876e-15,-1.315507885816208,-8.678947198979587e-15,0.0,0.0,0.16055889229418857,0.3766624489799142,Baseline
