Jammer,Algorithm,JSR_dB,Trials,InterfacePassRate,Pd_before,Pd_after,MeanDeltaSINR_dB,DeltaSINR_std_dB,DeltaSINR_ci95_dB,MeanPeakError_before,MeanPeakError_after,MeanFalsePeak_before,MeanFalsePeak_after,MeanWindowPeakChange_dB,MeanReferenceResponseVsClean_dB,MeanTargetOnlyResponseChange_dB,TargetOnlyResponseChange_std_dB,TargetOnlyResponseChange_ci95_dB,Pd_after_ci95,MeanRuntime_ms,Conclusion
FMZuse,Identity,0.0,20,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,-8.630730825651923e-15,-0.00047182872296014226,-8.678947198979587e-15,0.0,0.0,0.0,0.417989757261239,Baseline
FMZuse,WLN,0.0,20,1.0,1.0,1.0,-1.1191712619835166,0.08164218201338017,0.03578126388741242,0.0,0.0,0.7,0.35,2.099771279854817,2.0992994511318663,1.7542552869168084,0.0,0.0,0.0,4.9888041452504694,Conditional
FMZuse,FDC,0.0,20,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,-7.859268852409295e-15,-0.00047182872295940955,-8.678947198979587e-15,0.0,0.0,0.0,0.9577812481438741,Neutral
FMZuse,adapt_filter,0.0,20,1.0,1.0,1.0,5.931661003832946,0.2486096917873915,0.10895800145756819,0.0,1.0,0.7,448.9,-0.1552960313536441,-0.29044274267482056,-0.28757652475240925,5.695323946259567e-17,2.4960857735528752e-17,0.0,63.94014573888853,Blocked oracle-risk
FMZuse,FrFT,0.0,20,1.0,1.0,1.0,-0.2505087864521567,0.046805827435499735,0.020513558330224804,0.0,0.0,0.7,0.65,-0.33692319819882144,-0.3373950269217727,-0.33741841018336743,5.695323946259567e-17,2.4960857735528752e-17,0.0,79.50002699508332,Conditional
FMZuse,qpzh,0.0,20,1.0,1.0,1.0,1.3021728017882919,0.1946195983719588,0.08529579973582782,0.0,0.0,0.7,0.7,-0.0021998809984941367,-0.0026717097214452104,-8.678947198979587e-15,0.0,0.0,0.0,1.7714624002110213,Recommended
FMZuse,Identity,10.0,20,1.0,1.0,1.0,0.0,0.0,0.0,0.15,0.15,0.65,0.65,-8.437865332341269e-15,0.06898071217879227,-8.678947198979587e-15,0.0,0.0,0.0,0.40986660751514137,Baseline
FMZuse,WLN,10.0,20,1.0,1.0,1.0,1.1350252408198964,0.11894920314455414,0.05213178680372834,0.15,0.15,0.65,0.35,3.3387004788613353,3.4105299473922295,1.7542552869168084,0.0,0.0,0.0,4.922804105444811,Recommended
FMZuse,FDC,10.0,20,1.0,1.0,1.0,0.00015304414817212119,0.0006853994806183039,0.0003003895667594931,0.15,0.15,0.65,0.65,-0.0020031964654811285,0.06697052836827015,-8.678947198979587e-15,0.0,0.0,0.0,0.9792313125217333,Neutral
FMZuse,adapt_filter,10.0,20,1.0,1.0,1.0,13.313262819220792,0.46686582339122895,0.20461296862494305,0.15,1.0,0.65,448.6,-0.167374851244533,-0.22636528529122332,-0.28757652475240925,5.695323946259567e-17,2.4960857735528752e-17,0.0,69.3673147005029,Blocked oracle-risk
