interface_ok,sinr_before_db,sinr_after_db,delta_sinr_db,detected_before,detected_after,peak_index_before,peak_index_after,peak_error_before,peak_error_after,range_error_before_m,range_error_after_m,target_window_peak_change_db,processed_reference_response_vs_clean_db,false_peak_count_before,false_peak_count_after,false_true_peak_ratio_before,false_true_peak_ratio_after,max_false_peak_db_before,max_false_peak_db_after,runtime_ms,memory_usage_bytes,reference_peak_index,cfar_reference_cells_min,cfar_reference_cells_max,target_only_response_change_db,target_only_reference_peak_index,jammer,algorithm,jsr_db,seed,parameter_strength,parameter_regularization
True,31.98157787037415,31.98157787037415,0.0,True,True,1500,1500,0,0,0.0,0.0,-7.7146197324263e-15,0.30981487263648866,0,0,0.0,0.0,-inf,-inf,0.002707995008677244,80000,1500,20,40,-8.678947198979587e-15,1500,AMNoiseGaiJam,Identity,0.0,42,1.0,0.05
True,31.98157787037415,32.24877648814102,0.26719861776686926,True,True,1500,1500,0,0,0.0,0.0,-1.5339791514578038,-1.2241642788213072,0,0,0.0,0.0,-inf,-inf,0.3359579714015126,80000,1500,20,40,-8.678947198979587e-15,1500,AMNoiseGaiJam,Current_FDC,0.0,42,1.0,0.05
True,31.98157787037415,35.53323293720013,3.551655066825983,True,True,1500,1500,0,0,0.0,0.0,-0.21043877346350848,0.0993760991729884,0,0,0.0,0.0,-inf,-inf,0.4057919722981751,80000,1500,20,40,-0.011138744501188642,1500,AMNoiseGaiJam,New_FDC,0.0,42,1.0,0.05
True,31.405344478514742,31.405344478514742,0.0,True,True,1500,1500,0,0,0.0,0.0,-7.7146197324263e-15,0.2774160048947726,0,0,0.0,0.0,-inf,-inf,0.0025830231606960297,80000,1500,20,40,-8.678947198979587e-15,1500,AMNoiseGaiJam,Identity,0.0,43,1.0,0.05
True,31.405344478514742,31.683659652847524,0.2783151743327821,True,True,1500,1500,0,0,0.0,0.0,-1.3369078205315694,-1.0594918156367876,0,1,0.0,0.01851353706912546,-inf,-34.65021200003347,0.3352909698151052,80000,1500,20,40,-8.678947198979587e-15,1500,AMNoiseGaiJam,Current_FDC,0.0,43,1.0,0.05
True,31.405344478514742,34.97056394706529,3.565219468550545,True,True,1500,1500,0,0,0.0,0.0,-0.16441978702576937,0.1129962178690125,0,1,0.0,0.018029600791722198,-inf,-34.88027778487706,0.38649997441098094,80000,1500,20,40,-0.011138744501188642,1500,AMNoiseGaiJam,New_FDC,0.0,43,1.0,0.05
True,31.2641221193948,31.2641221193948,0.0,True,True,1500,1500,0,0,0.0,0.0,-7.7146197324263e-15,0.30262933161070354,0,0,0.0,0.0,-inf,-inf,0.0026249908842146397,80000,1500,20,40,-8.678947198979587e-15,1500,AMNoiseGaiJam,Identity,0.0,44,1.0,0.05
True,31.2641221193948,31.551274170719957,0.2871520513251582,True,True,1500,1500,0,0,0.0,0.0,-1.4005810650989428,-1.0979517334882323,0,0,0.0,0.0,-inf,-inf,0.33062504371628165,80000,1500,20,40,-8.678947198979587e-15,1500,AMNoiseGaiJam,Current_FDC,0.0,44,1.0,0.05
True,31.2641221193948,34.862795647362404,3.5986735279676054,True,True,1500,1500,0,0,0.0,0.0,-0.1967117631169604,0.10591756849374981,0,0,0.0,0.0,-inf,-inf,0.38695900002494454,80000,1500,20,40,-0.011138744501188642,1500,AMNoiseGaiJam,New_FDC,0.0,44,1.0,0.05
True,32.28490307540954,32.28490307540954,0.0,True,True,1500,1500,0,0,0.0,0.0,-7.7146197324263e-15,0.42049558776436136,0,0,0.0,0.0,-inf,-inf,0.0025840126909315586,80000,1500,20,40,-8.678947198979587e-15,1500,AMNoiseGaiJam,Identity,0.0,45,1.0,0.05
True,32.28490307540954,32.57566103002318,0.29075795461363896,True,True,1500,1500,0,0,0.0,0.0,-1.2862728919598534,-0.8657773041954859,0,0,0.0,0.0,-inf,-inf,0.3339580143801868,80000,1500,20,40,-8.678947198979587e-15,1500,AMNoiseGaiJam,Current_FDC,0.0,45,1.0,0.05
True,32.28490307540954,35.66640299943826,3.3814999240287236,True,True,1500,1500,0,0,0.0,0.0,-0.15246314871072936,0.2680324390536389,0,0,0.0,0.0,-inf,-inf,0.39179198211058974,80000,1500,20,40,-0.011138744501188642,1500,AMNoiseGaiJam,New_FDC,0.0,45,1.0,0.05
True,31.442707966862024,31.442707966862024,0.0,True,True,1500,1500,0,0,0.0,0.0,-7.7146197324263e-15,0.27285079509340204,1,1,0.025869453397206293,0.025869453397206293,-31.74425495028064,-31.74425495028064,0.0024999608285725117,80000,1500,20,40,-8.678947198979587e-15,1500,AMNoiseGaiJam,Identity,0.0,46,1.0,0.05
True,31.442707966862024,31.659720420295464,0.21701245343344056,True,True,1500,1500,0,0,0.0,0.0,-1.1611738526253534,-0.8883230575319434,1,1,0.025869453397206293,0.02757475163133447,-31.74425495028064,-31.1897678121175,0.3262499812990427,80000,1500,20,40,-8.678947198979587e-15,1500,AMNoiseGaiJam,Current_FDC,0.0,46,1.0,0.05
True,31.442707966862024,34.562079978209745,3.1193720113477212,True,True,1500,1500,0,0,0.0,0.0,-0.13753546723055543,0.1353153278628553,1,1,0.025869453397206293,0.013665662711493574,-31.74425495028064,-37.28738605005799,0.3826660104095936,80000,1500,20,40,-0.011138744501188642,1500,AMNoiseGaiJam,New_FDC,0.0,46,1.0,0.05
True,32.06430689054358,32.06430689054358,0.0,True,True,1500,1500,0,0,0.0,0.0,-7.7146197324263e-15,0.32223707629838927,0,0,0.0,0.0,-inf,-inf,0.0026249908842146397,80000,1500,20,40,-8.678947198979587e-15,1500,AMNoiseGaiJam,Identity,0.0,47,1.0,0.05
True,32.06430689054358,32.31745870605614,0.2531518155125596,True,True,1500,1500,0,0,0.0,0.0,-1.2672553761535756,-0.9450182998551782,0,1,0.0,0.01876856013823226,-inf,-34.53138087469743,0.33487501787021756,80000,1500,20,40,-8.678947198979587e-15,1500,AMNoiseGaiJam,Current_FDC,0.0,47,1.0,0.05
