Jammer,Algorithm,JSR_dB,Trials,DeltaSINR_mean_dB,DeltaSINR_std_dB,DeltaSINR_ci95_dB,Pd_before,Pd_after,PeakError_before,PeakError_after,FalsePeak_before,FalsePeak_after,TargetOnlyResponseChange_mean_dB,TargetOnlyResponseChange_ci95_dB,Runtime_mean_ms
AMNoiseGaiJam,Current_FDC,0.0,20,0.2654219881377561,0.037286372725814684,0.016341473353665887,1.0,1.0,0.0,0.0,0.4,0.6,-8.678947198979587e-15,0.0,0.33299584756605327
AMNoiseGaiJam,Current_FDC,10.0,20,0.48521688008845343,0.1170927613792344,0.0513181653269575,1.0,1.0,0.1,0.0,0.3,0.55,-8.678947198979587e-15,0.0,0.33299809438176453
AMNoiseGaiJam,Current_FDC,20.0,20,-0.04164926332076835,0.23496093746699762,0.10297617113372363,0.05,0.65,0.7,0.55,0.3,0.6,-8.678947198979587e-15,0.0,0.3341437957715243
AMNoiseGaiJam,Current_FDC,30.0,20,-0.8623635619194451,0.4317164939763968,0.18920809579766393,0.0,0.0,314.65,430.95,0.3,0.6,-8.678947198979587e-15,0.0,0.3353979060193524
AMNoiseGaiJam,Identity,0.0,20,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4,0.4,-8.678947198979587e-15,0.0,0.0025939487386494875
AMNoiseGaiJam,Identity,10.0,20,0.0,0.0,0.0,1.0,1.0,0.1,0.1,0.3,0.3,-8.678947198979587e-15,0.0,0.002620898885652423
AMNoiseGaiJam,Identity,20.0,20,0.0,0.0,0.0,0.05,0.05,0.7,0.7,0.3,0.3,-8.678947198979587e-15,0.0,0.002581399166956544
AMNoiseGaiJam,Identity,30.0,20,0.0,0.0,0.0,0.0,0.0,314.65,314.65,0.3,0.3,-8.678947198979587e-15,0.0,0.0026249472284689546
AMNoiseGaiJam,New_FDC,0.0,20,3.4325219285053707,0.21294188620503768,0.09332589643105182,1.0,1.0,0.0,0.0,0.4,0.4,-0.011138744501188643,7.800268042352735e-19,0.38702704769093543
AMNoiseGaiJam,New_FDC,10.0,20,4.989780429706944,0.193380343372137,0.08475267228530044,1.0,1.0,0.1,0.1,0.3,0.2,-0.011138744501188643,7.800268042352735e-19,0.3848374035442248
