interface_ok,sinr_before_db,sinr_after_db,delta_sinr_db,detected_before,detected_after,peak_index_before,peak_index_after,peak_error_before,peak_error_after,range_error_before_m,range_error_after_m,target_window_peak_change_db,processed_reference_response_vs_clean_db,false_peak_count_before,false_peak_count_after,false_true_peak_ratio_before,false_true_peak_ratio_after,max_false_peak_db_before,max_false_peak_db_after,runtime_ms,memory_usage_bytes,reference_peak_index,cfar_reference_cells_min,cfar_reference_cells_max,target_only_response_change_db,target_only_reference_peak_index,jammer,algorithm,jsr_db,seed,parameter_strength,parameter_regularization
True,34.14375767734839,34.14375767734839,0.0,True,True,1500,1500,0,0,0.0,0.0,-8.678947198979587e-15,-0.21772053534881602,0,0,0.0,0.0,-inf,-inf,0.0026249908842146397,80000,1500,20,40,-8.678947198979587e-15,1500,FMZuse,Identity,0.0,42,1.0,0.05
True,34.14375767734839,34.14375767734839,0.0,True,True,1500,1500,0,0,0.0,0.0,-7.7146197324263e-15,-0.21772053534881503,0,0,0.0,0.0,-inf,-inf,0.33837498631328344,80000,1500,20,40,-8.678947198979587e-15,1500,FMZuse,Current_FDC,0.0,42,1.0,0.05
True,34.14375767734839,34.14375767734839,0.0,True,True,1500,1500,0,0,0.0,0.0,-8.678947198979587e-15,-0.21772053534881602,0,0,0.0,0.0,-inf,-inf,0.3857500269077718,80000,1500,20,40,-0.011138744501188642,1500,FMZuse,New_FDC,0.0,42,1.0,0.05
True,33.888435629059884,33.888435629059884,0.0,True,True,1500,1500,0,0,0.0,0.0,-8.678947198979587e-15,-0.020159730556444603,0,0,0.0,0.0,-inf,-inf,0.0025830231606960297,80000,1500,20,40,-8.678947198979587e-15,1500,FMZuse,Identity,0.0,43,1.0,0.05
True,33.888435629059884,33.888435629059884,0.0,True,True,1500,1500,0,0,0.0,0.0,-7.7146197324263e-15,-0.020159730556443635,0,0,0.0,0.0,-inf,-inf,0.3326250007376075,80000,1500,20,40,-8.678947198979587e-15,1500,FMZuse,Current_FDC,0.0,43,1.0,0.05
True,33.888435629059884,33.888435629059884,0.0,True,True,1500,1500,0,0,0.0,0.0,-7.7146197324263e-15,-0.020159730556443635,0,0,0.0,0.0,-inf,-inf,0.3969999961555004,80000,1500,20,40,-0.011138744501188642,1500,FMZuse,New_FDC,0.0,43,1.0,0.05
True,33.86208739483598,33.86208739483598,0.0,True,True,1500,1500,0,0,0.0,0.0,-8.678947198979587e-15,0.10020691793495738,0,0,0.0,0.0,-inf,-inf,0.002625049091875553,80000,1500,20,40,-8.678947198979587e-15,1500,FMZuse,Identity,0.0,44,1.0,0.05
True,33.86208739483598,33.86208739483598,0.0,True,True,1500,1500,0,0,0.0,0.0,-8.678947198979587e-15,0.10020691793495738,0,0,0.0,0.0,-inf,-inf,0.33887499012053013,80000,1500,20,40,-8.678947198979587e-15,1500,FMZuse,Current_FDC,0.0,44,1.0,0.05
True,33.86208739483598,33.86208739483598,0.0,True,True,1500,1500,0,0,0.0,0.0,-8.678947198979587e-15,0.10020691793495738,0,0,0.0,0.0,-inf,-inf,0.383291975595057,80000,1500,20,40,-0.011138744501188642,1500,FMZuse,New_FDC,0.0,44,1.0,0.05
True,34.07466885989781,34.07466885989781,0.0,True,True,1500,1500,0,0,0.0,0.0,-8.678947198979587e-15,-0.0636765956118863,1,1,0.021894749064909534,0.021894749064909534,-33.19320055759844,-33.19320055759844,0.0027919886633753777,80000,1500,20,40,-8.678947198979587e-15,1500,FMZuse,Identity,0.0,45,1.0,0.05
