interface_ok,sinr_before_db,sinr_after_db,delta_sinr_db,detected_before,detected_after,peak_index_before,peak_index_after,peak_error_before,peak_error_after,range_error_before_m,range_error_after_m,target_window_peak_change_db,processed_reference_response_vs_clean_db,false_peak_count_before,false_peak_count_after,false_true_peak_ratio_before,false_true_peak_ratio_after,max_false_peak_db_before,max_false_peak_db_after,runtime_ms,memory_usage_bytes,reference_peak_index,cfar_reference_cells_min,cfar_reference_cells_max,target_only_response_change_db,target_only_reference_peak_index,jammer,algorithm,jsr_db,seed,parameter_strength,parameter_regularization
True,16.353180768766805,19.062775220960347,2.7095944521935422,False,True,1501,1501,1,1,3.0,3.0,-0.8341074095439699,2.499943939183698,0,0,0.0,0.0,-inf,-inf,0.40629098657518625,80000,1500,20,40,-0.006100399070221884,1500,AMNoiseGaiJam,New_FDC,20.0,42,0.6,0.15
True,15.282930066141088,18.12520252733334,2.842272461192252,False,True,1500,1500,0,0,0.0,0.0,-0.793690691432375,2.2962640882476073,0,1,0.0,0.013255957902764338,-inf,-37.551777675700436,0.37299998803064227,80000,1500,20,40,-0.006100399070221884,1500,AMNoiseGaiJam,New_FDC,20.0,43,0.6,0.15
True,15.405190355752733,18.135050187209856,2.729859831457123,False,True,1501,1501,1,1,3.0,3.0,-0.8765285209296976,2.3001174782251605,0,0,0.0,0.0,-inf,-inf,0.38058304926380515,80000,1500,20,40,-0.006100399070221884,1500,AMNoiseGaiJam,New_FDC,20.0,44,0.6,0.15
True,16.896053607076674,19.886050554076846,2.989996947000172,False,True,1501,1501,1,1,3.0,3.0,-0.7484626574219184,2.974756191873257,0,0,0.0,0.0,-inf,-inf,0.3939999733120203,80000,1500,20,40,-0.006100399070221884,1500,AMNoiseGaiJam,New_FDC,20.0,45,0.6,0.15
True,15.547333281903356,18.49327568026563,2.9459423983622735,False,True,1501,1501,1,1,3.0,3.0,-0.47985160525688014,2.6842615533039513,1,2,0.018400663757994585,0.016654116448318615,-34.70333021237985,-35.569568060174575,0.37937500746920705,80000,1500,20,40,-0.006100399070221884,1500,AMNoiseGaiJam,New_FDC,20.0,46,0.6,0.15
True,15.687879851752466,18.611639801707437,2.9237599499549702,False,True,1501,1501,1,1,3.0,3.0,-0.5643726084078997,2.059513380024157,0,1,0.0,0.013136365036619524,-inf,-37.630495835450596,0.378916971385479,80000,1500,20,40,-0.006100399070221884,1500,AMNoiseGaiJam,New_FDC,20.0,47,0.6,0.15
True,15.538145421000113,18.317619843792784,2.7794744227926707,False,True,1501,1501,1,1,3.0,3.0,-0.8316282448204227,2.5887678585316047,0,1,0.0,0.011032474872444725,-inf,-39.146541060567635,0.3767090383917093,80000,1500,20,40,-0.006100399070221884,1500,AMNoiseGaiJam,New_FDC,20.0,48,0.6,0.15
True,15.82514724592124,18.561370199472318,2.736222953551078,False,True,1500,1500,0,0,0.0,0.0,-0.918511650236483,2.015611706209671,0,0,0.0,0.0,-inf,-inf,0.3748749732039869,80000,1500,20,40,-0.006100399070221884,1500,AMNoiseGaiJam,New_FDC,20.0,49,0.6,0.15
True,13.60902545859728,16.24180899013579,2.632783531538511,False,False,1500,1500,0,0,0.0,0.0,-0.9348811159162336,0.5295815440196069,0,0,0.0,0.0,-inf,-inf,0.3744999994523823,80000,1500,20,40,-0.006100399070221884,1500,AMNoiseGaiJam,New_FDC,20.0,50,0.6,0.15
True,17.300604577698916,20.164429451610108,2.8638248739111916,True,True,1501,1501,1,1,3.0,3.0,-0.5060682536428371,3.908378705321374,0,1,0.0,0.016000859497864818,-inf,-35.91713376543857,0.3797910176217556,80000,1500,20,40,-0.006100399070221884,1500,AMNoiseGaiJam,New_FDC,20.0,51,0.6,0.15
True,17.87180337684078,20.570803867649303,2.6990004908085226,False,True,1501,1501,1,1,3.0,3.0,-0.9229269834215106,4.377683899221885,1,0,0.01176990977468514,0.0,-38.584537326829796,-inf,0.3812920185737312,80000,1500,20,40,-0.006100399070221884,1500,AMNoiseGaiJam,New_FDC,20.0,52,0.6,0.15
True,16.248518691084108,19.270610342538518,3.02209165145441,False,True,1501,1501,1,1,3.0,3.0,-0.617515869279837,3.0170217815225713,2,1,0.011398930376055228,0.008356041317120625,-38.862717979535496,-41.55998842564613,0.3805410233326256,80000,1500,20,40,-0.006100399070221884,1500,AMNoiseGaiJam,New_FDC,20.0,53,0.6,0.15
True,16.45201927131678,19.35912401226434,2.9071047409475597,False,True,1501,1501,1,1,3.0,3.0,-0.6360724393544576,2.6808480495129023,0,0,0.0,0.0,-inf,-inf,0.37891598185524344,80000,1500,20,40,-0.006100399070221884,1500,AMNoiseGaiJam,New_FDC,20.0,54,0.6,0.15
True,14.348074290644895,17.396165137199034,3.048090846554139,False,True,1500,1500,0,0,0.0,0.0,-0.47549867091472264,1.575544250335886,0,1,0.0,0.01344328660938373,-inf,-37.429890843165374,0.3958750166930258,80000,1500,20,40,-0.006100399070221884,1500,AMNoiseGaiJam,New_FDC,20.0,55,0.6,0.15
True,15.899769880185005,19.157379272555172,3.257609392370167,False,True,1500,1500,0,0,0.0,0.0,-0.23948739002133582,3.240843171362597,0,1,0.0,0.010348467389601063,-inf,-39.70247929114572,0.3784580039791763,80000,1500,20,40,-0.006100399070221884,1500,AMNoiseGaiJam,New_FDC,20.0,56,0.6,0.15
True,16.149490178091956,19.179076990329257,3.0295868122373015,False,True,1500,1500,0,0,0.0,0.0,-0.5923396566730951,2.3589523087398803,0,0,0.0,0.0,-inf,-inf,0.37937500746920705,80000,1500,20,40,-0.006100399070221884,1500,AMNoiseGaiJam,New_FDC,20.0,57,0.6,0.15
True,16.204060763840392,19.05689341147818,2.8528326476377863,False,True,1501,1501,1,1,3.0,3.0,-0.6003052456515194,2.5729305417106407,1,0,0.015097633259983126,0.0,-36.42182256763362,-inf,0.38733298424631357,80000,1500,20,40,-0.006100399070221884,1500,AMNoiseGaiJam,New_FDC,20.0,58,0.6,0.15
True,16.648154349242333,19.2814175530944,2.633263203852067,False,True,1501,1501,1,1,3.0,3.0,-0.7851929033890166,3.351942471655618,0,0,0.0,0.0,-inf,-inf,0.38770900573581457,80000,1500,20,40,-0.006100399070221884,1500,AMNoiseGaiJam,New_FDC,20.0,59,0.6,0.15
True,15.550034329959425,18.53486749374245,2.9848331637830245,False,True,1501,1501,1,1,3.0,3.0,-0.6510427658124738,2.3586678292972323,0,1,0.0,0.01717597633355055,-inf,-35.3015713395492,0.3793329815380275,80000,1500,20,40,-0.006100399070221884,1500,AMNoiseGaiJam,New_FDC,20.0,60,0.6,0.15
True,15.726800523837102,18.788132995892056,3.0613324720549535,False,True,1501,1501,1,1,3.0,3.0,-0.6479917708761924,1.879469828477167,1,2,0.016832128333711602,0.013150323675355216,-35.47721932618023,-37.62127115079896,0.3708750009536743,80000,1500,20,40,-0.006100399070221884,1500,AMNoiseGaiJam,New_FDC,20.0,61,0.6,0.15
