jammer,algorithm,jsr_db,trials,interface_status,performance_status,delta_sinr_mean_db,delta_sinr_std_db,delta_sinr_ci95_db,sinr_identity_mean_db,sinr_algorithm_mean_db,pd_identity,pd_algorithm,target_only_response_change_mean_db,target_only_response_change_ci95_db,peak_error_identity_mean,peak_error_algorithm_mean,false_peak_identity_mean,false_peak_algorithm_mean,runtime_mean_ms,memory_usage_bytes_mean
AMNoiseGaiJam,FDC,0.0,10,PASS,RECOMMENDED,0.2176952081680163,0.027805360291366828,0.01723394085773516,31.73135447146513,31.94904967963314,1.0,1.0,-8.678947198979587e-15,0.0,0.0,0.0,0.2,0.5,0.3026333055458963,967115.2
AMNoiseGaiJam,FDC,10.0,10,PASS,RECOMMENDED,0.41552158872369527,0.05710262386208857,0.03539257294811178,23.551993216775564,23.967514805499256,1.0,1.0,-8.678947198979587e-15,0.0,0.1,0.0,0.1,0.5,0.2826999989338219,967037.0
AMNoiseGaiJam,FDC,20.0,10,PASS,CONDITIONAL,-0.013631450856107641,0.12379698634216685,0.07673016708397681,15.744549063461069,15.73091761260496,0.1,0.4,-8.678947198979587e-15,0.0,0.7,0.5,0.1,0.6,0.2831293037161231,967037.0
AMNoiseGaiJam,FDC,30.0,10,PASS,HARMFUL,-0.6805503276621023,0.29597711899782514,0.1834485189402528,10.577968406905484,9.89741807924338,0.0,0.0,-8.678947198979587e-15,0.0,323.8,377.7,0.1,0.6,0.27499590651132166,967037.0
FMNoiseAimedJam,FrFT,0.0,10,PASS,CONDITIONAL,-0.24939131405569412,0.04064421057505399,0.025191542706867832,29.687373610415825,29.437982296360133,1.0,1.0,-0.3374184101833674,0.0,0.0,0.0,0.5,0.4,38.05004138266668,1132223.4
FMNoiseAimedJam,FrFT,10.0,10,PASS,HARMFUL,-0.21475563871503917,0.07482712327454612,0.04637833149992946,20.76723784901977,20.55248221030473,0.7,0.6,-0.3374184101833674,0.0,0.7,0.7,0.4,0.4,37.658966705203056,1129592.4
FMNoiseAimedJam,FrFT,20.0,10,PASS,CONDITIONAL,-0.1735427445125861,0.1590157962258231,0.0985590116036863,12.588089601560924,12.414546857048336,0.2,0.2,-0.3374184101833674,0.0,220.9,220.8,0.4,0.3,41.31158319651149,1129587.6
FMNoiseAimedJam,FrFT,30.0,10,PASS,CONDITIONAL,-0.30204625263616586,0.2688124933696279,0.16661170954115925,9.203667925315067,8.9016216726789,0.1,0.1,-0.3374184101833674,0.0,348.4,348.1,0.4,0.4,47.58908350486308,1129587.6
FMNoiseSaopin,FrFT,0.0,10,PASS,CONDITIONAL,-0.29627699010159675,0.07221584396299616,0.04475984381458009,32.79216829108559,32.495891300983985,1.0,1.0,-0.3374184101833674,0.0,0.0,0.0,0.4,0.3,46.78544150083326,1129588.4
FMNoiseSaopin,FrFT,10.0,10,PASS,HARMFUL,-0.3018831579874444,0.06966131944354512,0.043176533113818465,26.830096700191774,26.528213542204327,1.0,1.0,-0.3374184101833674,0.0,0.0,0.0,0.4,0.4,44.12241670652293,1129587.6
FMNoiseSaopin,FrFT,20.0,10,PASS,CONDITIONAL,-0.2792862292200374,0.11561872390530832,0.07166122750977472,18.64961593778505,18.370329708565013,1.0,1.0,-0.3374184101833674,0.0,74.8,75.1,0.4,0.3,42.01329560019076,1129596.4
FMNoiseSaopin,FrFT,30.0,10,PASS,CONDITIONAL,0.1032398468513277,0.4260151773633305,0.264046942540671,9.019437073155272,9.122676920006601,1.0,1.0,-0.3374184101833674,0.0,662.5,585.0,0.4,0.3,40.09667070931755,1129593.2
FMZuse,WLN,0.0,10,PASS,CONDITIONAL,-1.1258687102516647,0.0729392209051832,0.04520819748843526,34.15452531136899,33.028656601117326,1.0,1.0,1.7542552869168084,0.0,0.0,0.0,0.7,0.4,2.5478122930508107,840595.0
