jammer,algorithm,jsr_db,trials,interface_status,performance_status,jammer_contract_status,jammer_comparable,fair_ranking_eligible,exploratory_only,requested_jsr_db,measured_jsr_db,jsr_error_db,jsr_status,legacy_components_available,oracle_input_status,forbidden_keys_present,delta_sinr_mean_db,delta_sinr_std_db,delta_sinr_ci95_db,sinr_identity_mean_db,sinr_algorithm_mean_db,pd_identity,pd_algorithm,target_only_response_change_mean_db,target_only_response_change_ci95_db,target_preservation_status,peak_error_identity_mean,peak_error_algorithm_mean,false_peak_identity_mean,false_peak_algorithm_mean,runtime_mean_ms,memory_usage_bytes_mean
AMNoiseGaiJam,FDC,10.0,1,FAIL,INTERFACE_FAIL,GENERATION_FAIL,False,False,True,nan,nan,nan,,False,,,nan,0.0,0.0,nan,nan,nan,nan,nan,0.0,TARGET_PRESERVED,nan,nan,nan,nan,nan,nan
FMNoiseAimedJam,FrFT,10.0,1,FAIL,INTERFACE_FAIL,GENERATION_FAIL,False,False,True,nan,nan,nan,,False,,,nan,0.0,0.0,nan,nan,nan,nan,nan,0.0,TARGET_PRESERVED,nan,nan,nan,nan,nan,nan
FMNoiseSaopin,FrFT,10.0,1,FAIL,INTERFACE_FAIL,GENERATION_FAIL,False,False,True,nan,nan,nan,,False,,,nan,0.0,0.0,nan,nan,nan,nan,nan,0.0,TARGET_PRESERVED,nan,nan,nan,nan,nan,nan
FMZuse,WLN,10.0,1,FAIL,INTERFACE_FAIL,GENERATION_FAIL,False,False,True,nan,nan,nan,,False,,,nan,0.0,0.0,nan,nan,nan,nan,nan,0.0,TARGET_PRESERVED,nan,nan,nan,nan,nan,nan
ISDJ,qpzh,10.0,1,FAIL,INTERFACE_FAIL,GENERATION_FAIL,False,False,True,nan,nan,nan,,False,,,nan,0.0,0.0,nan,nan,nan,nan,nan,0.0,TARGET_PRESERVED,nan,nan,nan,nan,nan,nan
NoiseConvolutionJamming,adapt_filter,10.0,1,FAIL,INTERFACE_FAIL,GENERATION_FAIL,False,False,True,nan,nan,nan,,False,,,nan,0.0,0.0,nan,nan,nan,nan,nan,0.0,TARGET_PRESERVED,nan,nan,nan,nan,nan,nan
NoiseProductJamming,adapt_filter,10.0,1,FAIL,INTERFACE_FAIL,GENERATION_FAIL,False,False,True,nan,nan,nan,,False,,,nan,0.0,0.0,nan,nan,nan,nan,nan,0.0,TARGET_PRESERVED,nan,nan,nan,nan,nan,nan
SMSP,FSTP,10.0,1,FAIL,INTERFACE_FAIL,GENERATION_FAIL,False,False,True,nan,nan,nan,,False,,,nan,0.0,0.0,nan,nan,nan,nan,nan,0.0,TARGET_PRESERVED,nan,nan,nan,nan,nan,nan
SMSP,qpzh,10.0,1,FAIL,INTERFACE_FAIL,GENERATION_FAIL,False,False,True,nan,nan,nan,,False,,,nan,0.0,0.0,nan,nan,nan,nan,nan,0.0,TARGET_PRESERVED,nan,nan,nan,nan,nan,nan
SliceCombineJam,FSTP,10.0,1,FAIL,INTERFACE_FAIL,GENERATION_FAIL,False,False,True,nan,nan,nan,,False,,,nan,0.0,0.0,nan,nan,nan,nan,nan,0.0,TARGET_PRESERVED,nan,nan,nan,nan,nan,nan
