jammer,algorithm,adapter,jsr_db,seed,oracle_target_idx_passed,oracle_jammer_type_passed,oracle_true_jammer_signal_passed,jammer_contract_status,jammer_comparable,requested_jsr_db,measured_jsr_db,jsr_error_db,jsr_status,legacy_components_available,oracle_input_status,forbidden_keys_present,target_only,interface_status,failure_reason,call_attempted,runtime_ms,memory_usage_bytes,role,target_only_interface_status,output_shape,expected_shape,complex_dtype_ok,finite_ok,input_unchanged
AMNoiseGaiJam,FDC,FrequencyDomainCanceller,10.0,42,False,False,False,UNIFIED_JSR_PASS,True,10.0,9.999999999999998,-1.7763568394002505e-15,unified/pass,True,FAIL,target_dist,False,FAIL,ORACLE_INPUT_LEAK,False,0.0,0,algorithm,FAIL,,,,,
AMNoiseGaiJam,FDC,FrequencyDomainCanceller,10.0,42,False,False,False,UNIFIED_JSR_PASS,True,10.0,9.999999999999998,-1.7763568394002505e-15,unified/pass,True,FAIL,target_dist,,PASS,,,0.0,0,identity,,"(1, 5000)","(1, 5000)",True,True,True
FMNoiseAimedJam,FrFT,frft_filter,10.0,42,False,False,False,UNIFIED_JSR_PASS,True,10.0,10.0,0.0,unified/pass,True,FAIL,target_dist,False,FAIL,ORACLE_INPUT_LEAK,False,0.0,0,algorithm,FAIL,,,,,
FMNoiseAimedJam,FrFT,frft_filter,10.0,42,False,False,False,UNIFIED_JSR_PASS,True,10.0,10.0,0.0,unified/pass,True,FAIL,target_dist,,PASS,,,0.0,0,identity,,"(1, 5000)","(1, 5000)",True,True,True
FMNoiseSaopin,FrFT,frft_filter,10.0,42,False,False,False,UNIFIED_JSR_PASS,True,10.0,10.0,0.0,unified/pass,True,FAIL,target_dist,False,FAIL,ORACLE_INPUT_LEAK,False,0.0,0,algorithm,FAIL,,,,,
FMNoiseSaopin,FrFT,frft_filter,10.0,42,False,False,False,UNIFIED_JSR_PASS,True,10.0,10.0,0.0,unified/pass,True,FAIL,target_dist,,PASS,,,0.0,0,identity,,"(1, 5000)","(1, 5000)",True,True,True
SMSP,qpzh,qpzh,10.0,42,False,False,False,UNIFIED_JSR_PASS,True,10.0,10.0,0.0,unified/pass,True,FAIL,target_dist,False,FAIL,ORACLE_INPUT_LEAK,False,0.0,0,algorithm,FAIL,,,,,
SMSP,qpzh,qpzh,10.0,42,False,False,False,UNIFIED_JSR_PASS,True,10.0,10.0,0.0,unified/pass,True,FAIL,target_dist,,PASS,,,0.0,0,identity,,"(1, 5000)","(1, 5000)",True,True,True
ISDJ,qpzh,qpzh,10.0,42,False,False,False,LEGACY_JSR_BLOCKED,False,10.0,,,legacy/unified-JSR-blocked,False,FAIL,target_dist,False,FAIL,ORACLE_INPUT_LEAK,False,0.0,0,algorithm,FAIL,,,,,
ISDJ,qpzh,qpzh,10.0,42,False,False,False,LEGACY_JSR_BLOCKED,False,10.0,,,legacy/unified-JSR-blocked,False,FAIL,target_dist,,PASS,,,0.0,0,identity,,"(1, 5000)","(1, 5000)",True,True,True
SliceCombineJam,FSTP,FastSlowTimeProcessor,10.0,42,False,False,False,LEGACY_JSR_BLOCKED,False,10.0,,,legacy/unified-JSR-blocked,False,FAIL,target_dist,False,FAIL,ORACLE_INPUT_LEAK,False,0.0,0,algorithm,FAIL,,,,,
SliceCombineJam,FSTP,FastSlowTimeProcessor,10.0,42,False,False,False,LEGACY_JSR_BLOCKED,False,10.0,,,legacy/unified-JSR-blocked,False,FAIL,target_dist,,PASS,,,0.0,0,identity,,"(1, 5000)","(1, 5000)",True,True,True
SMSP,FSTP,FastSlowTimeProcessor,10.0,42,False,False,False,UNIFIED_JSR_PASS,True,10.0,10.0,0.0,unified/pass,True,FAIL,target_dist,False,FAIL,ORACLE_INPUT_LEAK,False,0.0,0,algorithm,FAIL,,,,,
SMSP,FSTP,FastSlowTimeProcessor,10.0,42,False,False,False,UNIFIED_JSR_PASS,True,10.0,10.0,0.0,unified/pass,True,FAIL,target_dist,,PASS,,,0.0,0,identity,,"(1, 5000)","(1, 5000)",True,True,True
NoiseProductJamming,adapt_filter,adapt_filter,10.0,42,False,False,False,UNIFIED_JSR_PASS,True,10.0,10.0,0.0,unified/pass,True,FAIL,target_dist,False,FAIL,ORACLE_INPUT_LEAK,False,0.0,0,algorithm,FAIL,,,,,
NoiseProductJamming,adapt_filter,adapt_filter,10.0,42,False,False,False,UNIFIED_JSR_PASS,True,10.0,10.0,0.0,unified/pass,True,FAIL,target_dist,,PASS,,,0.0,0,identity,,"(1, 5000)","(1, 5000)",True,True,True
NoiseConvolutionJamming,adapt_filter,adapt_filter,10.0,42,False,False,False,UNIFIED_JSR_PASS,True,10.0,10.0,0.0,unified/pass,True,FAIL,target_dist,False,FAIL,ORACLE_INPUT_LEAK,False,0.0,0,algorithm,FAIL,,,,,
NoiseConvolutionJamming,adapt_filter,adapt_filter,10.0,42,False,False,False,UNIFIED_JSR_PASS,True,10.0,10.0,0.0,unified/pass,True,FAIL,target_dist,,PASS,,,0.0,0,identity,,"(1, 5000)","(1, 5000)",True,True,True
FMZuse,WLN,WLN,10.0,42,False,False,False,UNIFIED_JSR_PASS,True,10.0,10.0,0.0,unified/pass,True,FAIL,target_dist,False,FAIL,ORACLE_INPUT_LEAK,False,0.0,0,algorithm,FAIL,,,,,
FMZuse,WLN,WLN,10.0,42,False,False,False,UNIFIED_JSR_PASS,True,10.0,10.0,0.0,unified/pass,True,FAIL,target_dist,,PASS,,,0.0,0,identity,,"(1, 5000)","(1, 5000)",True,True,True
