jammer,algorithm,adapter,jsr_db,seed,oracle_target_idx_passed,oracle_jammer_type_passed,oracle_true_jammer_signal_passed,jammer_contract_status,jammer_comparable,requested_jsr_db,measured_jsr_db,jsr_error_db,jsr_status,legacy_components_available,oracle_input_status,forbidden_keys_present,output_shape,expected_shape,shape_ok,complex_dtype_ok,finite_ok,input_unchanged,interface_status,template_finite_ok,runtime_ms,memory_usage_bytes,target_only,call_attempted,role,target_only_interface_status
AMNoiseGaiJam,FDC,FrequencyDomainCanceller,0.0,42,False,False,False,UNIFIED_JSR_PASS,True,0.0,-9.643274665532871e-16,-9.643274665532871e-16,unified/pass,True,PASS,,"(1, 5000)","(1, 5000)",True,True,True,True,PASS,True,0.34841697197407484,967643,False,True,algorithm,PASS
AMNoiseGaiJam,FDC,FrequencyDomainCanceller,0.0,42,False,False,False,UNIFIED_JSR_PASS,True,0.0,-9.643274665532871e-16,-9.643274665532871e-16,unified/pass,True,PASS,,"(1, 5000)","(1, 5000)",,True,True,True,PASS,,0.0,0,,,identity,
AMNoiseGaiJam,FDC,FrequencyDomainCanceller,0.0,43,False,False,False,UNIFIED_JSR_PASS,True,0.0,-4.821637332766436e-16,-4.821637332766436e-16,unified/pass,True,PASS,,"(1, 5000)","(1, 5000)",True,True,True,True,PASS,True,0.2856670180335641,967277,False,True,algorithm,PASS
AMNoiseGaiJam,FDC,FrequencyDomainCanceller,0.0,43,False,False,False,UNIFIED_JSR_PASS,True,0.0,-4.821637332766436e-16,-4.821637332766436e-16,unified/pass,True,PASS,,"(1, 5000)","(1, 5000)",,True,True,True,PASS,,0.0,0,,,identity,
AMNoiseGaiJam,FDC,FrequencyDomainCanceller,0.0,44,False,False,False,UNIFIED_JSR_PASS,True,0.0,0.0,0.0,unified/pass,True,PASS,,"(1, 5000)","(1, 5000)",True,True,True,True,PASS,True,0.2758329501375556,967037,False,True,algorithm,PASS
AMNoiseGaiJam,FDC,FrequencyDomainCanceller,0.0,44,False,False,False,UNIFIED_JSR_PASS,True,0.0,0.0,0.0,unified/pass,True,PASS,,"(1, 5000)","(1, 5000)",,True,True,True,PASS,,0.0,0,,,identity,
AMNoiseGaiJam,FDC,FrequencyDomainCanceller,0.0,45,False,False,False,UNIFIED_JSR_PASS,True,0.0,9.64327466553287e-16,9.64327466553287e-16,unified/pass,True,PASS,,"(1, 5000)","(1, 5000)",True,True,True,True,PASS,True,0.27075002435594797,967037,False,True,algorithm,PASS
AMNoiseGaiJam,FDC,FrequencyDomainCanceller,0.0,45,False,False,False,UNIFIED_JSR_PASS,True,0.0,9.64327466553287e-16,9.64327466553287e-16,unified/pass,True,PASS,,"(1, 5000)","(1, 5000)",,True,True,True,PASS,,0.0,0,,,identity,
AMNoiseGaiJam,FDC,FrequencyDomainCanceller,0.0,46,False,False,False,UNIFIED_JSR_PASS,True,0.0,-4.821637332766436e-16,-4.821637332766436e-16,unified/pass,True,PASS,,"(1, 5000)","(1, 5000)",True,True,True,True,PASS,True,0.29358401661738753,967037,False,True,algorithm,PASS
AMNoiseGaiJam,FDC,FrequencyDomainCanceller,0.0,46,False,False,False,UNIFIED_JSR_PASS,True,0.0,-4.821637332766436e-16,-4.821637332766436e-16,unified/pass,True,PASS,,"(1, 5000)","(1, 5000)",,True,True,True,PASS,,0.0,0,,,identity,
