jammer,algorithm,jsr_db,seed,jammer_contract_status,jammer_comparable,requested_jsr_db,measured_jsr_db,jsr_error_db,jsr_status,legacy_components_available,interface_status,oracle_input_status,forbidden_keys_present,delta_sinr_db,pd_identity,pd_algorithm,peak_error_identity,peak_error_algorithm,false_peak_identity,false_peak_algorithm,target_only_response_change_db,target_preservation_status,runtime_ms,memory_usage_bytes,max_false_peak_db_after
FMZuse,Current_WLN,0.0,1000,UNIFIED_JSR_PASS,True,0.0,0.0,0.0,unified/pass,True,PASS,PASS,,-1.1849582064386155,1.0,1.0,0,0,0,1,1.7542552869168084,TARGET_PRESERVED,3.5864579840563238,864637,-31.227405426663005
FMZuse,Current_WLN,0.0,1001,UNIFIED_JSR_PASS,True,0.0,9.64327466553287e-16,9.64327466553287e-16,unified/pass,True,PASS,PASS,,-1.248171408149588,1.0,1.0,0,0,0,0,1.7542552869168084,TARGET_PRESERVED,2.331207972019911,841136,-inf
FMZuse,Current_WLN,0.0,1002,UNIFIED_JSR_PASS,True,0.0,9.64327466553287e-16,9.64327466553287e-16,unified/pass,True,PASS,PASS,,-1.0026105899018702,1.0,1.0,0,0,0,0,1.7542552869168084,TARGET_PRESERVED,2.1152080153115094,840447,-inf
FMZuse,Current_WLN,0.0,1003,UNIFIED_JSR_PASS,True,0.0,0.0,0.0,unified/pass,True,PASS,PASS,,-1.116007605231296,1.0,1.0,0,0,1,0,1.7542552869168084,TARGET_PRESERVED,2.609291987027973,840455,-inf
FMZuse,Current_WLN,0.0,1004,UNIFIED_JSR_PASS,True,0.0,0.0,0.0,unified/pass,True,PASS,PASS,,-1.130826969908263,1.0,1.0,0,0,2,1,1.7542552869168084,TARGET_PRESERVED,2.2647500154562294,840297,-28.57590929320411
FMZuse,Current_WLN,0.0,1005,UNIFIED_JSR_PASS,True,0.0,9.64327466553287e-16,9.64327466553287e-16,unified/pass,True,PASS,PASS,,-1.1469411247416659,1.0,1.0,0,0,1,1,1.7542552869168084,TARGET_PRESERVED,2.1938749705441296,839720,-32.10431462281965
FMZuse,Current_WLN,0.0,1006,UNIFIED_JSR_PASS,True,0.0,0.0,0.0,unified/pass,True,PASS,PASS,,-1.0959116207324016,1.0,1.0,0,0,0,1,1.7542552869168084,TARGET_PRESERVED,2.1787909790873528,839838,-29.63576554710955
FMZuse,Current_WLN,0.0,1007,UNIFIED_JSR_PASS,True,0.0,0.0,0.0,unified/pass,True,PASS,PASS,,-1.0110059903487283,1.0,1.0,0,0,2,1,1.7542552869168084,TARGET_PRESERVED,2.144999976735562,839764,-31.79798759991224
FMZuse,Current_WLN,0.0,1008,UNIFIED_JSR_PASS,True,0.0,0.0,0.0,unified/pass,True,PASS,PASS,,-0.9376031850459654,1.0,1.0,0,0,0,0,1.7542552869168084,TARGET_PRESERVED,2.4122909526340663,839564,-inf
FMZuse,Current_WLN,0.0,1009,UNIFIED_JSR_PASS,True,0.0,-9.643274665532871e-16,-9.643274665532871e-16,unified/pass,True,PASS,PASS,,-0.8783504018293797,1.0,1.0,0,0,0,0,1.7542552869168084,TARGET_PRESERVED,2.122499980032444,839691,-inf
FMZuse,Current_WLN,0.0,1010,UNIFIED_JSR_PASS,True,0.0,0.0,0.0,unified/pass,True,PASS,PASS,,-1.2366265231305604,1.0,1.0,0,0,0,0,1.7542552869168084,TARGET_PRESERVED,2.407875028438866,840166,-inf
FMZuse,Current_WLN,0.0,1011,UNIFIED_JSR_PASS,True,0.0,-4.821637332766436e-16,-4.821637332766436e-16,unified/pass,True,PASS,PASS,,-1.2611379876231084,1.0,1.0,0,0,1,1,1.7542552869168084,TARGET_PRESERVED,2.188041980843991,839619,-31.437375711464377
FMZuse,Current_WLN,0.0,1012,UNIFIED_JSR_PASS,True,0.0,0.0,0.0,unified/pass,True,PASS,PASS,,-0.9621172797066961,1.0,1.0,0,0,0,0,1.7542552869168084,TARGET_PRESERVED,2.2287500323727727,839559,-inf
FMZuse,Current_WLN,0.0,1013,UNIFIED_JSR_PASS,True,0.0,0.0,0.0,unified/pass,True,PASS,PASS,,-1.1355696620979714,1.0,1.0,0,0,2,0,1.7542552869168084,TARGET_PRESERVED,2.1656249882653356,839280,-inf
FMZuse,Current_WLN,0.0,1014,UNIFIED_JSR_PASS,True,0.0,9.64327466553287e-16,9.64327466553287e-16,unified/pass,True,PASS,PASS,,-1.1197896405799028,1.0,1.0,0,0,1,1,1.7542552869168084,TARGET_PRESERVED,2.2183340042829514,839589,-27.825745796308322
FMZuse,Current_WLN,0.0,1015,UNIFIED_JSR_PASS,True,0.0,0.0,0.0,unified/pass,True,PASS,PASS,,-0.9072297531713787,1.0,1.0,0,0,0,0,1.7542552869168084,TARGET_PRESERVED,2.329832990653813,839686,-inf
FMZuse,Current_WLN,0.0,1016,UNIFIED_JSR_PASS,True,0.0,0.0,0.0,unified/pass,True,PASS,PASS,,-1.1093235449169825,1.0,1.0,0,0,1,1,1.7542552869168084,TARGET_PRESERVED,2.124875027220696,839433,-26.908128399794684
