jammer,algorithm,jsr_db,trials,valid_trials,interface_status,delta_sinr_mean_db,delta_sinr_std_db,delta_sinr_ci95_db,pd_identity,pd_algorithm,peak_error_identity_mean,peak_error_algorithm_mean,false_peak_identity_mean,false_peak_algorithm_mean,target_only_response_change_mean_db,target_only_response_change_ci95_db,target_preservation_status,runtime_mean_ms,memory_usage_bytes_mean,jammer_contract_status,oracle_input_status
FMZuse,Current_WLN,0.0,50,50,PASS,-1.0925002258070098,0.11289997839502794,0.03129427740502407,1.0,1.0,0.0,0.0,0.4,0.38,1.7542552869168082,6.217248937900877e-17,TARGET_PRESERVED,2.2251100605353713,839350.46,UNIFIED_JSR_PASS,PASS
FMZuse,Current_WLN,10.0,50,50,PASS,1.1534946907183286,0.12174425579469156,0.03374578602643093,1.0,1.0,0.02,0.04,0.42,0.38,1.7542552869168082,6.217248937900877e-17,TARGET_PRESERVED,2.184625023510307,838816.84,UNIFIED_JSR_PASS,PASS
FMZuse,Current_WLN,20.0,50,50,PASS,2.982964962148043,0.5101294453340396,0.14140066811082358,0.52,0.52,22.62,0.6,0.4,0.36,1.7542552869168082,6.217248937900877e-17,TARGET_PRESERVED,2.1980141173116863,838819.08,UNIFIED_JSR_PASS,PASS
FMZuse,Current_WLN,30.0,50,50,PASS,2.8749503780699963,0.8983064153460664,0.24899783468683645,0.0,0.1,446.38,377.06,0.4,0.38,1.7542552869168082,6.217248937900877e-17,TARGET_PRESERVED,2.131424165563658,838691.22,UNIFIED_JSR_PASS,PASS
FMZuse,Identity,0.0,50,50,PASS,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4,0.4,0.0,0.0,TARGET_PRESERVED,0.0,0.0,UNIFIED_JSR_PASS,PASS
FMZuse,Identity,10.0,50,50,PASS,0.0,0.0,0.0,1.0,1.0,0.02,0.02,0.42,0.42,0.0,0.0,TARGET_PRESERVED,0.0,0.0,UNIFIED_JSR_PASS,PASS
FMZuse,Identity,20.0,50,50,PASS,0.0,0.0,0.0,0.52,0.52,22.62,22.62,0.4,0.4,0.0,0.0,TARGET_PRESERVED,0.0,0.0,UNIFIED_JSR_PASS,PASS
FMZuse,Identity,30.0,50,50,PASS,0.0,0.0,0.0,0.0,0.0,446.38,446.38,0.4,0.4,0.0,0.0,TARGET_PRESERVED,0.0,0.0,UNIFIED_JSR_PASS,PASS
FMZuse,WLN_p10_o6,0.0,50,50,PASS,-0.8872157782677733,0.10141398318193594,0.02811052196431347,1.0,1.0,0.0,0.0,0.4,0.38,2.884881276191967,1.2434497875801754e-16,TARGET_PRESERVED,2.100517457583919,838998.94,UNIFIED_JSR_PASS,PASS
FMZuse,WLN_p10_o6,10.0,50,50,PASS,1.057171905420825,0.10827293840465768,0.03001172735425131,1.0,1.0,0.02,0.04,0.42,0.38,2.884881276191967,1.2434497875801754e-16,TARGET_PRESERVED,2.1757975209038705,839185.2,UNIFIED_JSR_PASS,PASS
FMZuse,WLN_p10_o6,20.0,50,50,PASS,2.5497486687845625,0.44919843371157486,0.12451145336172552,0.52,0.52,22.62,0.62,0.4,0.36,2.884881276191967,1.2434497875801754e-16,TARGET_PRESERVED,2.223810094874352,839343.22,UNIFIED_JSR_PASS,PASS
FMZuse,WLN_p10_o6,30.0,50,50,PASS,2.3676656581212936,0.7701755319081434,0.2134817657959521,0.0,0.04,446.38,403.46,0.4,0.38,2.884881276191967,1.2434497875801754e-16,TARGET_PRESERVED,2.2051926015410572,839350.28,UNIFIED_JSR_PASS,PASS
