jammer,algorithm,jsr_db,trials,valid_trials,interface_status,delta_sinr_mean_db,delta_sinr_std_db,delta_sinr_ci95_db,pd_identity,pd_algorithm,peak_error_identity_mean,peak_error_algorithm_mean,false_peak_identity_mean,false_peak_algorithm_mean,target_only_response_change_mean_db,target_only_response_change_ci95_db,target_preservation_status,runtime_mean_ms,memory_usage_bytes_mean,jammer_contract_status,oracle_input_status
AMNoiseGaiJam,Current_WLN,10.0,30,30,PASS,1.5380029003553901,0.11629118032066367,0.041614264431011856,1.0,1.0,0.03333333333333333,0.03333333333333333,0.43333333333333335,0.4666666666666667,1.7542552869168087,8.081599008380939e-17,TARGET_PRESERVED,2.1734403058265648,840700.8,UNIFIED_JSR_PASS,PASS
AMNoiseGaiJam,Current_WLN,20.0,30,30,PASS,2.3431008905847657,0.2565104452878601,0.09179108398497239,0.23333333333333334,0.6,0.5,0.5666666666666667,0.43333333333333335,0.43333333333333335,1.7542552869168087,8.081599008380939e-17,TARGET_PRESERVED,2.233809739118442,839450.8,UNIFIED_JSR_PASS,PASS
AMNoiseGaiJam,Current_WLN,30.0,30,30,PASS,1.8277605821919451,0.4648633573508708,0.16634921602605585,0.0,0.0,284.1333333333333,13.366666666666667,0.43333333333333335,0.4,1.7542552869168087,8.081599008380939e-17,TARGET_PRESERVED,2.151809702627361,839352.1,UNIFIED_JSR_PASS,PASS
AMNoiseGaiJam,Identity,10.0,30,30,PASS,0.0,0.0,0.0,1.0,1.0,0.03333333333333333,0.03333333333333333,0.43333333333333335,0.43333333333333335,0.0,0.0,TARGET_PRESERVED,0.0,0.0,UNIFIED_JSR_PASS,PASS
AMNoiseGaiJam,Identity,20.0,30,30,PASS,0.0,0.0,0.0,0.23333333333333334,0.23333333333333334,0.5,0.5,0.43333333333333335,0.43333333333333335,0.0,0.0,TARGET_PRESERVED,0.0,0.0,UNIFIED_JSR_PASS,PASS
AMNoiseGaiJam,Identity,30.0,30,30,PASS,0.0,0.0,0.0,0.0,0.0,284.1333333333333,284.1333333333333,0.43333333333333335,0.43333333333333335,0.0,0.0,TARGET_PRESERVED,0.0,0.0,UNIFIED_JSR_PASS,PASS
AMNoiseGaiJam,WLN_p10_o6,10.0,30,30,PASS,1.352346531930599,0.101958880936988,0.03648551696441891,1.0,1.0,0.03333333333333333,0.03333333333333333,0.43333333333333335,0.4666666666666667,2.8848812761919658,3.2326396033523756e-16,TARGET_PRESERVED,2.1319956712735197,839356.0666666667,UNIFIED_JSR_PASS,PASS
AMNoiseGaiJam,WLN_p10_o6,20.0,30,30,PASS,1.9603396131111395,0.22799292591615122,0.08158622073757507,0.23333333333333334,0.5333333333333333,0.5,0.5666666666666667,0.43333333333333335,0.43333333333333335,2.8848812761919658,3.2326396033523756e-16,TARGET_PRESERVED,2.1948181674815714,839477.9,UNIFIED_JSR_PASS,PASS
AMNoiseGaiJam,WLN_p10_o6,30.0,30,30,PASS,1.4953758577079561,0.414411342976639,0.14829519454775264,0.0,0.0,284.1333333333333,92.13333333333334,0.43333333333333335,0.4,2.8848812761919658,3.2326396033523756e-16,TARGET_PRESERVED,2.0744429649009057,839436.3,UNIFIED_JSR_PASS,PASS
FMNoiseAimedJam,Current_WLN,10.0,30,30,PASS,1.4633717106100852,0.21033574606714506,0.0752676800768272,0.8333333333333334,0.5666666666666667,0.5666666666666667,0.7,0.36666666666666664,0.3333333333333333,1.7542552869168087,8.081599008380939e-17,TARGET_PRESERVED,2.086576489576449,839381.2,UNIFIED_JSR_PASS,PASS
FMNoiseAimedJam,Current_WLN,20.0,30,30,PASS,2.5694844077572148,0.6580093207728162,0.23546561138347039,0.03333333333333333,0.03333333333333333,259.1333333333333,162.9,0.3,0.26666666666666666,1.7542552869168087,8.081599008380939e-17,TARGET_PRESERVED,2.1885000343900174,839461.7666666667,UNIFIED_JSR_PASS,PASS
FMNoiseAimedJam,Current_WLN,30.0,30,30,PASS,1.4465414528890623,1.0022111803432892,0.3586366649604931,0.0,0.0,300.96666666666664,268.93333333333334,0.3,0.23333333333333334,1.7542552869168087,8.081599008380939e-17,TARGET_PRESERVED,2.205497265094891,839465.7666666667,UNIFIED_JSR_PASS,PASS
FMNoiseAimedJam,Identity,10.0,30,30,PASS,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,0.5666666666666667,0.5666666666666667,0.36666666666666664,0.36666666666666664,0.0,0.0,TARGET_PRESERVED,0.0,0.0,UNIFIED_JSR_PASS,PASS
FMNoiseAimedJam,Identity,20.0,30,30,PASS,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,259.1333333333333,259.1333333333333,0.3,0.3,0.0,0.0,TARGET_PRESERVED,0.0,0.0,UNIFIED_JSR_PASS,PASS
FMNoiseAimedJam,Identity,30.0,30,30,PASS,0.0,0.0,0.0,0.0,0.0,300.96666666666664,300.96666666666664,0.3,0.3,0.0,0.0,TARGET_PRESERVED,0.0,0.0,UNIFIED_JSR_PASS,PASS
FMNoiseAimedJam,WLN_p10_o6,10.0,30,30,PASS,1.2528062940858793,0.1856421636180312,0.06643119508327155,0.8333333333333334,0.6,0.5666666666666667,0.7,0.36666666666666664,0.3,2.8848812761919658,3.2326396033523756e-16,TARGET_PRESERVED,2.1619235980324447,839363.3666666667,UNIFIED_JSR_PASS,PASS
FMNoiseAimedJam,WLN_p10_o6,20.0,30,30,PASS,2.1282432292842786,0.5769486550777319,0.20645842470011627,0.03333333333333333,0.03333333333333333,259.1333333333333,179.86666666666667,0.3,0.23333333333333334,2.8848812761919658,3.2326396033523756e-16,TARGET_PRESERVED,2.0739375283786408,839387.4333333333,UNIFIED_JSR_PASS,PASS
FMNoiseAimedJam,WLN_p10_o6,30.0,30,30,PASS,1.1464538360307894,0.8366282497548111,0.2993835742293603,0.0,0.0,300.96666666666664,268.96666666666664,0.3,0.23333333333333334,2.8848812761919658,3.2326396033523756e-16,TARGET_PRESERVED,2.079427797192087,839424.0333333333,UNIFIED_JSR_PASS,PASS
FMNoiseSaopin,Current_WLN,10.0,30,30,PASS,4.770329851446209,3.2978757035992516,1.1801296642768937,1.0,1.0,0.0,0.0,0.43333333333333335,0.4,1.7542552869168087,8.081599008380939e-17,TARGET_PRESERVED,2.10871243228515,839482.0,UNIFIED_JSR_PASS,PASS
FMNoiseSaopin,Current_WLN,20.0,30,30,PASS,9.32894071841809,4.691954546756731,1.6789943714444249,1.0,1.0,65.83333333333333,0.0,0.4,0.4,1.7542552869168087,8.081599008380939e-17,TARGET_PRESERVED,2.0663569720151522,839391.7333333333,UNIFIED_JSR_PASS,PASS
FMNoiseSaopin,Current_WLN,30.0,30,30,PASS,12.135737844518628,6.078158436134929,2.1750410625934635,1.0,1.0,745.4666666666667,0.0,0.4,0.36666666666666664,1.7542552869168087,8.081599008380939e-17,TARGET_PRESERVED,2.0646929973736405,839375.0,UNIFIED_JSR_PASS,PASS
FMNoiseSaopin,Identity,10.0,30,30,PASS,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.43333333333333335,0.43333333333333335,0.0,0.0,TARGET_PRESERVED,0.0,0.0,UNIFIED_JSR_PASS,PASS
FMNoiseSaopin,Identity,20.0,30,30,PASS,0.0,0.0,0.0,1.0,1.0,65.83333333333333,65.83333333333333,0.4,0.4,0.0,0.0,TARGET_PRESERVED,0.0,0.0,UNIFIED_JSR_PASS,PASS
FMNoiseSaopin,Identity,30.0,30,30,PASS,0.0,0.0,0.0,1.0,1.0,745.4666666666667,745.4666666666667,0.4,0.4,0.0,0.0,TARGET_PRESERVED,0.0,0.0,UNIFIED_JSR_PASS,PASS
FMNoiseSaopin,WLN_p10_o6,10.0,30,30,PASS,4.472086174698464,3.050576558788036,1.0916348018345319,1.0,1.0,0.0,0.0,0.43333333333333335,0.4666666666666667,2.8848812761919658,3.2326396033523756e-16,TARGET_PRESERVED,2.0959833617477366,839485.5666666667,UNIFIED_JSR_PASS,PASS
FMNoiseSaopin,WLN_p10_o6,20.0,30,30,PASS,8.601861426390125,4.591510859105428,1.6430510594338188,1.0,1.0,65.83333333333333,0.0,0.4,0.4,2.8848812761919658,3.2326396033523756e-16,TARGET_PRESERVED,2.1505944683061293,839514.3666666667,UNIFIED_JSR_PASS,PASS
FMNoiseSaopin,WLN_p10_o6,30.0,30,30,PASS,11.032388657479906,6.006540449601934,2.149412895251945,1.0,1.0,745.4666666666667,186.63333333333333,0.4,0.36666666666666664,2.8848812761919658,3.2326396033523756e-16,TARGET_PRESERVED,2.1793109306599945,839505.5333333333,UNIFIED_JSR_PASS,PASS
NoiseProductJamming,Current_WLN,10.0,30,30,PASS,3.0184573183275223,0.6660479607766593,0.23834220176515902,0.3333333333333333,0.5,12.266666666666667,0.7666666666666667,0.26666666666666666,0.1,1.7542552869168087,8.081599008380939e-17,TARGET_PRESERVED,2.1230055989387133,839314.8333333334,UNIFIED_JSR_PASS,PASS
NoiseProductJamming,Current_WLN,20.0,30,30,PASS,2.79356541831438,1.115454486071616,0.39916026147594735,0.0,0.03333333333333333,184.6,130.73333333333332,0.26666666666666666,0.1,1.7542552869168087,8.081599008380939e-17,TARGET_PRESERVED,2.124720906916385,839257.6,UNIFIED_JSR_PASS,PASS
NoiseProductJamming,Current_WLN,30.0,30,30,PASS,0.9575877174297321,1.1470923482394417,0.41048172505257824,0.0,0.0,207.33333333333334,184.86666666666667,0.4,0.1,1.7542552869168087,8.081599008380939e-17,TARGET_PRESERVED,2.2090902377385646,839258.0333333333,UNIFIED_JSR_PASS,PASS
NoiseProductJamming,Identity,10.0,30,30,PASS,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,12.266666666666667,12.266666666666667,0.26666666666666666,0.26666666666666666,0.0,0.0,TARGET_PRESERVED,0.0,0.0,UNIFIED_JSR_PASS,PASS
NoiseProductJamming,Identity,20.0,30,30,PASS,0.0,0.0,0.0,0.0,0.0,184.6,184.6,0.26666666666666666,0.26666666666666666,0.0,0.0,TARGET_PRESERVED,0.0,0.0,UNIFIED_JSR_PASS,PASS
NoiseProductJamming,Identity,30.0,30,30,PASS,0.0,0.0,0.0,0.0,0.0,207.33333333333334,207.33333333333334,0.4,0.4,0.0,0.0,TARGET_PRESERVED,0.0,0.0,UNIFIED_JSR_PASS,PASS
NoiseProductJamming,WLN_p10_o6,10.0,30,30,PASS,2.6636418860212503,0.5989458151572039,0.21433000734081453,0.3333333333333333,0.43333333333333335,12.266666666666667,0.8,0.26666666666666666,0.13333333333333333,2.8848812761919658,3.2326396033523756e-16,TARGET_PRESERVED,2.19025700353086,839190.5,UNIFIED_JSR_PASS,PASS
NoiseProductJamming,WLN_p10_o6,20.0,30,30,PASS,2.335713628284924,0.9769384023279908,0.34959291749542404,0.0,0.03333333333333333,184.6,139.66666666666666,0.26666666666666666,0.13333333333333333,2.8848812761919658,3.2326396033523756e-16,TARGET_PRESERVED,2.2300361403419324,839184.4666666667,UNIFIED_JSR_PASS,PASS
NoiseProductJamming,WLN_p10_o6,30.0,30,30,PASS,0.7687958238575017,1.0185577136912578,0.36448619679426575,0.0,0.0,207.33333333333334,191.8,0.4,0.16666666666666666,2.8848812761919658,3.2326396033523756e-16,TARGET_PRESERVED,2.199722232762724,839191.3,UNIFIED_JSR_PASS,PASS
SMSP,Current_WLN,10.0,30,30,PASS,1.6095107603398413,0.019913938186851943,0.007126111260418859,0.23333333333333334,0.0,1.0333333333333334,2.0,0.4,0.3,1.7542552869168087,8.081599008380939e-17,TARGET_PRESERVED,2.1108665231925747,839249.3333333334,UNIFIED_JSR_PASS,PASS
SMSP,Current_WLN,20.0,30,30,PASS,2.9663727312389483,0.017622685173143953,0.006306196899519947,0.0,0.0,518.0,518.0,0.4,0.26666666666666666,1.7542552869168087,8.081599008380939e-17,TARGET_PRESERVED,2.1531930367928,839262.6,UNIFIED_JSR_PASS,PASS
SMSP,Current_WLN,30.0,30,30,PASS,0.9261539510910912,0.014038095994434568,0.005023468135842157,0.0,0.0,518.0,518.0,0.4,0.36666666666666664,1.7542552869168087,8.081599008380939e-17,TARGET_PRESERVED,2.1178958433059356,839296.3,UNIFIED_JSR_PASS,PASS
SMSP,Identity,10.0,30,30,PASS,0.0,0.0,0.0,0.23333333333333334,0.23333333333333334,1.0333333333333334,1.0333333333333334,0.4,0.4,0.0,0.0,TARGET_PRESERVED,0.0,0.0,UNIFIED_JSR_PASS,PASS
SMSP,Identity,20.0,30,30,PASS,0.0,0.0,0.0,0.0,0.0,518.0,518.0,0.4,0.4,0.0,0.0,TARGET_PRESERVED,0.0,0.0,UNIFIED_JSR_PASS,PASS
SMSP,Identity,30.0,30,30,PASS,0.0,0.0,0.0,0.0,0.0,518.0,518.0,0.4,0.4,0.0,0.0,TARGET_PRESERVED,0.0,0.0,UNIFIED_JSR_PASS,PASS
SMSP,WLN_p10_o6,10.0,30,30,PASS,1.350444071017688,0.018385291337939803,0.0065790920108347245,0.23333333333333334,0.0,1.0333333333333334,2.0,0.4,0.3,2.8848812761919658,3.2326396033523756e-16,TARGET_PRESERVED,2.083561171699936,839196.5666666667,UNIFIED_JSR_PASS,PASS
SMSP,WLN_p10_o6,20.0,30,30,PASS,2.4543854093110733,0.016138783914984915,0.005775189653946666,0.0,0.0,518.0,518.0,0.4,0.26666666666666666,2.8848812761919658,3.2326396033523756e-16,TARGET_PRESERVED,2.0951665685667344,839208.0666666667,UNIFIED_JSR_PASS,PASS
SMSP,WLN_p10_o6,30.0,30,30,PASS,0.7553424453813574,0.01156810702337404,0.004139593934032791,0.0,0.0,518.0,518.0,0.4,0.36666666666666664,2.8848812761919658,3.2326396033523756e-16,TARGET_PRESERVED,2.075000097587084,839163.5333333333,UNIFIED_JSR_PASS,PASS
