jammer,algorithm,jsr_db,seed,jammer_contract_status,jammer_comparable,requested_jsr_db,measured_jsr_db,jsr_error_db,jsr_status,legacy_components_available,interface_status,oracle_input_status,forbidden_keys_present,delta_sinr_db,pd_identity,pd_algorithm,peak_error_identity,peak_error_algorithm,false_peak_identity,false_peak_algorithm,target_only_response_change_db,target_preservation_status,runtime_ms,memory_usage_bytes,max_false_peak_db_after
AMNoiseGaiJam,Current_WLN,10.0,2000,UNIFIED_JSR_PASS,True,10.0,10.0,0.0,unified/pass,True,PASS,PASS,,1.5265153111105043,1.0,1.0,0,0,0,0,1.7542552869168084,TARGET_PRESERVED,2.758874965365976,867918,-inf
AMNoiseGaiJam,Current_WLN,10.0,2001,UNIFIED_JSR_PASS,True,10.0,10.0,0.0,unified/pass,True,PASS,PASS,,1.6264530593964501,1.0,1.0,0,0,0,0,1.7542552869168084,TARGET_PRESERVED,2.272250014357269,841259,-inf
AMNoiseGaiJam,Current_WLN,10.0,2002,UNIFIED_JSR_PASS,True,10.0,10.0,0.0,unified/pass,True,PASS,PASS,,1.710969549508004,1.0,1.0,0,0,0,0,1.7542552869168084,TARGET_PRESERVED,2.449624997097999,840963,-inf
AMNoiseGaiJam,Current_WLN,10.0,2003,UNIFIED_JSR_PASS,True,10.0,10.0,0.0,unified/pass,True,PASS,PASS,,1.50562996569289,1.0,1.0,0,0,2,2,1.7542552869168084,TARGET_PRESERVED,2.1198330214247108,840889,-29.68125613977016
AMNoiseGaiJam,Current_WLN,10.0,2004,UNIFIED_JSR_PASS,True,10.0,9.999999999999998,-1.7763568394002505e-15,unified/pass,True,PASS,PASS,,1.5147431428779328,1.0,1.0,0,0,0,0,1.7542552869168084,TARGET_PRESERVED,2.37558304797858,840490,-inf
AMNoiseGaiJam,Current_WLN,10.0,2005,UNIFIED_JSR_PASS,True,10.0,9.999999999999998,-1.7763568394002505e-15,unified/pass,True,PASS,PASS,,1.5168264323100047,1.0,1.0,0,0,0,0,1.7542552869168084,TARGET_PRESERVED,2.232957980595529,840390,-inf
AMNoiseGaiJam,Current_WLN,10.0,2006,UNIFIED_JSR_PASS,True,10.0,10.0,0.0,unified/pass,True,PASS,PASS,,1.550017558997773,1.0,1.0,0,0,1,0,1.7542552869168084,TARGET_PRESERVED,2.1149999811314046,840544,-inf
AMNoiseGaiJam,Current_WLN,10.0,2007,UNIFIED_JSR_PASS,True,10.0,10.0,0.0,unified/pass,True,PASS,PASS,,1.3744920801130576,1.0,1.0,0,0,0,0,1.7542552869168084,TARGET_PRESERVED,2.160542004276067,839936,-inf
AMNoiseGaiJam,Current_WLN,10.0,2008,UNIFIED_JSR_PASS,True,10.0,10.000000000000002,1.7763568394002505e-15,unified/pass,True,PASS,PASS,,1.5027264746820492,1.0,1.0,0,0,0,1,1.7542552869168084,TARGET_PRESERVED,2.0650000078603625,839859,-25.220261267302813
AMNoiseGaiJam,Current_WLN,10.0,2009,UNIFIED_JSR_PASS,True,10.0,10.0,0.0,unified/pass,True,PASS,PASS,,1.67048448857771,1.0,1.0,0,0,0,0,1.7542552869168084,TARGET_PRESERVED,2.0738340099342167,839725,-inf
