jammer,jsr_db,target_position,mode,trials,interface_pass,target_erased_count,delta_sinr_mean_db,delta_sinr_std_db,delta_sinr_ci95_db,target_only_change_mean_db,target_only_change_min_db,detected_after_mean,peak_error_after_mean,false_peak_after_mean,normalized_output_difference_mean,filter_coefficient_difference_mean,runtime_mean_ms,memory_mean_bytes
AMNoiseGaiJam,0.0,1250,fixed_0,20,20,0,-52.2422008593597,0.3245775220473831,0.14225237104021152,-100.74809690831708,-100.74809690831707,0.0,750.0,626.95,1.0003284550920015,1.4162946809990093,0.019391800742596388,400000000.0
AMNoiseGaiJam,0.0,1250,missing,20,20,0,-52.2422008593597,0.3245775220473831,0.14225237104021152,-100.74809690831708,-100.74809690831707,0.0,750.0,626.95,1.0003284550920015,1.4162946809990093,0.019239450921304524,400000000.0
AMNoiseGaiJam,0.0,1250,offset_+1,20,20,0,8.371031247821305,0.3245775220565747,0.1422523710442399,-0.3035923747676373,-0.30359237476763723,1.0,1.0,493.8,0.1884980466417984,1.7761505289286288,0.019164540572091937,400000000.0
AMNoiseGaiJam,0.0,1250,offset_+16,20,20,0,-2.4447705068598102,0.3245775220565369,0.14225237104422334,-28.5297185319765,-28.529718531976496,0.0,16.0,489.8,0.9832810829473392,1.298350632869114,0.019370802328921854,400000000.0
AMNoiseGaiJam,0.0,1250,offset_+2,20,20,0,8.367165701849164,0.32457752205657553,0.14225237104424027,-1.188619231516971,-1.1886192315169712,1.0,2.0,490.0,0.36422490885382136,1.6057022577815663,0.019258251995779574,400000000.0
AMNoiseGaiJam,0.0,1250,offset_+32,20,20,0,-22.725896118039962,0.3245775220565907,0.14225237104424693,-60.90086154434167,-60.90086154434165,0.0,32.0,486.4,1.002055313061031,1.4209607876364,0.019237547530792654,400000000.0
AMNoiseGaiJam,0.0,1250,offset_+4,20,20,0,8.217707106799924,0.32457752205657464,0.1422523710442399,-4.868838735280629,-4.868838735280628,1.0,4.0,489.7,0.6678291195555914,1.7948367812882602,0.019331203657202423,400000000.0
AMNoiseGaiJam,0.0,1250,offset_+8,20,20,0,7.322955114564765,0.32457752205622803,0.14225237104408797,-24.77015269320042,-24.770152693200416,1.0,8.0,490.3,0.9850743850696565,1.3611162698384054,0.019635402713902295,400000000.0
AMNoiseGaiJam,0.0,1250,offset_-1,20,20,0,8.37103124782131,0.32457752205657525,0.14225237104424016,-0.3035923747676373,-0.30359237476763723,1.0,1.0,492.5,0.18808193477516602,1.7761505289286288,0.019452048582024872,400000000.0
AMNoiseGaiJam,0.0,1250,offset_-16,20,20,0,-2.4447705068595864,0.324577522056567,0.14225237104423652,-28.5297185319765,-28.529718531976496,0.0,16.0,497.45,0.9824002819812078,1.298350632869114,0.01946039847098291,400000000.0
AMNoiseGaiJam,0.0,1250,offset_-2,20,20,0,8.36716570184917,0.3245775220565747,0.1422523710442399,-1.188619231516971,-1.1886192315169712,1.0,2.0,491.3,0.36253282612235177,1.6057022577815663,0.01918560010381043,400000000.0
AMNoiseGaiJam,0.0,1250,offset_-32,20,20,0,-22.725896118041142,0.3245775220563164,0.14225237104412672,-60.90086154434166,-60.90086154434164,0.0,32.0,498.9,1.0003056643404267,1.4209607876364,0.019502060604281723,400000000.0
AMNoiseGaiJam,0.0,1250,offset_-4,20,20,0,8.217707106799967,0.32457752205657536,0.14225237104424018,-4.868838735280629,-4.868838735280628,1.0,4.0,491.9,0.6618370516893262,1.7948367812882602,0.01921250077430159,400000000.0
AMNoiseGaiJam,0.0,1250,offset_-8,20,20,0,7.322955114569465,0.3245775220565718,0.14225237104423866,-24.77015269320042,-24.770152693200416,1.0,8.0,492.5,0.9744581883494551,1.3611162698384054,0.01939600333571434,400000000.0
AMNoiseGaiJam,0.0,1250,random,20,20,11,-208.22781467791933,146.27527003409486,64.1079636557813,-104.1076089918767,-126.6771315657612,0.15,1397.65,278.05,1.0001730712751875,1.407624122522626,0.019354047253727913,400000000.0
AMNoiseGaiJam,0.0,1250,true,20,20,0,8.368276260404437,0.32457752205657536,0.14225237104424018,-8.685846209919741e-05,-8.685846209919741e-05,1.0,0.0,490.25,0.0,0.0,0.021052148076705635,400000000.0
AMNoiseGaiJam,0.0,2500,fixed_0,20,20,20,nan,0.0,0.0,nan,nan,0.0,2500.0,0.0,0.9999999999999691,1.4142135623730503,0.019324946333654225,400000000.0
AMNoiseGaiJam,0.0,2500,missing,20,20,20,nan,0.0,0.0,nan,nan,0.0,2500.0,0.0,0.9999999999999691,1.4142135623730503,0.01919170026667416,400000000.0
AMNoiseGaiJam,0.0,2500,offset_+1,20,20,0,8.304954309207524,0.33198998874372987,0.1455010278053525,-0.3035923747676373,-0.30359237476763723,1.0,1.0,274.8,0.1884980466417984,1.7761505289286288,0.01922514638863504,400000000.0
AMNoiseGaiJam,0.0,2500,offset_+16,20,20,0,-2.510847445473593,0.33198998874369573,0.14550102780533752,-28.529718531976492,-28.529718531976492,0.0,16.0,272.2,0.9832810829473392,1.298350632869114,0.019325059838593006,400000000.0
AMNoiseGaiJam,0.0,2500,offset_+2,20,20,0,8.30108876323538,0.33198998874373037,0.14550102780535273,-1.188619231516971,-1.1886192315169712,1.0,2.0,271.7,0.36422490885382136,1.6057022577815663,0.019545794930309057,400000000.0
AMNoiseGaiJam,0.0,2500,offset_+32,20,20,0,-22.791973056653745,0.331989988743743,0.14550102780535826,-60.90086154434167,-60.90086154434165,0.0,32.0,266.9,1.002055313061031,1.4209607876364,0.019181292736902833,400000000.0
AMNoiseGaiJam,0.0,2500,offset_+4,20,20,0,8.151630168186143,0.33198998874372976,0.14550102780535246,-4.868838735280628,-4.868838735280626,1.0,4.0,271.3,0.6678291195555914,1.7948367812882602,0.01917715126182884,400000000.0
AMNoiseGaiJam,0.0,2500,offset_+8,20,20,0,7.256878175950985,0.3319899887433792,0.1455010278051988,-24.77015269320042,-24.770152693200416,1.0,8.0,271.45,0.9850743850696565,1.3611162698384054,0.01927090634126216,400000000.0
