jammer,jsr_db,seed,target_position,true_target_idx_for_evaluation_only,mode,supplied_target_idx,effective_target_idx,target_idx_error,oracle_input_status,forbidden_keys_present,interface_status,runtime_ms,memory_usage_bytes,equivalent_workspace_bytes,implementation_path,exception_type,exception_message,filter_coefficient_difference_norm,target_only_response_change_db,target_only_response_change_is_finite,target_preservation_status,target_only_reference_peak_index,delta_sinr_db,detected_before,detected_after,peak_error_before,peak_error_after,false_peak_count_before,false_peak_count_after,target_window_peak_change_db,output_is_finite,normalized_output_difference_vs_true
NoiseProductJamming,0.0,5000,500,500,true,500,500,0,DIAGNOSTIC_INDEX_INJECTED,target_idx,PASS,0.026374997105449438,400000000,160016,algebraic_equivalent_to_active_core,,,0.0,-8.685846209919741e-05,True,TARGET_PRESERVED,500,11.931037407382803,True,True,1,0,86,628,-0.16897373122754092,True,0.0
NoiseProductJamming,0.0,5000,500,500,offset_-32,468,468,32,DIAGNOSTIC_INDEX_INJECTED,target_idx,PASS,0.02037500962615013,400000000,160016,algebraic_equivalent_to_active_core,,,0.0,-8.685846209919741e-05,True,TARGET_PRESERVED,500,11.931037407382803,True,True,1,0,86,628,-0.16897373122754092,True,0.0
NoiseProductJamming,0.0,5000,500,500,offset_-16,484,484,16,DIAGNOSTIC_INDEX_INJECTED,target_idx,PASS,0.017375044990330935,400000000,160016,algebraic_equivalent_to_active_core,,,0.0,-8.685846209919741e-05,True,TARGET_PRESERVED,500,11.931037407382803,True,True,1,0,86,628,-0.16897373122754092,True,0.0
NoiseProductJamming,0.0,5000,500,500,offset_-8,492,492,8,DIAGNOSTIC_INDEX_INJECTED,target_idx,PASS,0.01637497916817665,400000000,160016,algebraic_equivalent_to_active_core,,,0.0,-8.685846209919741e-05,True,TARGET_PRESERVED,500,11.931037407382803,True,True,1,0,86,628,-0.16897373122754092,True,0.0
NoiseProductJamming,0.0,5000,500,500,offset_-4,496,496,4,DIAGNOSTIC_INDEX_INJECTED,target_idx,PASS,0.0160830095410347,400000000,160016,algebraic_equivalent_to_active_core,,,0.0,-8.685846209919741e-05,True,TARGET_PRESERVED,500,11.931037407382803,True,True,1,0,86,628,-0.16897373122754092,True,0.0
NoiseProductJamming,0.0,5000,500,500,offset_-2,498,498,2,DIAGNOSTIC_INDEX_INJECTED,target_idx,PASS,0.016250007320195436,400000000,160016,algebraic_equivalent_to_active_core,,,0.0,-8.685846209919741e-05,True,TARGET_PRESERVED,500,11.931037407382803,True,True,1,0,86,628,-0.16897373122754092,True,0.0
NoiseProductJamming,0.0,5000,500,500,offset_-1,499,499,1,DIAGNOSTIC_INDEX_INJECTED,target_idx,PASS,0.015874975360929966,400000000,160016,algebraic_equivalent_to_active_core,,,0.0,-8.685846209919741e-05,True,TARGET_PRESERVED,500,11.931037407382803,True,True,1,0,86,628,-0.16897373122754092,True,0.0
NoiseProductJamming,0.0,5000,500,500,offset_+1,501,501,1,DIAGNOSTIC_INDEX_INJECTED,target_idx,PASS,0.01591700129210949,400000000,160016,algebraic_equivalent_to_active_core,,,1.7761505289286286,-0.30359237476763723,True,TARGET_PRESERVED,500,11.933819403571654,True,True,1,1,86,626,-0.6375210511210416,True,0.18882479883597114
NoiseProductJamming,0.0,5000,500,500,offset_+2,502,502,2,DIAGNOSTIC_INDEX_INJECTED,target_idx,PASS,0.015790981706231833,400000000,160016,algebraic_equivalent_to_active_core,,,1.605702257781566,-1.1886192315169701,True,TARGET_ATTENUATED,500,11.929915965618392,True,True,1,2,86,630,-1.4085366872710192,True,0.36427346493130436
NoiseProductJamming,0.0,5000,500,500,offset_+4,504,504,4,DIAGNOSTIC_INDEX_INJECTED,target_idx,PASS,0.015790981706231833,400000000,160016,algebraic_equivalent_to_active_core,,,1.7948367812882602,-4.868838735280628,True,TARGET_ATTENUATED,500,11.779018122807436,True,True,1,4,86,622,-4.018417032404684,True,0.6658911549466197
NoiseProductJamming,0.0,5000,500,500,offset_+8,508,508,8,DIAGNOSTIC_INDEX_INJECTED,target_idx,PASS,0.015666999388486147,400000000,160016,algebraic_equivalent_to_active_core,,,1.3611162698384056,-24.770152693200416,True,TARGET_ATTENUATED,500,10.876620581342557,True,True,1,8,86,632,-18.005169696311253,True,0.9801209351388749
NoiseProductJamming,0.0,5000,500,500,offset_+16,516,516,16,DIAGNOSTIC_INDEX_INJECTED,target_idx,PASS,0.018250022549182177,400000000,160016,algebraic_equivalent_to_active_core,,,1.2983506328691141,-28.529718531976492,True,TARGET_ATTENUATED,500,1.089285348323564,True,False,1,16,86,628,-21.94994341723893,True,0.9823459408812156
NoiseProductJamming,0.0,5000,500,500,offset_+32,532,532,32,DIAGNOSTIC_INDEX_INJECTED,target_idx,PASS,0.016417005099356174,400000000,160016,algebraic_equivalent_to_active_core,,,1.4209607876364,-60.900861544341645,True,TARGET_ATTENUATED,500,-19.203400927999187,True,False,1,32,86,624,-38.43549994923336,True,1.002022811016185
NoiseProductJamming,0.0,5000,500,500,fixed_0,0,0,500,DIAGNOSTIC_INDEX_INJECTED,target_idx,PASS,0.01775001874193549,400000000,160016,algebraic_equivalent_to_active_core,,,0.0,-8.685846209919741e-05,True,TARGET_PRESERVED,500,11.931037407382803,True,True,1,0,86,628,-0.16897373122754092,True,0.0
NoiseProductJamming,0.0,5000,500,500,random,3581,3581,3081,DIAGNOSTIC_INDEX_INJECTED,target_idx,PASS,0.01637497916817665,400000000,160016,algebraic_equivalent_to_active_core,,,1.4142135623730505,-inf,False,TARGET_ERASED,500,-335.78681410986394,True,False,1,3081,86,74,-374.1956760175203,True,1.000055543259391
NoiseProductJamming,0.0,5000,500,500,missing,,0,,PASS_MISSING_INDEX,,PASS,0.016207981389015913,400000000,160016,algebraic_equivalent_to_active_core,,,0.0,-8.685846209919741e-05,True,TARGET_PRESERVED,500,11.931037407382803,True,True,1,0,86,628,-0.16897373122754092,True,0.0
NoiseProductJamming,0.0,5000,1250,1250,true,1250,1250,0,DIAGNOSTIC_INDEX_INJECTED,target_idx,PASS,0.018040998838841915,400000000,160016,algebraic_equivalent_to_active_core,,,0.0,-8.685846209919741e-05,True,TARGET_PRESERVED,1250,12.019743725854706,True,True,1,0,0,484,-0.1689771284105614,True,0.0
NoiseProductJamming,0.0,5000,1250,1250,offset_-32,1218,1218,32,DIAGNOSTIC_INDEX_INJECTED,target_idx,PASS,0.016041973140090704,400000000,160016,algebraic_equivalent_to_active_core,,,1.4209607876364,-60.90086154434164,True,TARGET_ATTENUATED,1250,-19.074428652589575,True,False,1,32,0,497,-35.790833045695464,True,1.008277023346905
NoiseProductJamming,0.0,5000,1250,1250,offset_-16,1234,1234,16,DIAGNOSTIC_INDEX_INJECTED,target_idx,PASS,0.015833997167646885,400000000,160016,algebraic_equivalent_to_active_core,,,1.2983506328691141,-28.529718531976496,True,TARGET_ATTENUATED,1250,1.2066969585902,True,False,1,16,0,485,-24.177528117965466,True,0.9845050022372727
NoiseProductJamming,0.0,5000,1250,1250,offset_-8,1242,1242,8,DIAGNOSTIC_INDEX_INJECTED,target_idx,PASS,0.015625031664967537,400000000,160016,algebraic_equivalent_to_active_core,,,1.3611162698384056,-24.770152693200416,True,TARGET_ATTENUATED,1250,10.974422580019866,True,True,1,8,0,499,-7.811082603965477,True,0.9862870557782236
NoiseProductJamming,0.0,5000,1250,1250,offset_-4,1246,1246,4,DIAGNOSTIC_INDEX_INJECTED,target_idx,PASS,0.015665951650589705,400000000,160016,algebraic_equivalent_to_active_core,,,1.7948367812882602,-4.868838735280628,True,TARGET_ATTENUATED,1250,11.869174572250241,True,True,1,4,0,487,-1.198670969925796,True,0.6686622230130512
