jammer,jsr_db,seed,target_position,algorithm,role,true_target_idx_for_evaluation_only,estimated_target_idx,estimation_error_for_evaluation_only,estimator_confidence,fallback,fit_status,condition_number,regularization,diagnostics_json,oracle_input_status,forbidden_keys_present,interface_status,runtime_ms,memory_usage_bytes,exception_type,exception_message,target_only_response_change_db,target_only_response_change_is_finite,target_preservation_status,target_only_reference_peak_index,delta_sinr_db,detected_before,detected_after,peak_error_before,peak_error_after,false_peak_count_before,false_peak_count_after,target_window_peak_change_db
NoiseProductJamming,0.0,6000,500,Identity,IDENTITY_BASELINE,500,,,1.0,Identity,IDENTITY,1.0,0.0,{},PASS,,PASS,0.0,0,,,-8.678947198979587e-15,True,TARGET_PRESERVED,500,0.0,True,True,1,1,88,88,-9.643274665532877e-15
NoiseProductJamming,0.0,6000,500,adapt_filter_oracle,ORACLE_UPPER_BOUND,500,500,0,1.0,,LEGACY_ORACLE_TRUE_TARGET_IDX,nan,0.01,{},ORACLE_TRUE_TARGET_IDX,target_idx,PASS,40.92616599518806,400274019,,,-8.685846209919741e-05,True,TARGET_PRESERVED,500,12.732441395405843,True,True,1,0,88,612,-0.08491612425978562
NoiseProductJamming,0.0,6000,500,adapt_filter_fair,FAIR_PROTOTYPE_A,500,500,0,0.9031070401208052,,FITTED_TOPK_PROTECTED_PROJECTION,1.00001,0.01,"{""candidate_count"": 5, ""candidate_separation"": 125, ""margin_confidence"": 0.8159328746588712, ""method"": ""matched_filter_top_k_peak_margin"", ""peak_confidence"": 0.9902812055827392, ""topk_candidates"": [{""center"": 500, ""matched_response"": 936.7134057796437, ""normalized_peak"": 0.9902812055827392, ""relative_score"": 115.01099438666408}, {""center"": 660, ""matched_response"": 172.41814387035063, ""normalized_peak"": 0.18227821479095513, ""relative_score"": 21.169743119377138}, {""center"": 793, ""matched_response"": 79.39254355077951, ""normalized_peak"": 0.08393276241873406, ""relative_score"": 9.747928581273772}, {""center"": 931, ""matched_response"": 48.77278029802023, ""normalized_peak"": 0.05156194773677398, ""relative_score"": 5.98839082099908}, {""center"": 3221, ""matched_response"": 29.98350783288723, ""normalized_peak"": 0.03169817374358787, ""relative_score"": 3.681417421575704}]}",PASS,,PASS,0.8030409808270633,404952,,,-8.685846209919741e-05,True,TARGET_PRESERVED,500,12.732441395405843,True,True,1,0,88,632,-0.08491612425978562
NoiseProductJamming,0.0,6000,500,adapt_filter_fair_multihypothesis,FAIR_PROTOTYPE_B,500,500,0,0.5402862590306986,,FITTED_MULTI_HYPOTHESIS_PROTECTED_PROJECTION,1.00001,0.01,"{""candidate_count"": 5, ""candidate_scores"": [4.673037260278126, 4.251102592785852, 4.058906526579584, 3.939043232644865, 3.8205399334669576], ""candidate_separation"": 125, ""margin_confidence"": 0.09029131247865793, ""method"": ""multi_hypothesis_observable_stability"", ""peak_confidence"": 0.9902812055827392, ""topk_candidates"": [{""center"": 500, ""local_peak"": 936.7040387392562, ""observable_selection_score"": 4.673037260278126, ""off_candidate_peak"": 51.074338493928245, ""stability_proxy"": 18.34001313302558}, {""center"": 660, ""local_peak"": 172.41641970615356, ""observable_selection_score"": 4.251102592785852, ""off_candidate_peak"": 9.401106665276767, ""stability_proxy"": 18.340013133023984}, {""center"": 793, ""local_peak"": 79.3917496332832, ""observable_selection_score"": 4.058906526579584, ""off_candidate_peak"": 4.328881831077744, ""stability_proxy"": 18.3400131330217}, {""center"": 931, ""local_peak"": 48.772292575094475, ""observable_selection_score"": 3.939043232644865, ""off_candidate_peak"": 2.6593379307492064, ""stability_proxy"": 18.340013133019042}, {""center"": 3221, ""local_peak"": 29.98320800080722, ""observable_selection_score"": 3.8205399334669576, ""off_candidate_peak"": 1.6348520463605714, ""stability_proxy"": 18.340013133014725}]}",PASS,,PASS,1.7471250030212104,974966,,,-8.685846209919741e-05,True,TARGET_PRESERVED,500,12.732441395405843,True,True,1,0,88,632,-0.08491612425978562
NoiseProductJamming,0.0,6000,1500,Identity,IDENTITY_BASELINE,1500,,,1.0,Identity,IDENTITY,1.0,0.0,{},PASS,,PASS,0.0,0,,,-8.678947198979587e-15,True,TARGET_PRESERVED,1500,0.0,True,True,1,1,2,2,-9.643274665532877e-15
NoiseProductJamming,0.0,6000,1500,adapt_filter_oracle,ORACLE_UPPER_BOUND,1500,1500,0,1.0,,LEGACY_ORACLE_TRUE_TARGET_IDX,nan,0.01,{},ORACLE_TRUE_TARGET_IDX,target_idx,PASS,24.049292027484626,400257360,,,-8.685846209919741e-05,True,TARGET_PRESERVED,1500,13.002907202996784,True,True,1,0,2,451,-0.08489135957457054
NoiseProductJamming,0.0,6000,1500,adapt_filter_fair,FAIR_PROTOTYPE_A,1500,1499,1,0.9016186036390581,,FITTED_TOPK_PROTECTED_PROJECTION,1.00001,0.01,"{""candidate_count"": 5, ""candidate_separation"": 125, ""margin_confidence"": 0.8032372072781174, ""method"": ""matched_filter_top_k_peak_margin"", ""peak_confidence"": 0.9999999999999989, ""topk_candidates"": [{""center"": 1499, ""matched_response"": 945.9037794536438, ""normalized_peak"": 0.9999999999999989, ""relative_score"": 94.34579388896289}, {""center"": 1353, ""matched_response"": 186.11866929147462, ""normalized_peak"": 0.19676279272187389, ""relative_score"": 18.56374188715466}, {""center"": 1660, ""matched_response"": 172.4181438703506, ""normalized_peak"": 0.18227873449235982, ""relative_score"": 17.19723191475719}, {""center"": 1160, ""matched_response"": 170.897784841232, ""normalized_peak"": 0.18067142615704823, ""relative_score"": 17.04558913383787}, {""center"": 999, ""matched_response"": 166.25887428799714, ""normalized_peak"": 0.17576721639068668, ""relative_score"": 16.582897570032483}]}",PASS,,PASS,0.6501249736174941,402428,,,-8.685846209919741e-05,True,TARGET_PRESERVED,1500,13.005662190413656,True,True,1,1,2,456,-8.685846209919741e-05
NoiseProductJamming,0.0,6000,1500,adapt_filter_fair_multihypothesis,FAIR_PROTOTYPE_B,1500,1499,1,0.5433499880892192,,FITTED_MULTI_HYPOTHESIS_PROTECTED_PROJECTION,1.00001,0.01,"{""candidate_count"": 5, ""candidate_scores"": [4.675475539679762, 4.2701119217665635, 4.251102592785852, 4.248901175581022, 4.242061858489756], ""candidate_separation"": 125, ""margin_confidence"": 0.08669997617843943, ""method"": ""multi_hypothesis_observable_stability"", ""peak_confidence"": 0.9999999999999989, ""topk_candidates"": [{""center"": 1499, ""local_peak"": 945.8943205104385, ""observable_selection_score"": 4.675475539679762, ""off_candidate_peak"": 51.57544401138464, ""stability_proxy"": 18.340013133025586}, {""center"": 1353, ""local_peak"": 186.1168081233934, ""observable_selection_score"": 4.2701119217665635, ""off_candidate_peak"": 10.1481283995507, ""stability_proxy"": 18.34001313302414}, {""center"": 1660, ""local_peak"": 172.41641970615356, ""observable_selection_score"": 4.251102592785852, ""off_candidate_peak"": 9.401106665276766, ""stability_proxy"": 18.340013133023987}, {""center"": 1160, ""local_peak"": 170.89607588047318, ""observable_selection_score"": 4.248901175581022, ""off_candidate_peak"": 9.318209024219868, ""stability_proxy"": 18.340013133023966}, {""center"": 999, ""local_peak"": 166.25721171588, ""observable_selection_score"": 4.242061858489756, ""off_candidate_peak"": 9.065272227994797, ""stability_proxy"": 18.34001313302393}]}",PASS,,PASS,1.6553329769521952,970880,,,-8.685846209919741e-05,True,TARGET_PRESERVED,1500,13.005662190413656,True,True,1,1,2,456,-8.685846209919741e-05
NoiseProductJamming,0.0,6000,3500,Identity,IDENTITY_BASELINE,3500,,,1.0,Identity,IDENTITY,1.0,0.0,{},PASS,,PASS,0.0,0,,,-8.678947198979587e-15,True,TARGET_PRESERVED,3500,0.0,True,True,1,1,2,2,-9.643274665532877e-15
NoiseProductJamming,0.0,6000,3500,adapt_filter_oracle,ORACLE_UPPER_BOUND,3500,3500,0,1.0,,LEGACY_ORACLE_TRUE_TARGET_IDX,nan,0.01,{},ORACLE_TRUE_TARGET_IDX,target_idx,PASS,22.98841596348211,400257360,,,-8.685846209919741e-05,True,TARGET_PRESERVED,3500,12.897677419510675,True,True,1,0,2,100,-0.08489135957457054
