candidate_id,design,top_k,confidence_threshold,regularization,target_gain_mean_db,positive_target_conditions,target_only_mean_db,NoJammer_target_only_mean_db,target_erased_count,interface_failures,position_spread_db,score,calibration_qualified,rejection_reason
A_k3_c0.05_r0.001,A,3,0.05,0.001,-1.0805070193816995,11,-8.685885305585359e-06,-8.685885305585357e-06,0,0,10.211618934582154,-3.122835149240783,False,CALIBRATION_GATE_NOT_MET
B_k3_c0.05_r0.001,B,3,0.05,0.001,-1.0805070193816995,11,-8.685885305585359e-06,-8.685885305585357e-06,0,0,10.211618934582154,-3.122835149240783,False,CALIBRATION_GATE_NOT_MET
A_k3_c0.12_r0.001,A,3,0.12,0.001,-1.0805070193816995,11,-8.685885305585359e-06,-8.685885305585357e-06,0,0,10.211618934582154,-3.122835149240783,False,CALIBRATION_GATE_NOT_MET
B_k3_c0.12_r0.001,B,3,0.12,0.001,-1.0805070193816995,11,-8.685885305585359e-06,-8.685885305585357e-06,0,0,10.211618934582154,-3.122835149240783,False,CALIBRATION_GATE_NOT_MET
A_k5_c0.05_r0.001,A,5,0.05,0.001,-1.0805070193816995,11,-8.685885305585359e-06,-8.685885305585357e-06,0,0,10.211618934582154,-3.122835149240783,False,CALIBRATION_GATE_NOT_MET
B_k5_c0.05_r0.001,B,5,0.05,0.001,-1.0805070193816995,11,-8.685885305585359e-06,-8.685885305585357e-06,0,0,10.211618934582154,-3.122835149240783,False,CALIBRATION_GATE_NOT_MET
A_k5_c0.12_r0.001,A,5,0.12,0.001,-1.0805070193816995,11,-8.685885305585359e-06,-8.685885305585357e-06,0,0,10.211618934582154,-3.122835149240783,False,CALIBRATION_GATE_NOT_MET
B_k5_c0.12_r0.001,B,5,0.12,0.001,-1.0805070193816995,11,-8.685885305585359e-06,-8.685885305585357e-06,0,0,10.211618934582154,-3.122835149240783,False,CALIBRATION_GATE_NOT_MET
A_k3_c0.05_r0.01,A,3,0.05,0.01,-1.0805070193817004,11,-8.685846209842596e-05,-8.685846209842596e-05,0,0,10.211618934582157,-3.1228742355291814,False,CALIBRATION_GATE_NOT_MET
B_k3_c0.05_r0.01,B,3,0.05,0.01,-1.0805070193817004,11,-8.685846209842596e-05,-8.685846209842596e-05,0,0,10.211618934582157,-3.1228742355291814,False,CALIBRATION_GATE_NOT_MET
A_k3_c0.12_r0.01,A,3,0.12,0.01,-1.0805070193817004,11,-8.685846209842596e-05,-8.685846209842596e-05,0,0,10.211618934582157,-3.1228742355291814,False,CALIBRATION_GATE_NOT_MET
B_k3_c0.12_r0.01,B,3,0.12,0.01,-1.0805070193817004,11,-8.685846209842596e-05,-8.685846209842596e-05,0,0,10.211618934582157,-3.1228742355291814,False,CALIBRATION_GATE_NOT_MET
A_k5_c0.05_r0.01,A,5,0.05,0.01,-1.0805070193817004,11,-8.685846209842596e-05,-8.685846209842596e-05,0,0,10.211618934582157,-3.1228742355291814,False,CALIBRATION_GATE_NOT_MET
B_k5_c0.05_r0.01,B,5,0.05,0.01,-1.0805070193817004,11,-8.685846209842596e-05,-8.685846209842596e-05,0,0,10.211618934582157,-3.1228742355291814,False,CALIBRATION_GATE_NOT_MET
A_k5_c0.12_r0.01,A,5,0.12,0.01,-1.0805070193817004,11,-8.685846209842596e-05,-8.685846209842596e-05,0,0,10.211618934582157,-3.1228742355291814,False,CALIBRATION_GATE_NOT_MET
B_k5_c0.12_r0.01,B,5,0.12,0.01,-1.0805070193817004,11,-8.685846209842596e-05,-8.685846209842596e-05,0,0,10.211618934582157,-3.1228742355291814,False,CALIBRATION_GATE_NOT_MET
