jammer,algorithm,role,jsr_db,target_position,trials,interface_pass,oracle_input_failures,target_erased_count,fallback_count,delta_sinr_mean_db,delta_sinr_std_db,delta_sinr_ci95_db,target_only_change_mean_db,pd_after,estimation_error_mean,confidence_mean,runtime_mean_ms,memory_mean_bytes
AMNoiseGaiJam,Identity,IDENTITY_BASELINE,0.0,1250,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
AMNoiseGaiJam,Identity,IDENTITY_BASELINE,0.0,2500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
AMNoiseGaiJam,Identity,IDENTITY_BASELINE,0.0,3750,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
AMNoiseGaiJam,Identity,IDENTITY_BASELINE,0.0,4500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
AMNoiseGaiJam,Identity,IDENTITY_BASELINE,0.0,500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
AMNoiseGaiJam,Identity,IDENTITY_BASELINE,10.0,1250,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
AMNoiseGaiJam,Identity,IDENTITY_BASELINE,10.0,2500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
AMNoiseGaiJam,Identity,IDENTITY_BASELINE,10.0,3750,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
AMNoiseGaiJam,Identity,IDENTITY_BASELINE,10.0,4500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
AMNoiseGaiJam,Identity,IDENTITY_BASELINE,10.0,500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,1.0,nan,1.0,0.0,0.0
AMNoiseGaiJam,Identity,IDENTITY_BASELINE,20.0,1250,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.06,nan,1.0,0.0,0.0
AMNoiseGaiJam,Identity,IDENTITY_BASELINE,20.0,2500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.06,nan,1.0,0.0,0.0
AMNoiseGaiJam,Identity,IDENTITY_BASELINE,20.0,3750,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.06,nan,1.0,0.0,0.0
AMNoiseGaiJam,Identity,IDENTITY_BASELINE,20.0,4500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.06,nan,1.0,0.0,0.0
AMNoiseGaiJam,Identity,IDENTITY_BASELINE,20.0,500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.16,nan,1.0,0.0,0.0
AMNoiseGaiJam,Identity,IDENTITY_BASELINE,30.0,1250,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.0,nan,1.0,0.0,0.0
AMNoiseGaiJam,Identity,IDENTITY_BASELINE,30.0,2500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.0,nan,1.0,0.0,0.0
AMNoiseGaiJam,Identity,IDENTITY_BASELINE,30.0,3750,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.0,nan,1.0,0.0,0.0
AMNoiseGaiJam,Identity,IDENTITY_BASELINE,30.0,4500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.0,nan,1.0,0.0,0.0
AMNoiseGaiJam,Identity,IDENTITY_BASELINE,30.0,500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.0,nan,1.0,0.0,0.0
AMNoiseGaiJam,adapt_filter_fair_frozen,FROZEN_FAIR_REJECTION_CONFIRMATION,0.0,1250,50,50,0,0,0,8.404921713071895,0.27810319582524257,0.0770862730099703,-8.685885308092612e-06,1.0,1.0,0.9505988612624844,1.498140023322776,563999.84
AMNoiseGaiJam,adapt_filter_fair_frozen,FROZEN_FAIR_REJECTION_CONFIRMATION,0.0,2500,50,50,0,0,0,8.348224617510256,0.28257213238368084,0.07832499902527466,-8.685885305199628e-06,1.0,1.0,0.950598861262485,1.5249099605716765,563997.08
AMNoiseGaiJam,adapt_filter_fair_frozen,FROZEN_FAIR_REJECTION_CONFIRMATION,0.0,3750,50,50,0,0,0,8.1928091393585,0.29445541130371405,0.08161887589125262,-8.685885305199628e-06,1.0,1.0,0.9505988612624864,1.5166356973350048,563998.0
AMNoiseGaiJam,adapt_filter_fair_frozen,FROZEN_FAIR_REJECTION_CONFIRMATION,0.0,4500,50,50,0,0,0,8.13608023649978,0.2984386332510976,0.0827229686852393,-8.685885304235298e-06,1.0,1.0,0.9508964614136811,1.5679016953799874,563997.08
AMNoiseGaiJam,adapt_filter_fair_frozen,FROZEN_FAIR_REJECTION_CONFIRMATION,0.0,500,50,50,0,0,0,6.208153171425586,0.28493407845907015,0.07897969707526292,-8.685885305199628e-06,1.0,0.0,0.9520957518989545,1.5465632837731391,564000.8
AMNoiseGaiJam,adapt_filter_fair_frozen,FROZEN_FAIR_REJECTION_CONFIRMATION,10.0,1250,50,50,0,0,0,16.657571316035064,0.45570612042659064,0.12631529208888742,-8.685885308092612e-06,1.0,0.92,0.8660790725865524,1.4265916438307613,563998.0
AMNoiseGaiJam,adapt_filter_fair_frozen,FROZEN_FAIR_REJECTION_CONFIRMATION,10.0,2500,50,50,0,0,0,16.685393822574554,0.4571976548471047,0.12672872433730992,-8.685885305199628e-06,1.0,0.92,0.8660790725865525,1.415925860637799,563998.0
AMNoiseGaiJam,adapt_filter_fair_frozen,FROZEN_FAIR_REJECTION_CONFIRMATION,10.0,3750,50,50,0,0,0,16.666466124150773,0.4585620087752465,0.12710690395180474,-8.685885305199628e-06,1.0,0.92,0.8660790725865539,1.4292149769607931,563998.0
AMNoiseGaiJam,adapt_filter_fair_frozen,FROZEN_FAIR_REJECTION_CONFIRMATION,10.0,4500,50,50,0,0,0,16.697127613246007,0.45894754537476856,0.12721376924502045,-8.685885304235298e-06,1.0,0.92,0.8662542036145939,1.4672408788464963,563998.0
AMNoiseGaiJam,adapt_filter_fair_frozen,FROZEN_FAIR_REJECTION_CONFIRMATION,10.0,500,50,50,0,0,0,13.544601951287861,0.486197570868318,0.13476709094810654,-8.685885305199628e-06,1.0,0.0,0.8939359490576494,1.4553107775282115,563998.0
AMNoiseGaiJam,adapt_filter_fair_frozen,FROZEN_FAIR_REJECTION_CONFIRMATION,20.0,1250,50,50,0,0,0,23.493581018332492,6.775246944354286,1.8780026389580096,-8.685885308092612e-06,0.98,5.22,0.6698140117659531,1.4472715824376792,563981.44
AMNoiseGaiJam,adapt_filter_fair_frozen,FROZEN_FAIR_REJECTION_CONFIRMATION,20.0,2500,50,50,0,0,0,23.53207826428049,6.780568999243644,1.8794778373100374,-8.685885305199628e-06,0.98,5.22,0.6698140117659531,1.4516967278905213,563981.44
AMNoiseGaiJam,adapt_filter_fair_frozen,FROZEN_FAIR_REJECTION_CONFIRMATION,20.0,3750,50,50,0,0,0,23.53015776690806,6.780546773129403,1.8794716765454866,-8.685885305199628e-06,0.98,5.22,0.6698140117659536,1.456894917646423,563981.44
AMNoiseGaiJam,adapt_filter_fair_frozen,FROZEN_FAIR_REJECTION_CONFIRMATION,20.0,4500,50,50,0,0,0,23.570518022813364,6.786367273715733,1.881085036995808,-8.685885304235298e-06,0.98,5.22,0.6699567570464608,1.5085366065613925,563981.44
AMNoiseGaiJam,adapt_filter_fair_frozen,FROZEN_FAIR_REJECTION_CONFIRMATION,20.0,500,50,50,0,0,0,21.228064698691988,0.9012768881339261,0.24982120773587374,-8.685885305199628e-06,1.0,0.0,0.7512692392291762,1.4970883657224476,563983.28
AMNoiseGaiJam,adapt_filter_fair_frozen,FROZEN_FAIR_REJECTION_CONFIRMATION,30.0,1250,50,50,0,0,0,-19.703021916371238,18.51814895115223,5.132969009765859,-8.685885308092612e-06,0.1,296.46,0.5450808452222322,1.740116641158238,563951.2
AMNoiseGaiJam,adapt_filter_fair_frozen,FROZEN_FAIR_REJECTION_CONFIRMATION,30.0,2500,50,50,0,0,0,-19.663741106553886,18.517620628475324,5.132822566191241,-8.685885305199628e-06,0.1,296.46,0.5450808452222322,1.4571707986760885,563906.0
