jammer,jsr_db,target_position,trials,fallback_count,confidence_mean,estimation_error_mean,target_erased_count
AMNoiseGaiJam,0.0,1250,50,0,0.9505988612624844,1.0,0
AMNoiseGaiJam,0.0,2500,50,0,0.950598861262485,1.0,0
AMNoiseGaiJam,0.0,3750,50,0,0.9505988612624864,1.0,0
AMNoiseGaiJam,0.0,4500,50,0,0.9508964614136811,1.0,0
AMNoiseGaiJam,0.0,500,50,0,0.9520957518989545,0.0,0
AMNoiseGaiJam,10.0,1250,50,0,0.8660790725865524,0.92,0
AMNoiseGaiJam,10.0,2500,50,0,0.8660790725865525,0.92,0
AMNoiseGaiJam,10.0,3750,50,0,0.8660790725865539,0.92,0
AMNoiseGaiJam,10.0,4500,50,0,0.8662542036145939,0.92,0
AMNoiseGaiJam,10.0,500,50,0,0.8939359490576494,0.0,0
AMNoiseGaiJam,20.0,1250,50,0,0.6698140117659531,5.22,0
AMNoiseGaiJam,20.0,2500,50,0,0.6698140117659531,5.22,0
AMNoiseGaiJam,20.0,3750,50,0,0.6698140117659536,5.22,0
AMNoiseGaiJam,20.0,4500,50,0,0.6699567570464608,5.22,0
AMNoiseGaiJam,20.0,500,50,0,0.7512692392291762,0.0,0
AMNoiseGaiJam,30.0,1250,50,0,0.5450808452222322,296.46,0
AMNoiseGaiJam,30.0,2500,50,0,0.5450808452222322,296.46,0
AMNoiseGaiJam,30.0,3750,50,0,0.5450808452222323,296.46,0
AMNoiseGaiJam,30.0,4500,50,0,0.5448230712772784,308.14,0
AMNoiseGaiJam,30.0,500,50,0,0.5770266535950617,61.72,0
FMNoiseAimedJam,0.0,1250,50,0,0.9271614810798249,0.98,0
FMNoiseAimedJam,0.0,2500,50,0,0.9271375619462242,0.98,0
FMNoiseAimedJam,0.0,3750,50,0,0.9271375619462258,0.98,0
FMNoiseAimedJam,0.0,4500,50,0,0.9271375619462283,0.98,0
FMNoiseAimedJam,0.0,500,50,0,0.9438512541889058,0.0,0
FMNoiseAimedJam,10.0,1250,50,0,0.7762862241912589,0.94,0
FMNoiseAimedJam,10.0,2500,50,0,0.776286224191259,0.94,0
FMNoiseAimedJam,10.0,3750,50,0,0.7762862241912601,0.94,0
FMNoiseAimedJam,10.0,4500,50,0,0.7761857107609356,0.92,0
FMNoiseAimedJam,10.0,500,50,0,0.8501104321695705,0.02,0
FMNoiseAimedJam,20.0,1250,50,0,0.5649604806852522,236.56,0
FMNoiseAimedJam,20.0,2500,50,0,0.5649604806852522,236.56,0
FMNoiseAimedJam,20.0,3750,50,0,0.5649604806852523,236.56,0
FMNoiseAimedJam,20.0,4500,50,0,0.5617477229941262,242.38,0
FMNoiseAimedJam,20.0,500,50,0,0.6555466919570269,37.82,0
FMNoiseAimedJam,30.0,1250,50,0,0.5635275802319122,347.3,0
FMNoiseAimedJam,30.0,2500,50,0,0.5635275802319121,347.3,0
FMNoiseAimedJam,30.0,3750,50,0,0.5635275802319122,347.3,0
FMNoiseAimedJam,30.0,4500,50,0,0.5648080945927965,353.2,0
FMNoiseAimedJam,30.0,500,50,0,0.6089976575147363,83.42,0
FMNoiseSaopin,0.0,1250,50,0,0.9694459934516364,1.0,0
FMNoiseSaopin,0.0,2500,50,0,0.9612263756577311,1.0,0
FMNoiseSaopin,0.0,3750,50,0,0.9612392440675851,1.0,0
FMNoiseSaopin,0.0,4500,50,0,0.9616373302588133,1.0,0
FMNoiseSaopin,0.0,500,50,0,0.9751896303733913,0.0,0
FMNoiseSaopin,10.0,1250,50,0,0.9307139555871349,1.0,0
FMNoiseSaopin,10.0,2500,50,0,0.8916014966611537,1.0,0
FMNoiseSaopin,10.0,3750,50,0,0.8916014966611552,1.0,0
FMNoiseSaopin,10.0,4500,50,0,0.8916014966611574,1.0,0
FMNoiseSaopin,10.0,500,50,0,0.9748419099659761,0.0,0
FMNoiseSaopin,20.0,1250,50,0,0.7987020710134236,15.52,0
FMNoiseSaopin,20.0,2500,50,0,0.6630541289905816,15.52,0
FMNoiseSaopin,20.0,3750,50,0,0.6630541289905821,15.52,0
FMNoiseSaopin,20.0,4500,50,0,0.6630541289905831,15.52,0
