jammer,jsr_db,seed,target_position,algorithm,role,candidate_id,true_target_idx_for_evaluation_only,estimated_target_idx,estimation_error_for_evaluation_only,estimator_confidence,fallback,fit_status,oracle_input_status,forbidden_keys_present,interface_status,runtime_ms,memory_usage_bytes,exception_type,exception_message,delta_sinr_db,detected_before,detected_after,peak_error_before,peak_error_after,false_peak_count_before,false_peak_count_after,target_window_peak_change_db,target_only_response_change_db,target_preservation_status
NoiseProductJamming,0.0,8000,500,Identity,IDENTITY_BASELINE,,500,,,1.0,Identity,IDENTITY,PASS,,PASS,0.0,0,,,0.0,True,True,1,1,86,86,-9.643274665532877e-15,-8.678947198979587e-15,TARGET_PRESERVED
NoiseProductJamming,0.0,8000,500,adapt_filter_oracle,ORACLE_UPPER_BOUND,,500,500,0,1.0,,LEGACY_ORACLE_TRUE_TARGET_IDX,ORACLE_TRUE_TARGET_IDX,target_idx,PASS,103.90074999304488,400274195,,,13.069717165672937,True,True,1,0,86,631,-0.19339665310167675,-8.685846209919741e-05,TARGET_PRESERVED
NoiseProductJamming,0.0,8000,500,adapt_filter_fair_frozen,FROZEN_FAIR_REJECTION_CONFIRMATION,A_k3_c0.05_r0.001,500,500,0,0.8984628489241202,,FITTED_TOPK_PROTECTED_PROJECTION,PASS,,PASS,3.3950830111280084,570742,,,13.069717165672937,True,True,1,0,86,622,-0.19331848052488332,-8.685885305199628e-06,TARGET_PRESERVED
NoiseProductJamming,0.0,8000,1250,Identity,IDENTITY_BASELINE,,1250,,,1.0,Identity,IDENTITY,PASS,,PASS,0.0,0,,,0.0,True,True,1,1,2,2,-9.643274665532877e-15,-8.678947198979587e-15,TARGET_PRESERVED
NoiseProductJamming,0.0,8000,1250,adapt_filter_oracle,ORACLE_UPPER_BOUND,,1250,1250,0,1.0,,LEGACY_ORACLE_TRUE_TARGET_IDX,ORACLE_TRUE_TARGET_IDX,target_idx,PASS,58.60287498217076,400257360,,,13.194084112922653,True,True,1,0,2,483,-0.19335427771842298,-8.685846209726874e-05,TARGET_PRESERVED
NoiseProductJamming,0.0,8000,1250,adapt_filter_fair_frozen,FROZEN_FAIR_REJECTION_CONFIRMATION,A_k3_c0.05_r0.001,1250,1249,1,0.8873055529949718,,FITTED_TOPK_PROTECTED_PROJECTION,PASS,,PASS,2.41575000109151,564236,,,13.196839100339524,True,True,1,1,2,493,-8.685885306163955e-06,-8.685885308092612e-06,TARGET_PRESERVED
NoiseProductJamming,0.0,8000,2500,Identity,IDENTITY_BASELINE,,2500,,,1.0,Identity,IDENTITY,PASS,,PASS,0.0,0,,,0.0,True,True,1,1,3,3,-9.643274665532877e-15,-8.678947198979587e-15,TARGET_PRESERVED
NoiseProductJamming,0.0,8000,2500,adapt_filter_oracle,ORACLE_UPPER_BOUND,,2500,2500,0,1.0,,LEGACY_ORACLE_TRUE_TARGET_IDX,ORACLE_TRUE_TARGET_IDX,target_idx,PASS,59.376000019256026,400257360,,,13.155936473242672,True,True,1,0,3,271,-0.19335427771842298,-8.68584620963044e-05,TARGET_PRESERVED
NoiseProductJamming,0.0,8000,2500,adapt_filter_fair_frozen,FROZEN_FAIR_REJECTION_CONFIRMATION,A_k3_c0.05_r0.001,2500,2499,1,0.8873055529949724,,FITTED_TOPK_PROTECTED_PROJECTION,PASS,,PASS,2.242416958324611,564044,,,13.158691460659544,True,True,1,1,3,279,-8.685885308092612e-06,-8.685885305199628e-06,TARGET_PRESERVED
NoiseProductJamming,0.0,8000,3750,Identity,IDENTITY_BASELINE,,3750,,,1.0,Identity,IDENTITY,PASS,,PASS,0.0,0,,,0.0,True,True,1,1,4,4,-9.643274665532877e-15,-8.678947198979587e-15,TARGET_PRESERVED
NoiseProductJamming,0.0,8000,3750,adapt_filter_oracle,ORACLE_UPPER_BOUND,,3750,3750,0,1.0,,LEGACY_ORACLE_TRUE_TARGET_IDX,ORACLE_TRUE_TARGET_IDX,target_idx,PASS,59.36154199298471,400257360,,,13.093342658269435,True,True,1,0,4,57,-0.19335427771842298,-8.685846209919741e-05,TARGET_PRESERVED
NoiseProductJamming,0.0,8000,3750,adapt_filter_fair_frozen,FROZEN_FAIR_REJECTION_CONFIRMATION,A_k3_c0.05_r0.001,3750,3749,1,0.8873055529949738,,FITTED_TOPK_PROTECTED_PROJECTION,PASS,,PASS,2.1876670070923865,563906,,,13.096097645686307,True,True,1,1,4,55,-8.685885306163955e-06,-8.685885305199628e-06,TARGET_PRESERVED
NoiseProductJamming,0.0,8000,4500,Identity,IDENTITY_BASELINE,,4500,,,1.0,Identity,IDENTITY,PASS,,PASS,0.0,0,,,0.0,True,True,1,1,5,5,-9.643274665532877e-15,-8.678947198979587e-15,TARGET_PRESERVED
NoiseProductJamming,0.0,8000,4500,adapt_filter_oracle,ORACLE_UPPER_BOUND,,4500,4500,0,1.0,,LEGACY_ORACLE_TRUE_TARGET_IDX,ORACLE_TRUE_TARGET_IDX,target_idx,PASS,62.76204198366031,400257360,,,13.093340526000603,True,True,1,0,5,14,-0.19335427771842492,-8.685846209919741e-05,TARGET_PRESERVED
NoiseProductJamming,0.0,8000,4500,adapt_filter_fair_frozen,FROZEN_FAIR_REJECTION_CONFIRMATION,A_k3_c0.05_r0.001,4500,4499,1,0.8873055529949758,,FITTED_TOPK_PROTECTED_PROJECTION,PASS,,PASS,2.2767920163460076,563906,,,13.096122522226302,True,True,1,1,5,11,-8.685885307128283e-06,-8.685885304235298e-06,TARGET_PRESERVED
NoiseProductJamming,0.0,8001,500,Identity,IDENTITY_BASELINE,,500,,,1.0,Identity,IDENTITY,PASS,,PASS,0.0,0,,,0.0,True,True,1,1,84,84,-7.7146197324263e-15,-8.678947198979587e-15,TARGET_PRESERVED
NoiseProductJamming,0.0,8001,500,adapt_filter_oracle,ORACLE_UPPER_BOUND,,500,500,0,1.0,,LEGACY_ORACLE_TRUE_TARGET_IDX,ORACLE_TRUE_TARGET_IDX,target_idx,PASS,63.16366704413667,400257328,,,12.080923079741815,True,True,1,0,84,631,-0.23418780872767397,-8.685846209919741e-05,TARGET_PRESERVED
NoiseProductJamming,0.0,8001,500,adapt_filter_fair_frozen,FROZEN_FAIR_REJECTION_CONFIRMATION,A_k3_c0.05_r0.001,500,500,0,0.9127046731881496,,FITTED_TOPK_PROTECTED_PROJECTION,PASS,,PASS,2.862832974642515,563906,,,12.080923079741815,True,True,1,0,84,628,-0.23410963615087987,-8.685885305199628e-06,TARGET_PRESERVED
NoiseProductJamming,0.0,8001,1250,Identity,IDENTITY_BASELINE,,1250,,,1.0,Identity,IDENTITY,PASS,,PASS,0.0,0,,,0.0,True,True,1,1,0,0,-7.7146197324263e-15,-8.678947198979587e-15,TARGET_PRESERVED
