case_id,case_type,jammer,jsr_db,seed,algorithm,true_target_idx_for_evaluation_only,estimated_target_idx,evaluation_only_estimation_error,confidence,confidence_threshold,fallback,fit_status,interface_status,gate_reasons,exception_type,exception_message
clean_target,CLEAN_TARGET,NoJammer,0.0,0,A,1500,1500,0,0.9938834817677877,0.8,,FITTED_TOPK_PROTECTED_PROJECTION,PASS,[],,
clean_target,CLEAN_TARGET,NoJammer,0.0,0,B,1500,1500,0,0.9938834817677877,0.8,,FITTED_MULTI_HYPOTHESIS_PROTECTED_PROJECTION,PASS,[],,
npj_jsr_0,LOW_JSR,NoiseProductJamming,0.0,6200,A,1500,1500,0,0.9363780522286027,0.8,,FITTED_TOPK_PROTECTED_PROJECTION,PASS,[],,
npj_jsr_0,LOW_JSR,NoiseProductJamming,0.0,6200,B,1500,1500,0,0.9363780522286027,0.8,,FITTED_MULTI_HYPOTHESIS_PROTECTED_PROJECTION,PASS,[],,
npj_jsr_10,MID_JSR,NoiseProductJamming,10.0,6201,A,1500,,,0.0,0.8,Identity,FALLBACK_IDENTITY_LOW_CONFIDENCE,PASS,[],,
npj_jsr_10,MID_JSR,NoiseProductJamming,10.0,6201,B,1500,,,0.0,0.8,Identity,FALLBACK_IDENTITY_LOW_CONFIDENCE,PASS,[],,
npj_jsr_30,HIGH_JSR,NoiseProductJamming,30.0,6202,A,1500,,,0.0,0.8,Identity,FALLBACK_IDENTITY_LOW_CONFIDENCE,PASS,[],,
npj_jsr_30,HIGH_JSR,NoiseProductJamming,30.0,6202,B,1500,,,0.0,0.8,Identity,FALLBACK_IDENTITY_LOW_CONFIDENCE,PASS,[],,
no_jammer,NO_JAMMER,NoJammer,0.0,6203,A,1500,1500,0,0.9791850716223818,0.8,,FITTED_TOPK_PROTECTED_PROJECTION,PASS,[],,
no_jammer,NO_JAMMER,NoJammer,0.0,6203,B,1500,1500,0,0.9791850716223818,0.8,,FITTED_MULTI_HYPOTHESIS_PROTECTED_PROJECTION,PASS,[],,
false_peak_dominant,FALSE_PEAK_DOMINANT,synthetic_observable_case,0.0,6204,A,1500,3500,2000,0.984132689779851,0.8,,FITTED_TOPK_PROTECTED_PROJECTION,PASS,[],,
false_peak_dominant,FALSE_PEAK_DOMINANT,synthetic_observable_case,0.0,6204,B,1500,3500,2000,0.984132689779851,0.8,,FITTED_MULTI_HYPOTHESIS_PROTECTED_PROJECTION,PASS,[],,
ambiguous_two_peaks,AMBIGUOUS_PEAKS,synthetic_observable_case,0.0,6205,A,1500,,,0.0,0.8,Identity,FALLBACK_IDENTITY_LOW_CONFIDENCE,PASS,[],,
ambiguous_two_peaks,AMBIGUOUS_PEAKS,synthetic_observable_case,0.0,6205,B,1500,,,0.0,0.8,Identity,FALLBACK_IDENTITY_LOW_CONFIDENCE,PASS,[],,
pure_noise,PURE_NOISE,synthetic_observable_case,0.0,6206,A,1500,,,0.0,0.8,Identity,FALLBACK_IDENTITY_LOW_CONFIDENCE,PASS,[],,
pure_noise,PURE_NOISE,synthetic_observable_case,0.0,6206,B,1500,,,0.0,0.8,Identity,FALLBACK_IDENTITY_LOW_CONFIDENCE,PASS,[],,
