case_id,case_type,algorithm,component,value,in_unit_interval
clean_target,CLEAN_TARGET,A,peak_to_background,1.0,True
clean_target,CLEAN_TARGET,A,top1_top2_margin,0.9760923798358837,True
clean_target,CLEAN_TARGET,A,peak_prominence,0.999999999999999,True
clean_target,CLEAN_TARGET,A,peak_width_consistency,1.0,True
clean_target,CLEAN_TARGET,A,local_to_global,0.9990692453921131,True
clean_target,CLEAN_TARGET,B,peak_to_background,1.0,True
clean_target,CLEAN_TARGET,B,top1_top2_margin,0.9760923798358837,True
clean_target,CLEAN_TARGET,B,peak_prominence,0.999999999999999,True
clean_target,CLEAN_TARGET,B,peak_width_consistency,1.0,True
clean_target,CLEAN_TARGET,B,local_to_global,0.9990692453921131,True
npj_jsr_0,LOW_JSR,A,peak_to_background,1.0,True
npj_jsr_0,LOW_JSR,A,top1_top2_margin,0.8030721542602461,True
npj_jsr_0,LOW_JSR,A,peak_prominence,0.9997555679911286,True
npj_jsr_0,LOW_JSR,A,peak_width_consistency,0.953944171703627,True
npj_jsr_0,LOW_JSR,A,local_to_global,0.9504484953984764,True
npj_jsr_0,LOW_JSR,B,peak_to_background,1.0,True
npj_jsr_0,LOW_JSR,B,top1_top2_margin,0.8030721542602461,True
npj_jsr_0,LOW_JSR,B,peak_prominence,0.9997555679911286,True
npj_jsr_0,LOW_JSR,B,peak_width_consistency,0.953944171703627,True
npj_jsr_0,LOW_JSR,B,local_to_global,0.9504484953984764,True
npj_jsr_10,MID_JSR,A,peak_to_background,1.0,True
npj_jsr_10,MID_JSR,A,top1_top2_margin,0.2911128527401883,True
npj_jsr_10,MID_JSR,A,peak_prominence,0.998989510985911,True
npj_jsr_10,MID_JSR,A,peak_width_consistency,0.8291600953487309,True
npj_jsr_10,MID_JSR,A,local_to_global,0.9613404546093729,True
npj_jsr_10,MID_JSR,B,peak_to_background,1.0,True
npj_jsr_10,MID_JSR,B,top1_top2_margin,0.2911128527401883,True
npj_jsr_10,MID_JSR,B,peak_prominence,0.998989510985911,True
npj_jsr_10,MID_JSR,B,peak_width_consistency,0.8291600953487309,True
npj_jsr_10,MID_JSR,B,local_to_global,0.9613404546093729,True
