algorithm,case_type,trials,fallback_count,fallback_ratio,confidence_mean,estimation_error_mean,interface_failures
A,AMBIGUOUS_PEAKS,1,1,1.0,0.0,,0
A,CLEAN_TARGET,1,0,0.0,0.9938834817677877,0.0,0
A,FALSE_PEAK_DOMINANT,1,0,0.0,0.984132689779851,2000.0,0
A,HIGH_JSR,1,1,1.0,0.0,,0
A,LOW_JSR,1,0,0.0,0.9363780522286027,0.0,0
A,MID_JSR,1,1,1.0,0.0,,0
A,NO_JAMMER,1,0,0.0,0.9791850716223818,0.0,0
A,PURE_NOISE,1,1,1.0,0.0,,0
B,AMBIGUOUS_PEAKS,1,1,1.0,0.0,,0
B,CLEAN_TARGET,1,0,0.0,0.9938834817677877,0.0,0
B,FALSE_PEAK_DOMINANT,1,0,0.0,0.984132689779851,2000.0,0
B,HIGH_JSR,1,1,1.0,0.0,,0
B,LOW_JSR,1,0,0.0,0.9363780522286027,0.0,0
B,MID_JSR,1,1,1.0,0.0,,0
B,NO_JAMMER,1,0,0.0,0.9791850716223818,0.0,0
B,PURE_NOISE,1,1,1.0,0.0,,0
