candidate_id,design,top_k,confidence_threshold,regularization,jammer,jsr_db,seed,target_position,true_target_idx_for_evaluation_only,estimated_target_idx,estimation_error_for_evaluation_only,estimator_confidence,fallback,fit_status,oracle_input_status,forbidden_keys_present,interface_status,delta_sinr_db,detected_before,detected_after,pd_identity,pd_algorithm,peak_error_before,peak_error_after,false_peak_count_before,false_peak_count_after,target_only_response_change_db,target_preservation_status,target_window_peak_change_db,runtime_ms,memory_usage_bytes,gate_reasons
A_k3_c0.65_r0.001,A,3,0.65,0.001,NoiseProductJamming,0.0,9000,1000,1000,999,1,0.9428665687031585,,FITTED_TOPK_PROTECTED_PROJECTION,PASS,,PASS,11.214681355401389,True,True,True,True,1,1,0,531,-8.68588530327097e-06,TARGET_PRESERVED,-8.685885305199628e-06,0.4790829843841493,80000,[]
B_k3_c0.8_r0.001,B,3,0.8,0.001,NoiseProductJamming,0.0,9000,1000,1000,999,1,0.9428665687031585,,FITTED_MULTI_HYPOTHESIS_PROTECTED_PROJECTION,PASS,,PASS,11.214681355401389,True,True,True,True,1,1,0,531,-8.68588530327097e-06,TARGET_PRESERVED,-8.685885305199628e-06,0.8416660130023956,80000,[]
A_k3_c0.8_r0.001,A,3,0.8,0.001,NoiseProductJamming,0.0,9000,1000,1000,999,1,0.9428665687031585,,FITTED_TOPK_PROTECTED_PROJECTION,PASS,,PASS,11.214681355401389,True,True,True,True,1,1,0,531,-8.68588530327097e-06,TARGET_PRESERVED,-8.685885305199628e-06,0.4634169745258987,80000,[]
B_k3_c0.65_r0.001,B,3,0.65,0.001,NoiseProductJamming,0.0,9000,1000,1000,999,1,0.9428665687031585,,FITTED_MULTI_HYPOTHESIS_PROTECTED_PROJECTION,PASS,,PASS,11.214681355401389,True,True,True,True,1,1,0,531,-8.68588530327097e-06,TARGET_PRESERVED,-8.685885305199628e-06,0.8640000014565885,80000,[]
A_k3_c0.65_r0.001,A,3,0.65,0.001,NoiseProductJamming,0.0,9000,1500,1500,1499,1,0.9440985944656183,,FITTED_TOPK_PROTECTED_PROJECTION,PASS,,PASS,11.071703554344722,True,True,True,True,1,1,0,455,-8.685885305199628e-06,TARGET_PRESERVED,-8.685885301342313e-06,0.4723750171251595,80000,[]
B_k3_c0.8_r0.001,B,3,0.8,0.001,NoiseProductJamming,0.0,9000,1500,1500,1499,1,0.9440985944656183,,FITTED_MULTI_HYPOTHESIS_PROTECTED_PROJECTION,PASS,,PASS,11.071703554344722,True,True,True,True,1,1,0,455,-8.685885305199628e-06,TARGET_PRESERVED,-8.685885301342313e-06,0.8184160105884075,80000,[]
A_k3_c0.8_r0.001,A,3,0.8,0.001,NoiseProductJamming,0.0,9000,1500,1500,1499,1,0.9440985944656183,,FITTED_TOPK_PROTECTED_PROJECTION,PASS,,PASS,11.071703554344722,True,True,True,True,1,1,0,455,-8.685885305199628e-06,TARGET_PRESERVED,-8.685885301342313e-06,0.45837502693757415,80000,[]
B_k3_c0.65_r0.001,B,3,0.65,0.001,NoiseProductJamming,0.0,9000,1500,1500,1499,1,0.9440985944656183,,FITTED_MULTI_HYPOTHESIS_PROTECTED_PROJECTION,PASS,,PASS,11.071703554344722,True,True,True,True,1,1,0,455,-8.685885305199628e-06,TARGET_PRESERVED,-8.685885301342313e-06,0.8075829828158021,80000,[]
A_k3_c0.65_r0.001,A,3,0.65,0.001,NoiseProductJamming,0.0,9000,2500,2500,2499,1,0.9419326729459747,,FITTED_TOPK_PROTECTED_PROJECTION,PASS,,PASS,11.15085364322578,True,True,True,True,1,1,0,279,-8.685885305199628e-06,TARGET_PRESERVED,-8.685885301342313e-06,0.4642080166377127,80000,[]
B_k3_c0.8_r0.001,B,3,0.8,0.001,NoiseProductJamming,0.0,9000,2500,2500,2499,1,0.9419326729459747,,FITTED_MULTI_HYPOTHESIS_PROTECTED_PROJECTION,PASS,,PASS,11.15085364322578,True,True,True,True,1,1,0,279,-8.685885305199628e-06,TARGET_PRESERVED,-8.685885301342313e-06,0.8342500077560544,80000,[]
A_k3_c0.8_r0.001,A,3,0.8,0.001,NoiseProductJamming,0.0,9000,2500,2500,2499,1,0.9419326729459747,,FITTED_TOPK_PROTECTED_PROJECTION,PASS,,PASS,11.15085364322578,True,True,True,True,1,1,0,279,-8.685885305199628e-06,TARGET_PRESERVED,-8.685885301342313e-06,0.4752500099129975,80000,[]
B_k3_c0.65_r0.001,B,3,0.65,0.001,NoiseProductJamming,0.0,9000,2500,2500,2499,1,0.9419326729459747,,FITTED_MULTI_HYPOTHESIS_PROTECTED_PROJECTION,PASS,,PASS,11.15085364322578,True,True,True,True,1,1,0,279,-8.685885305199628e-06,TARGET_PRESERVED,-8.685885301342313e-06,0.8387919515371323,80000,[]
A_k3_c0.65_r0.001,A,3,0.65,0.001,NoiseProductJamming,0.0,9000,3500,3500,3499,1,0.9435078063677861,,FITTED_TOPK_PROTECTED_PROJECTION,PASS,,PASS,11.217408108368435,True,True,True,True,1,1,0,98,-8.685885305199628e-06,TARGET_PRESERVED,-8.685885302306642e-06,0.46725000720471144,80000,[]
B_k3_c0.8_r0.001,B,3,0.8,0.001,NoiseProductJamming,0.0,9000,3500,3500,3499,1,0.9435078063677861,,FITTED_MULTI_HYPOTHESIS_PROTECTED_PROJECTION,PASS,,PASS,11.217408108368435,True,True,True,True,1,1,0,98,-8.685885305199628e-06,TARGET_PRESERVED,-8.685885302306642e-06,0.8271670085377991,80000,[]
A_k3_c0.8_r0.001,A,3,0.8,0.001,NoiseProductJamming,0.0,9000,3500,3500,3499,1,0.9435078063677861,,FITTED_TOPK_PROTECTED_PROJECTION,PASS,,PASS,11.217408108368435,True,True,True,True,1,1,0,98,-8.685885305199628e-06,TARGET_PRESERVED,-8.685885302306642e-06,0.4515410400927067,80000,[]
B_k3_c0.65_r0.001,B,3,0.65,0.001,NoiseProductJamming,0.0,9000,3500,3500,3499,1,0.9435078063677861,,FITTED_MULTI_HYPOTHESIS_PROTECTED_PROJECTION,PASS,,PASS,11.217408108368435,True,True,True,True,1,1,0,98,-8.685885305199628e-06,TARGET_PRESERVED,-8.685885302306642e-06,0.829958007670939,80000,[]
A_k3_c0.65_r0.001,A,3,0.65,0.001,NoiseProductJamming,0.0,9000,4000,4000,3999,1,0.9410198716534517,,FITTED_TOPK_PROTECTED_PROJECTION,PASS,,PASS,11.19017828513649,True,True,True,True,1,1,1,18,-8.685885306163955e-06,TARGET_PRESERVED,-8.68588530327097e-06,0.4942499799653888,80000,[]
B_k3_c0.8_r0.001,B,3,0.8,0.001,NoiseProductJamming,0.0,9000,4000,4000,3999,1,0.9410198716534517,,FITTED_MULTI_HYPOTHESIS_PROTECTED_PROJECTION,PASS,,PASS,11.19017828513649,True,True,True,True,1,1,1,18,-8.685885306163955e-06,TARGET_PRESERVED,-8.68588530327097e-06,0.906666973605752,80000,[]
