jammer,jsr_db,trials,interface_pass,interface_failures,oracle_input_failures,target_erased_count,delta_sinr_mean_db,delta_sinr_std_db,delta_sinr_ci95_db,pd_mean,target_only_change_mean_db,fallback_ratio,estimation_error_mean,confidence_mean,position_spread_db
AMNoiseGaiJam,0.0,250,250,0,0,0,8.86526792572613,0.400980976462406,0.04970611681356711,1.0,-8.685885305006764e-06,0.0,0.0,0.9458466129935857,0.577360945939331
AMNoiseGaiJam,10.0,250,250,0,0,0,17.115837022202772,2.5559359435391555,0.3168371020949502,1.0,-8.685885305006764e-06,0.02,0.17959183673469387,0.8284392279961369,0.875468055928966
AMNoiseGaiJam,20.0,250,250,0,0,0,3.2260648626697854,8.151776365119982,1.0105046673722144,0.748,-8.685885305006764e-06,0.864,0.9411764705882353,0.11105623721801466,12.907300535482797
AMNoiseGaiJam,30.0,250,250,0,0,0,0.0,0.0,0.0,0.6,-8.685885305006764e-06,1.0,nan,0.0,0.0
FMNoiseAimedJam,0.0,250,250,0,0,0,10.486886917757325,0.4471821407364174,0.05543327247214016,1.0,-8.685885305006764e-06,0.0,0.016,0.92574270477614,0.11846752838259
FMNoiseAimedJam,10.0,250,250,0,0,0,7.1847077716445815,9.45313260445491,1.1718224581041419,0.972,-8.685885305006764e-06,0.632,0.5978260869565217,0.310678186198675,18.272641654201628
FMNoiseAimedJam,20.0,250,250,0,0,0,0.0,0.0,0.0,0.612,-8.685885305006764e-06,1.0,nan,0.0,0.0
FMNoiseAimedJam,30.0,250,250,0,0,0,0.0,0.0,0.0,0.6,-8.685885305006764e-06,1.0,nan,0.0,0.0
FMNoiseSaopin,0.0,250,250,0,0,0,7.475696236825053,3.124209623685901,0.3872810373076674,1.0,-8.685885305006764e-06,0.0,0.004,0.9553250500975015,0.04832868238409116
FMNoiseSaopin,10.0,250,250,0,0,0,12.882446850343962,7.178370624249048,0.889840041609691,1.0,-8.685885305006764e-06,0.064,0.09401709401709402,0.8304440183906093,1.8023957519775813
FMNoiseSaopin,20.0,250,250,0,0,0,3.13323877931282,4.80656440963194,0.5958278971857883,0.936,-8.685885305006764e-06,0.7,0.0,0.2816648891419098,0.07203678775494904
FMNoiseSaopin,30.0,250,250,0,0,0,5.9134060641258,9.058625685880507,1.1229188738208657,0.904,-8.685885305006764e-06,0.7,0.16,0.25393573854863555,0.03474607140698627
FMZuse,0.0,250,250,0,0,0,6.062345939691825,0.27798556845976724,0.03445944807718956,1.0,-8.685885305006764e-06,0.0,0.0,0.9662477909597915,0.0778678199160403
FMZuse,10.0,250,250,0,0,0,13.54830400757902,0.49547456919645944,0.061419663924979405,1.0,-8.685885305006764e-06,0.0,0.032,0.8869481358099072,0.012015269590463618
FMZuse,20.0,250,250,0,0,0,1.8107074265230458,6.004443408644916,0.7443185163138012,0.788,-8.685885305006764e-06,0.916,0.5238095238095238,0.06953882343491197,8.623136263582472
FMZuse,30.0,250,250,0,0,0,0.0,0.0,0.0,0.612,-8.685885305006764e-06,1.0,nan,0.0,0.0
NoJammer,0.0,250,250,0,0,0,4.7089238936047755,0.15936706478830284,0.019755346022868946,1.0,-8.685885305006764e-06,0.0,0.0,0.9785243664191452,0.039310456114281855
NoJammer,10.0,250,250,0,0,0,4.7089238936047755,0.15936706478830284,0.019755346022868946,1.0,-8.685885305006764e-06,0.0,0.0,0.9785243664191452,0.039310456114281855
NoJammer,20.0,250,250,0,0,0,4.7089238936047755,0.15936706478830284,0.019755346022868946,1.0,-8.685885305006764e-06,0.0,0.0,0.9785243664191452,0.039310456114281855
NoJammer,30.0,250,250,0,0,0,4.7089238936047755,0.15936706478830284,0.019755346022868946,1.0,-8.685885305006764e-06,0.0,0.0,0.9785243664191452,0.039310456114281855
NoiseConvolutionJamming,0.0,250,250,0,0,0,13.388738604186011,0.5240528259022967,0.06496226132867852,1.0,-8.685885305006764e-06,0.0,0.076,0.9209865839879505,0.03381706708516141
NoiseConvolutionJamming,10.0,250,250,0,0,0,9.033487925023653,10.754289302567718,1.333115513449909,0.52,-8.685885305006764e-06,0.584,0.625,0.34365899349302265,0.915216796345586
NoiseConvolutionJamming,20.0,250,250,0,0,0,0.0,0.0,0.0,0.0,-8.685885305006764e-06,1.0,nan,0.0,0.0
NoiseConvolutionJamming,30.0,250,250,0,0,0,0.0,0.0,0.0,0.0,-8.685885305006764e-06,1.0,nan,0.0,0.0
NoiseProductJamming,0.0,250,250,0,0,0,12.275852475307623,0.5966321611402915,0.07395928893686744,1.0,-8.685885305006764e-06,0.0,0.232,0.9398830558748765,0.023434049283224567
NoiseProductJamming,10.0,250,250,0,0,0,16.906248370612673,8.659595715063812,1.0734546061727759,0.808,-8.685885305006764e-06,0.204,1.020100502512563,0.6679675055474215,0.9108079130382656
NoiseProductJamming,20.0,250,250,0,0,0,0.0,0.0,0.0,0.0,-8.685885305006764e-06,1.0,nan,0.0,0.0
NoiseProductJamming,30.0,250,250,0,0,0,0.0,0.0,0.0,0.0,-8.685885305006764e-06,1.0,nan,0.0,0.0
SMSP,0.0,250,250,0,0,0,13.39290827338785,0.1092100611393709,0.013537819434980893,1.0,-8.685885305006764e-06,0.0,0.0,0.8990649395114408,0.21575557057923866
SMSP,10.0,250,250,0,0,0,0.0,0.0,0.0,0.8,-8.685885305006764e-06,1.0,nan,0.0,0.0
SMSP,20.0,250,250,0,0,0,0.0,0.0,0.0,0.6,-8.685885305006764e-06,1.0,nan,0.0,0.0
SMSP,30.0,250,250,0,0,0,0.0,0.0,0.0,0.6,-8.685885305006764e-06,1.0,nan,0.0,0.0
