jammer,role,jsr_db,trials,interface_pass,interface_failures,oracle_input_failures,target_erased_count,delta_sinr_mean_db,delta_sinr_std_db,delta_sinr_ci95_db,pd_mean,target_only_change_mean_db,fallback_ratio,estimation_error_mean,confidence_mean,position_spread_db,identity_pd_mean,jsr_condition_pass
AMNoiseGaiJam,FROZEN_REJECTION_CONFIRMATION,0.0,250,250,0,0,0,8.86526792572613,0.400980976462406,0.04970611681356711,1.0,-8.685885305006764e-06,0.0,0.0,0.9458466129935857,0.577360945939331,,
AMNoiseGaiJam,FROZEN_REJECTION_CONFIRMATION,10.0,250,250,0,0,0,17.115837022202772,2.5559359435391555,0.3168371020949502,1.0,-8.685885305006764e-06,0.02,0.17959183673469387,0.8284392279961369,0.875468055928966,,
AMNoiseGaiJam,FROZEN_REJECTION_CONFIRMATION,20.0,250,250,0,0,0,3.2260648626697854,8.151776365119982,1.0105046673722144,0.748,-8.685885305006764e-06,0.864,0.9411764705882353,0.11105623721801466,12.907300535482797,,
AMNoiseGaiJam,FROZEN_REJECTION_CONFIRMATION,30.0,250,250,0,0,0,0.0,0.0,0.0,0.6,-8.685885305006764e-06,1.0,nan,0.0,0.0,,
AMNoiseGaiJam,IDENTITY_BASELINE,0.0,250,250,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,nan,1.0,0.0,,
AMNoiseGaiJam,IDENTITY_BASELINE,10.0,250,250,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,nan,1.0,0.0,,
AMNoiseGaiJam,IDENTITY_BASELINE,20.0,250,250,0,0,0,0.0,0.0,0.0,0.64,0.0,1.0,nan,1.0,0.0,,
AMNoiseGaiJam,IDENTITY_BASELINE,30.0,250,250,0,0,0,0.0,0.0,0.0,0.6,0.0,1.0,nan,1.0,0.0,,
AMNoiseGaiJam,ORACLE_UPPER_BOUND,0.0,250,250,0,0,0,8.86526792572613,0.400980976462406,0.04970611681356711,1.0,-8.68584620976545e-05,0.0,0.0,1.0,0.577360945939331,,
AMNoiseGaiJam,ORACLE_UPPER_BOUND,10.0,250,250,0,0,0,17.4837693191172,0.7409503112072602,0.09184915216388066,1.0,-8.68584620976545e-05,0.0,0.0,1.0,1.2641779986592532,,
AMNoiseGaiJam,ORACLE_UPPER_BOUND,20.0,250,250,0,0,0,26.542500358247707,1.7746756643515786,0.2199910745310002,1.0,-8.68584620976545e-05,0.0,0.0,1.0,3.443689813311284,,
AMNoiseGaiJam,ORACLE_UPPER_BOUND,30.0,250,250,0,0,0,34.479364606494194,4.226396097231255,0.5239094880828512,1.0,-8.68584620976545e-05,0.0,0.0,1.0,8.413983432924667,,
FMNoiseAimedJam,FROZEN_REJECTION_CONFIRMATION,0.0,250,250,0,0,0,10.486886917757325,0.4471821407364174,0.05543327247214016,1.0,-8.685885305006764e-06,0.0,0.016,0.92574270477614,0.11846752838259,,
FMNoiseAimedJam,FROZEN_REJECTION_CONFIRMATION,10.0,250,250,0,0,0,7.1847077716445815,9.45313260445491,1.1718224581041419,0.972,-8.685885305006764e-06,0.632,0.5978260869565217,0.310678186198675,18.272641654201628,,
FMNoiseAimedJam,FROZEN_REJECTION_CONFIRMATION,20.0,250,250,0,0,0,0.0,0.0,0.0,0.612,-8.685885305006764e-06,1.0,nan,0.0,0.0,,
FMNoiseAimedJam,FROZEN_REJECTION_CONFIRMATION,30.0,250,250,0,0,0,0.0,0.0,0.0,0.6,-8.685885305006764e-06,1.0,nan,0.0,0.0,,
FMNoiseAimedJam,IDENTITY_BASELINE,0.0,250,250,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,nan,1.0,0.0,,
FMNoiseAimedJam,IDENTITY_BASELINE,10.0,250,250,0,0,0,0.0,0.0,0.0,0.844,0.0,1.0,nan,1.0,0.0,,
FMNoiseAimedJam,IDENTITY_BASELINE,20.0,250,250,0,0,0,0.0,0.0,0.0,0.612,0.0,1.0,nan,1.0,0.0,,
FMNoiseAimedJam,IDENTITY_BASELINE,30.0,250,250,0,0,0,0.0,0.0,0.0,0.6,0.0,1.0,nan,1.0,0.0,,
FMNoiseAimedJam,ORACLE_UPPER_BOUND,0.0,250,250,0,0,0,10.486842837958655,0.4471796354441483,0.05543296191289299,1.0,-8.68584620976545e-05,0.0,0.0,1.0,0.11863282762760186,,
FMNoiseAimedJam,ORACLE_UPPER_BOUND,10.0,250,250,0,0,0,19.75064322900531,0.8088161773341974,0.10026189208765537,1.0,-8.68584620976545e-05,0.0,0.0,1.0,0.1715835755681887,,
FMNoiseAimedJam,ORACLE_UPPER_BOUND,20.0,250,250,0,0,0,29.149694342486292,1.66502427498418,0.20639854748208455,1.0,-8.68584620976545e-05,0.0,0.0,1.0,1.5392416409773269,,
FMNoiseAimedJam,ORACLE_UPPER_BOUND,30.0,250,250,0,0,0,36.34514986316251,4.471968578522044,0.55435096824714,1.0,-8.68584620976545e-05,0.0,0.0,1.0,9.19417433301209,,
FMNoiseSaopin,FROZEN_REJECTION_CONFIRMATION,0.0,250,250,0,0,0,7.475696236825053,3.124209623685901,0.3872810373076674,1.0,-8.685885305006764e-06,0.0,0.004,0.9553250500975015,0.04832868238409116,,
FMNoiseSaopin,FROZEN_REJECTION_CONFIRMATION,10.0,250,250,0,0,0,12.882446850343962,7.178370624249048,0.889840041609691,1.0,-8.685885305006764e-06,0.064,0.09401709401709402,0.8304440183906093,1.8023957519775813,,
FMNoiseSaopin,FROZEN_REJECTION_CONFIRMATION,20.0,250,250,0,0,0,3.13323877931282,4.80656440963194,0.5958278971857883,0.936,-8.685885305006764e-06,0.7,0.0,0.2816648891419098,0.07203678775494904,,
FMNoiseSaopin,FROZEN_REJECTION_CONFIRMATION,30.0,250,250,0,0,0,5.9134060641258,9.058625685880507,1.1229188738208657,0.904,-8.685885305006764e-06,0.7,0.16,0.25393573854863555,0.03474607140698627,,
FMNoiseSaopin,IDENTITY_BASELINE,0.0,250,250,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,nan,1.0,0.0,,
FMNoiseSaopin,IDENTITY_BASELINE,10.0,250,250,0,0,0,0.0,0.0,0.0,0.952,0.0,1.0,nan,1.0,0.0,,
FMNoiseSaopin,IDENTITY_BASELINE,20.0,250,250,0,0,0,0.0,0.0,0.0,0.936,0.0,1.0,nan,1.0,0.0,,
FMNoiseSaopin,IDENTITY_BASELINE,30.0,250,250,0,0,0,0.0,0.0,0.0,0.904,0.0,1.0,nan,1.0,0.0,,
FMNoiseSaopin,ORACLE_UPPER_BOUND,0.0,250,250,0,0,0,7.475685216875386,3.1242003044455378,0.38727988208266345,1.0,-8.68584620976545e-05,0.0,0.0,1.0,0.04838378213242933,,
FMNoiseSaopin,ORACLE_UPPER_BOUND,10.0,250,250,0,0,0,14.170287866509478,6.524463834014916,0.8087809160937706,1.0,-8.68584620976545e-05,0.0,0.0,1.0,0.1943225270590503,,
FMNoiseSaopin,ORACLE_UPPER_BOUND,20.0,250,250,0,0,0,22.69294361842596,8.206541488435558,1.0172934223920893,1.0,-8.68584620976545e-05,0.0,0.0,1.0,0.5321548460930359,,
FMNoiseSaopin,ORACLE_UPPER_BOUND,30.0,250,250,0,0,0,31.88658145693164,8.339616462941972,1.0337895671372463,1.0,-8.68584620976545e-05,0.0,0.0,1.0,3.3140152125418396,,
FMZuse,FROZEN_REJECTION_CONFIRMATION,0.0,250,250,0,0,0,6.062345939691825,0.27798556845976724,0.03445944807718956,1.0,-8.685885305006764e-06,0.0,0.0,0.9662477909597915,0.0778678199160403,,
FMZuse,FROZEN_REJECTION_CONFIRMATION,10.0,250,250,0,0,0,13.54830400757902,0.49547456919645944,0.061419663924979405,1.0,-8.685885305006764e-06,0.0,0.032,0.8869481358099072,0.012015269590463618,,
FMZuse,FROZEN_REJECTION_CONFIRMATION,20.0,250,250,0,0,0,1.8107074265230458,6.004443408644916,0.7443185163138012,0.788,-8.685885305006764e-06,0.916,0.5238095238095238,0.06953882343491197,8.623136263582472,,
FMZuse,FROZEN_REJECTION_CONFIRMATION,30.0,250,250,0,0,0,0.0,0.0,0.0,0.612,-8.685885305006764e-06,1.0,nan,0.0,0.0,,
FMZuse,IDENTITY_BASELINE,0.0,250,250,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,nan,1.0,0.0,,
FMZuse,IDENTITY_BASELINE,10.0,250,250,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,nan,1.0,0.0,,
FMZuse,IDENTITY_BASELINE,20.0,250,250,0,0,0,0.0,0.0,0.0,0.748,0.0,1.0,nan,1.0,0.0,,
FMZuse,IDENTITY_BASELINE,30.0,250,250,0,0,0,0.0,0.0,0.0,0.612,0.0,1.0,nan,1.0,0.0,,
FMZuse,ORACLE_UPPER_BOUND,0.0,250,250,0,0,0,6.062345939691825,0.2779855684597672,0.03445944807718955,1.0,-8.68584620976545e-05,0.0,0.0,1.0,0.07786781991604119,,
FMZuse,ORACLE_UPPER_BOUND,10.0,250,250,0,0,0,13.548215847981682,0.49548105333205117,0.0614204677067548,1.0,-8.68584620976545e-05,0.0,0.0,1.0,0.011988283012028589,,
FMZuse,ORACLE_UPPER_BOUND,20.0,250,250,0,0,0,23.250694623005742,1.2283673070377514,0.15226998894624563,1.0,-8.68584620976545e-05,0.0,0.0,1.0,0.2779940002056698,,
FMZuse,ORACLE_UPPER_BOUND,30.0,250,250,0,0,0,32.18054980528733,2.205764276462625,0.27342937252616495,1.0,-8.68584620976545e-05,0.0,0.0,1.0,3.3261525949188737,,
NoJammer,FROZEN_REJECTION_CONFIRMATION,0.0,250,250,0,0,0,4.7089238936047755,0.15936706478830284,0.019755346022868946,1.0,-8.685885305006764e-06,0.0,0.0,0.9785243664191452,0.039310456114281855,,
NoJammer,FROZEN_REJECTION_CONFIRMATION,10.0,250,250,0,0,0,4.7089238936047755,0.15936706478830284,0.019755346022868946,1.0,-8.685885305006764e-06,0.0,0.0,0.9785243664191452,0.039310456114281855,,
NoJammer,FROZEN_REJECTION_CONFIRMATION,20.0,250,250,0,0,0,4.7089238936047755,0.15936706478830284,0.019755346022868946,1.0,-8.685885305006764e-06,0.0,0.0,0.9785243664191452,0.039310456114281855,,
NoJammer,FROZEN_REJECTION_CONFIRMATION,30.0,250,250,0,0,0,4.7089238936047755,0.15936706478830284,0.019755346022868946,1.0,-8.685885305006764e-06,0.0,0.0,0.9785243664191452,0.039310456114281855,,
NoJammer,IDENTITY_BASELINE,0.0,250,250,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,nan,1.0,0.0,,
NoJammer,IDENTITY_BASELINE,10.0,250,250,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,nan,1.0,0.0,,
NoJammer,IDENTITY_BASELINE,20.0,250,250,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,nan,1.0,0.0,,
NoJammer,IDENTITY_BASELINE,30.0,250,250,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,nan,1.0,0.0,,
NoJammer,ORACLE_UPPER_BOUND,0.0,250,250,0,0,0,4.7089238936047755,0.1593670647883029,0.019755346022868953,1.0,-8.68584620976545e-05,0.0,0.0,1.0,0.039310456114281855,,
NoJammer,ORACLE_UPPER_BOUND,10.0,250,250,0,0,0,4.7089238936047755,0.1593670647883029,0.019755346022868953,1.0,-8.68584620976545e-05,0.0,0.0,1.0,0.039310456114281855,,
NoJammer,ORACLE_UPPER_BOUND,20.0,250,250,0,0,0,4.7089238936047755,0.1593670647883029,0.019755346022868953,1.0,-8.68584620976545e-05,0.0,0.0,1.0,0.039310456114281855,,
NoJammer,ORACLE_UPPER_BOUND,30.0,250,250,0,0,0,4.7089238936047755,0.1593670647883029,0.019755346022868953,1.0,-8.68584620976545e-05,0.0,0.0,1.0,0.039310456114281855,,
NoiseConvolutionJamming,FROZEN_REJECTION_CONFIRMATION,0.0,250,250,0,0,0,13.388738604186011,0.5240528259022967,0.06496226132867852,1.0,-8.685885305006764e-06,0.0,0.076,0.9209865839879505,0.03381706708516141,,
NoiseConvolutionJamming,FROZEN_REJECTION_CONFIRMATION,10.0,250,250,0,0,0,9.033487925023653,10.754289302567718,1.333115513449909,0.52,-8.685885305006764e-06,0.584,0.625,0.34365899349302265,0.915216796345586,,
NoiseConvolutionJamming,FROZEN_REJECTION_CONFIRMATION,20.0,250,250,0,0,0,0.0,0.0,0.0,0.0,-8.685885305006764e-06,1.0,nan,0.0,0.0,,
NoiseConvolutionJamming,FROZEN_REJECTION_CONFIRMATION,30.0,250,250,0,0,0,0.0,0.0,0.0,0.0,-8.685885305006764e-06,1.0,nan,0.0,0.0,,
NoiseConvolutionJamming,IDENTITY_BASELINE,0.0,250,250,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,nan,1.0,0.0,,
NoiseConvolutionJamming,IDENTITY_BASELINE,10.0,250,250,0,0,0,0.0,0.0,0.0,0.244,0.0,1.0,nan,1.0,0.0,,
NoiseConvolutionJamming,IDENTITY_BASELINE,20.0,250,250,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,nan,1.0,0.0,,
NoiseConvolutionJamming,IDENTITY_BASELINE,30.0,250,250,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,nan,1.0,0.0,,
NoiseConvolutionJamming,ORACLE_UPPER_BOUND,0.0,250,250,0,0,0,13.388529188812278,0.5240656920921132,0.06496385623809195,1.0,-8.68584620976545e-05,0.0,0.0,1.0,0.03376196733682768,,
NoiseConvolutionJamming,ORACLE_UPPER_BOUND,10.0,250,250,0,0,0,22.812828549694192,1.5672753584953534,0.19428146625728795,1.0,-8.68584620976545e-05,0.0,0.0,1.0,0.02813142278794345,,
NoiseConvolutionJamming,ORACLE_UPPER_BOUND,20.0,250,250,0,0,0,30.01107465033595,2.466261829270756,0.3057209837236934,1.0,-8.68584620976545e-05,0.0,0.0,1.0,0.02431533405931674,,
NoiseConvolutionJamming,ORACLE_UPPER_BOUND,30.0,250,250,0,0,0,31.922924177349692,2.801390932440146,0.3472640177517066,1.0,-8.68584620976545e-05,0.0,0.0,1.0,0.01786427389095735,,
NoiseProductJamming,FROZEN_REJECTION_CONFIRMATION,0.0,250,250,0,0,0,12.275852475307623,0.5966321611402915,0.07395928893686744,1.0,-8.685885305006764e-06,0.0,0.232,0.9398830558748765,0.023434049283224567,,
NoiseProductJamming,FROZEN_REJECTION_CONFIRMATION,10.0,250,250,0,0,0,16.906248370612673,8.659595715063812,1.0734546061727759,0.808,-8.685885305006764e-06,0.204,1.020100502512563,0.6679675055474215,0.9108079130382656,,
NoiseProductJamming,FROZEN_REJECTION_CONFIRMATION,20.0,250,250,0,0,0,0.0,0.0,0.0,0.0,-8.685885305006764e-06,1.0,nan,0.0,0.0,,
NoiseProductJamming,FROZEN_REJECTION_CONFIRMATION,30.0,250,250,0,0,0,0.0,0.0,0.0,0.0,-8.685885305006764e-06,1.0,nan,0.0,0.0,,
NoiseProductJamming,IDENTITY_BASELINE,0.0,250,250,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,nan,1.0,0.0,,
NoiseProductJamming,IDENTITY_BASELINE,10.0,250,250,0,0,0,0.0,0.0,0.0,0.292,0.0,1.0,nan,1.0,0.0,,
NoiseProductJamming,IDENTITY_BASELINE,20.0,250,250,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,nan,1.0,0.0,,
NoiseProductJamming,IDENTITY_BASELINE,30.0,250,250,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,nan,1.0,0.0,,
NoiseProductJamming,ORACLE_UPPER_BOUND,0.0,250,250,0,0,0,12.275239546050114,0.596803061361574,0.07398047394778112,1.0,-8.68584620976545e-05,0.0,0.0,1.0,0.023380221086645392,,
NoiseProductJamming,ORACLE_UPPER_BOUND,10.0,250,250,0,0,0,21.696891308015395,1.576340775498038,0.19540522699146182,1.0,-8.68584620976545e-05,0.0,0.0,1.0,0.00867546530504626,,
NoiseProductJamming,ORACLE_UPPER_BOUND,20.0,250,250,0,0,0,28.913141373248443,2.9004475553563633,0.3595432039447019,1.0,-8.68584620976545e-05,0.0,0.0,1.0,0.014837593474052113,,
NoiseProductJamming,ORACLE_UPPER_BOUND,30.0,250,250,0,0,0,30.95537114901441,3.5378104701999225,0.4385515294202618,1.0,-8.68584620976545e-05,0.0,0.0,1.0,0.005866296600689935,,
SMSP,FROZEN_REJECTION_CONFIRMATION,0.0,250,250,0,0,0,13.39290827338785,0.1092100611393709,0.013537819434980893,1.0,-8.685885305006764e-06,0.0,0.0,0.8990649395114408,0.21575557057923866,,
SMSP,FROZEN_REJECTION_CONFIRMATION,10.0,250,250,0,0,0,0.0,0.0,0.0,0.8,-8.685885305006764e-06,1.0,nan,0.0,0.0,,
SMSP,FROZEN_REJECTION_CONFIRMATION,20.0,250,250,0,0,0,0.0,0.0,0.0,0.6,-8.685885305006764e-06,1.0,nan,0.0,0.0,,
