jammer,role,jsr_db,target_position,trials,interface_pass,interface_failures,oracle_input_failures,target_erased_count,delta_sinr_mean_db,delta_sinr_std_db,delta_sinr_ci95_db,pd_mean,target_only_change_mean_db,fallback_ratio,estimation_error_mean,confidence_mean,position_spread_db
AMNoiseGaiJam,FROZEN_REJECTION_CONFIRMATION,0.0,1000,50,50,0,0,0,8.672283117654203,0.3655078923650792,0.10131361883327168,1.0,-8.68588530327097e-06,0.0,0.0,0.9533033275099734,0.0
AMNoiseGaiJam,FROZEN_REJECTION_CONFIRMATION,0.0,1500,50,50,0,0,0,8.485362824508496,0.3256656096154956,0.09026990149568019,1.0,-8.685885305199628e-06,0.0,0.0,0.9615306949341418,0.0
AMNoiseGaiJam,FROZEN_REJECTION_CONFIRMATION,0.0,2500,50,50,0,0,0,9.059945109803833,0.3052076988048318,0.08459925793013325,1.0,-8.685885305199628e-06,0.0,0.0,0.9380759536698312,0.0
AMNoiseGaiJam,FROZEN_REJECTION_CONFIRMATION,0.0,3500,50,50,0,0,0,9.062723770447827,0.2978304533130461,0.08255438980715518,1.0,-8.685885305199628e-06,0.0,0.0,0.9380249721397944,0.0
AMNoiseGaiJam,FROZEN_REJECTION_CONFIRMATION,0.0,4000,50,50,0,0,0,9.0460248062163,0.3138020036725562,0.08698147770074181,1.0,-8.685885306163955e-06,0.0,0.0,0.9382981167141874,0.0
AMNoiseGaiJam,FROZEN_REJECTION_CONFIRMATION,10.0,1000,50,50,0,0,0,16.85418614769945,0.668362512832979,0.18526063672511148,1.0,-8.68588530327097e-06,0.0,0.08,0.8774563645787332,0.0
AMNoiseGaiJam,FROZEN_REJECTION_CONFIRMATION,10.0,1500,50,50,0,0,0,16.70127558026313,0.4539397072869099,0.12582566734678488,1.0,-8.685885305199628e-06,0.0,0.8,0.9029747675648655,0.0
AMNoiseGaiJam,FROZEN_REJECTION_CONFIRMATION,10.0,2500,50,50,0,0,0,17.221453410835167,3.5693141410583737,0.989363403464346,1.0,-8.685885305199628e-06,0.04,0.0,0.781866946770458,0.0
AMNoiseGaiJam,FROZEN_REJECTION_CONFIRMATION,10.0,3500,50,50,0,0,0,17.22552633602403,3.5698064369554863,0.9894998609250879,1.0,-8.685885305199628e-06,0.04,0.0,0.7817853573444604,0.0
AMNoiseGaiJam,FROZEN_REJECTION_CONFIRMATION,10.0,4000,50,50,0,0,0,17.576743636192095,2.5642513735759387,0.7107742176896064,1.0,-8.685885306163955e-06,0.02,0.0,0.7981127037221678,0.0
AMNoiseGaiJam,FROZEN_REJECTION_CONFIRMATION,20.0,1000,50,50,0,0,0,3.2230237778661266,8.075615018510058,2.2384462796014324,0.18,-8.68588530327097e-06,0.86,0.5714285714285714,0.11319945061549569,0.0
AMNoiseGaiJam,FROZEN_REJECTION_CONFIRMATION,20.0,1500,50,50,0,0,0,12.907300535482797,12.040246993562114,3.337386196153015,0.56,-8.685885305199628e-06,0.46,1.037037037037037,0.44208173547457763,0.0
AMNoiseGaiJam,FROZEN_REJECTION_CONFIRMATION,20.0,2500,50,50,0,0,0,0.0,0.0,0.0,1.0,-8.685885305199628e-06,1.0,nan,0.0,0.0
AMNoiseGaiJam,FROZEN_REJECTION_CONFIRMATION,20.0,3500,50,50,0,0,0,0.0,0.0,0.0,1.0,-8.685885305199628e-06,1.0,nan,0.0,0.0
AMNoiseGaiJam,FROZEN_REJECTION_CONFIRMATION,20.0,4000,50,50,0,0,0,0.0,0.0,0.0,1.0,-8.685885306163955e-06,1.0,nan,0.0,0.0
AMNoiseGaiJam,FROZEN_REJECTION_CONFIRMATION,30.0,1000,50,50,0,0,0,0.0,0.0,0.0,0.0,-8.68588530327097e-06,1.0,nan,0.0,0.0
AMNoiseGaiJam,FROZEN_REJECTION_CONFIRMATION,30.0,1500,50,50,0,0,0,0.0,0.0,0.0,0.0,-8.685885305199628e-06,1.0,nan,0.0,0.0
AMNoiseGaiJam,FROZEN_REJECTION_CONFIRMATION,30.0,2500,50,50,0,0,0,0.0,0.0,0.0,1.0,-8.685885305199628e-06,1.0,nan,0.0,0.0
AMNoiseGaiJam,FROZEN_REJECTION_CONFIRMATION,30.0,3500,50,50,0,0,0,0.0,0.0,0.0,1.0,-8.685885305199628e-06,1.0,nan,0.0,0.0
AMNoiseGaiJam,FROZEN_REJECTION_CONFIRMATION,30.0,4000,50,50,0,0,0,0.0,0.0,0.0,1.0,-8.685885306163955e-06,1.0,nan,0.0,0.0
AMNoiseGaiJam,IDENTITY_BASELINE,0.0,1000,50,50,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,nan,1.0,0.0
AMNoiseGaiJam,IDENTITY_BASELINE,0.0,1500,50,50,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,nan,1.0,0.0
AMNoiseGaiJam,IDENTITY_BASELINE,0.0,2500,50,50,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,nan,1.0,0.0
AMNoiseGaiJam,IDENTITY_BASELINE,0.0,3500,50,50,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,nan,1.0,0.0
AMNoiseGaiJam,IDENTITY_BASELINE,0.0,4000,50,50,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,nan,1.0,0.0
AMNoiseGaiJam,IDENTITY_BASELINE,10.0,1000,50,50,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,nan,1.0,0.0
AMNoiseGaiJam,IDENTITY_BASELINE,10.0,1500,50,50,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,nan,1.0,0.0
AMNoiseGaiJam,IDENTITY_BASELINE,10.0,2500,50,50,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,nan,1.0,0.0
AMNoiseGaiJam,IDENTITY_BASELINE,10.0,3500,50,50,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,nan,1.0,0.0
AMNoiseGaiJam,IDENTITY_BASELINE,10.0,4000,50,50,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,nan,1.0,0.0
AMNoiseGaiJam,IDENTITY_BASELINE,20.0,1000,50,50,0,0,0,0.0,0.0,0.0,0.1,0.0,1.0,nan,1.0,0.0
AMNoiseGaiJam,IDENTITY_BASELINE,20.0,1500,50,50,0,0,0,0.0,0.0,0.0,0.1,0.0,1.0,nan,1.0,0.0
AMNoiseGaiJam,IDENTITY_BASELINE,20.0,2500,50,50,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,nan,1.0,0.0
AMNoiseGaiJam,IDENTITY_BASELINE,20.0,3500,50,50,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,nan,1.0,0.0
AMNoiseGaiJam,IDENTITY_BASELINE,20.0,4000,50,50,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,nan,1.0,0.0
AMNoiseGaiJam,IDENTITY_BASELINE,30.0,1000,50,50,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,nan,1.0,0.0
AMNoiseGaiJam,IDENTITY_BASELINE,30.0,1500,50,50,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,nan,1.0,0.0
AMNoiseGaiJam,IDENTITY_BASELINE,30.0,2500,50,50,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,nan,1.0,0.0
AMNoiseGaiJam,IDENTITY_BASELINE,30.0,3500,50,50,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,nan,1.0,0.0
AMNoiseGaiJam,IDENTITY_BASELINE,30.0,4000,50,50,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,nan,1.0,0.0
AMNoiseGaiJam,ORACLE_UPPER_BOUND,0.0,1000,50,50,0,0,0,8.672283117654203,0.3655078923650795,0.10131361883327177,1.0,-8.685846209437572e-05,0.0,0.0,1.0,0.0
AMNoiseGaiJam,ORACLE_UPPER_BOUND,0.0,1500,50,50,0,0,0,8.485362824508496,0.3256656096154955,0.09026990149568016,1.0,-8.68584620991974e-05,0.0,0.0,1.0,0.0
AMNoiseGaiJam,ORACLE_UPPER_BOUND,0.0,2500,50,50,0,0,0,9.059945109803833,0.3052076988048318,0.08459925793013325,1.0,-8.68584620963044e-05,0.0,0.0,1.0,0.0
AMNoiseGaiJam,ORACLE_UPPER_BOUND,0.0,3500,50,50,0,0,0,9.062723770447827,0.2978304533130461,0.08255438980715518,1.0,-8.68584620991974e-05,0.0,0.0,1.0,0.0
AMNoiseGaiJam,ORACLE_UPPER_BOUND,0.0,4000,50,50,0,0,0,9.0460248062163,0.31380200367255623,0.08698147770074184,1.0,-8.68584620991974e-05,0.0,0.0,1.0,0.0
AMNoiseGaiJam,ORACLE_UPPER_BOUND,10.0,1000,50,50,0,0,0,16.853965748706102,0.6683626671004169,0.18526067948586364,1.0,-8.685846209437572e-05,0.0,0.0,1.0,0.0
AMNoiseGaiJam,ORACLE_UPPER_BOUND,10.0,1500,50,50,0,0,0,16.699071590329627,0.45387090137417313,0.12580659532081198,1.0,-8.68584620991974e-05,0.0,0.0,1.0,0.0
AMNoiseGaiJam,ORACLE_UPPER_BOUND,10.0,2500,50,50,0,0,0,17.95867899348799,0.3742405361477361,0.10373418419474176,1.0,-8.68584620963044e-05,0.0,0.0,1.0,0.0
AMNoiseGaiJam,ORACLE_UPPER_BOUND,10.0,3500,50,50,0,0,0,17.96324958898888,0.37140332342664373,0.1029477489516785,1.0,-8.68584620991974e-05,0.0,0.0,1.0,0.0
AMNoiseGaiJam,ORACLE_UPPER_BOUND,10.0,4000,50,50,0,0,0,17.94388067407342,0.38121829543084196,0.10566832039011778,1.0,-8.68584620991974e-05,0.0,0.0,1.0,0.0
