jammer,jsr_db,seed,target_position,true_target_idx_for_evaluation_only,candidate_id,estimated_target_idx,estimation_error_for_evaluation_only,estimator_confidence,fallback,fit_status,oracle_input_status,candidate_design,fit_function_name,dispatch_status,candidate_params_json,forbidden_keys_present,target_preservation_status,target_only_response_change_db,algorithm,role,interface_status,delta_sinr_db,detected_before,detected_after,pd_after,peak_error_before,peak_error_after,false_peak_count_before,false_peak_count_after,target_window_peak_change_db,runtime_ms,memory_usage_bytes
NoiseProductJamming,0.0,9200,1000,1000,,,,1.0,Identity,IDENTITY,PASS,,,NOT_APPLICABLE,,,TARGET_PRESERVED,0.0,Identity,IDENTITY_BASELINE,PASS,0.0,True,True,True,0,0,0,0,-6.7502922658730125e-15,0.0,0
NoiseProductJamming,0.0,9200,1000,1000,,1000,0,1.0,,LEGACY_ORACLE_TRUE_TARGET_IDX,ORACLE_TRUE_TARGET_IDX,,,NOT_APPLICABLE,,target_idx,TARGET_PRESERVED,-8.685846209437573e-05,adapt_filter_oracle,ORACLE_UPPER_BOUND,PASS,11.123293816839965,True,True,True,0,0,0,535,-8.685846209534007e-05,62.3597499798052,400273803
NoiseProductJamming,0.0,9200,1000,1000,A_k3_c0.8_r0.001,1000,0,0.946565265863538,,FITTED_TOPK_PROTECTED_PROJECTION,PASS,A,fit_adapt_filter_fair,PASS,"{""confidence_threshold"": 0.8, ""regularization"": 0.001, ""top_k"": 3}",,TARGET_PRESERVED,-8.68588530327097e-06,adapt_filter_fair_frozen,FROZEN_REJECTION_CONFIRMATION,PASS,11.123293816839965,True,True,True,0,0,0,527,-8.685885300377985e-06,0.5115419626235962,80000
NoiseProductJamming,0.0,9200,1500,1500,,,,1.0,Identity,IDENTITY,PASS,,,NOT_APPLICABLE,,,TARGET_PRESERVED,0.0,Identity,IDENTITY_BASELINE,PASS,0.0,True,True,True,0,0,0,0,-6.7502922658730125e-15,0.0,0
NoiseProductJamming,0.0,9200,1500,1500,,1500,0,1.0,,LEGACY_ORACLE_TRUE_TARGET_IDX,ORACLE_TRUE_TARGET_IDX,,,NOT_APPLICABLE,,target_idx,TARGET_PRESERVED,-8.685846209919741e-05,adapt_filter_oracle,ORACLE_UPPER_BOUND,PASS,11.114951716124118,True,True,True,0,0,0,442,-8.685846209534007e-05,24.377457972150296,400257424
NoiseProductJamming,0.0,9200,1500,1500,A_k3_c0.8_r0.001,1500,0,0.9468125775731835,,FITTED_TOPK_PROTECTED_PROJECTION,PASS,A,fit_adapt_filter_fair,PASS,"{""confidence_threshold"": 0.8, ""regularization"": 0.001, ""top_k"": 3}",,TARGET_PRESERVED,-8.685885305199628e-06,adapt_filter_fair_frozen,FROZEN_REJECTION_CONFIRMATION,PASS,11.114951716124118,True,True,True,0,0,0,448,-8.685885301342313e-06,0.49637502525001764,80000
NoiseProductJamming,0.0,9200,2500,2500,,,,1.0,Identity,IDENTITY,PASS,,,NOT_APPLICABLE,,,TARGET_PRESERVED,0.0,Identity,IDENTITY_BASELINE,PASS,0.0,True,True,True,0,0,0,0,-6.7502922658730125e-15,0.0,0
NoiseProductJamming,0.0,9200,2500,2500,,2500,0,1.0,,LEGACY_ORACLE_TRUE_TARGET_IDX,ORACLE_TRUE_TARGET_IDX,,,NOT_APPLICABLE,,target_idx,TARGET_PRESERVED,-8.68584620963044e-05,adapt_filter_oracle,ORACLE_UPPER_BOUND,PASS,11.031774156886385,True,True,True,0,0,0,273,-8.685846209534007e-05,24.64125002734363,400257392
NoiseProductJamming,0.0,9200,2500,2500,A_k3_c0.8_r0.001,2500,0,0.9453859253548142,,FITTED_TOPK_PROTECTED_PROJECTION,PASS,A,fit_adapt_filter_fair,PASS,"{""confidence_threshold"": 0.8, ""regularization"": 0.001, ""top_k"": 3}",,TARGET_PRESERVED,-8.685885305199628e-06,adapt_filter_fair_frozen,FROZEN_REJECTION_CONFIRMATION,PASS,11.031774156886385,True,True,True,0,0,0,271,-8.685885302306642e-06,0.517916982062161,80000
NoiseProductJamming,0.0,9200,3500,3500,,,,1.0,Identity,IDENTITY,PASS,,,NOT_APPLICABLE,,,TARGET_PRESERVED,0.0,Identity,IDENTITY_BASELINE,PASS,0.0,True,True,True,0,0,0,0,-6.7502922658730125e-15,0.0,0
