jammer,role,jsr_db,target_position,trials,interface_pass,interface_failures,oracle_input_failures,target_erased_count,delta_sinr_mean_db,delta_sinr_std_db,delta_sinr_ci95_db,pd_mean,target_only_change_mean_db,fallback_ratio,estimation_error_mean,confidence_mean,position_spread_db
AMNoiseGaiJam,FROZEN_REJECTION_CONFIRMATION,0.0,1000,50,50,0,0,0,8.555564710750591,0.34982096084782693,0.09696542325774332,1.0,-8.68588530327097e-06,0.0,0.0,0.9546211453601743,0.0
AMNoiseGaiJam,FROZEN_REJECTION_CONFIRMATION,0.0,1500,50,50,0,0,0,8.428940127365445,0.3446051108457797,0.09551966339855233,1.0,-8.685885305199628e-06,0.0,0.0,0.9616949567936305,0.0
AMNoiseGaiJam,FROZEN_REJECTION_CONFIRMATION,0.0,2500,50,50,0,0,0,9.022458547257619,0.2866521041537793,0.0794559095019037,1.0,-8.685885305199628e-06,0.0,0.0,0.9383648250460292,0.0
AMNoiseGaiJam,FROZEN_REJECTION_CONFIRMATION,0.0,3500,50,50,0,0,0,9.009197848868688,0.28847423495786995,0.07996097839263401,1.0,-8.685885305199628e-06,0.0,0.0,0.93844253317543,0.0
AMNoiseGaiJam,FROZEN_REJECTION_CONFIRMATION,0.0,4000,50,50,0,0,0,9.025039352708179,0.2948371198301258,0.0817246800967379,1.0,-8.685885306163955e-06,0.0,0.0,0.9383085645900325,0.0
AMNoiseGaiJam,FROZEN_REJECTION_CONFIRMATION,10.0,1000,50,50,0,0,0,16.669806455882743,0.6800727034955073,0.18850653597388425,1.0,-8.68588530327097e-06,0.0,0.04,0.8799095124129549,0.0
AMNoiseGaiJam,FROZEN_REJECTION_CONFIRMATION,10.0,1500,50,50,0,0,0,16.673894936360192,0.5146537861128458,0.14265475139249992,1.0,-8.685885305199628e-06,0.0,0.76,0.902771918008992,0.0
AMNoiseGaiJam,FROZEN_REJECTION_CONFIRMATION,10.0,2500,50,50,0,0,0,16.81703962583905,4.30420586056512,1.1930649954383625,1.0,-8.685885305199628e-06,0.06,0.0,0.7657321115149861,0.0
AMNoiseGaiJam,FROZEN_REJECTION_CONFIRMATION,10.0,3500,50,50,0,0,0,16.80909116420034,4.302649870555271,1.1926336970120928,1.0,-8.685885305199628e-06,0.06,0.0,0.765916965568922,0.0
AMNoiseGaiJam,FROZEN_REJECTION_CONFIRMATION,10.0,4000,50,50,0,0,0,16.451340417705143,4.911420349234722,1.3613762646069774,1.0,-8.685885306163955e-06,0.08,0.0,0.7497549297266611,0.0
