trial_id,jammer,jsr_db,seed,target_position,algorithm,role,oracle_audit,jammer_contract,interface_status,sinr_before_db,sinr_after_db,delta_sinr_db,detected_before,detected_after,identity_detected,peak_error_before,peak_error_after,false_peak_count_before,false_peak_count_after,target_only_response_change_db,target_preservation_status,selected_order,theoretical_target_order,order_deviation_d4,mask_support_ratio,target_protection_overlap,fallback,fallback_ratio,runtime_ms,memory_usage_bytes,candidate_hash_sha256
SMSP|jsr=0|seed=10300|center=1000|Oracle_FrFT_UpperBound,SMSP,0.0,10300,1000,Oracle_FrFT_UpperBound,ORACLE_DIAGNOSTIC_ONLY;NOT_FAIR;NOT_RL_ELIGIBLE,ORACLE_DIAGNOSTIC_ONLY,unified/pass,PASS,26.682868626620213,26.01453187681456,-0.668336749805654,True,True,True,0,0,0,0,-0.9134157461729969,TARGET_PRESERVED,0.9,1.0,0.09999999999999998,0.089,0.5318973083343975,False,0.0,0.0,80000,8a015e3f860296dd3aca796cda326c3703d87c07b3f719b51b1eb7fb9b7d4abb
SMSP|jsr=0|seed=10300|center=1500|Oracle_FrFT_UpperBound,SMSP,0.0,10300,1500,Oracle_FrFT_UpperBound,ORACLE_DIAGNOSTIC_ONLY;NOT_FAIR;NOT_RL_ELIGIBLE,ORACLE_DIAGNOSTIC_ONLY,unified/pass,PASS,26.819480139424225,25.99273143540453,-0.8267487040196961,True,True,True,0,0,0,0,-0.913415746172999,TARGET_PRESERVED,0.9,1.0,0.09999999999999998,0.089,0.6370791897177097,False,0.0,0.0,80000,8a015e3f860296dd3aca796cda326c3703d87c07b3f719b51b1eb7fb9b7d4abb
SMSP|jsr=0|seed=10300|center=2500|Oracle_FrFT_UpperBound,SMSP,0.0,10300,2500,Oracle_FrFT_UpperBound,ORACLE_DIAGNOSTIC_ONLY;NOT_FAIR;NOT_RL_ELIGIBLE,ORACLE_DIAGNOSTIC_ONLY,unified/pass,PASS,26.8110145975549,25.785137028626576,-1.0258775689283262,True,True,True,0,0,1,0,-0.913415746172999,TARGET_PRESERVED,0.9,1.0,0.09999999999999998,0.089,0.0,False,0.0,0.0,80000,8a015e3f860296dd3aca796cda326c3703d87c07b3f719b51b1eb7fb9b7d4abb
SMSP|jsr=0|seed=10300|center=3500|Oracle_FrFT_UpperBound,SMSP,0.0,10300,3500,Oracle_FrFT_UpperBound,ORACLE_DIAGNOSTIC_ONLY;NOT_FAIR;NOT_RL_ELIGIBLE,ORACLE_DIAGNOSTIC_ONLY,unified/pass,PASS,26.844210005442832,25.850293386720544,-0.9939166187222881,True,True,True,0,0,1,0,-0.913415746172999,TARGET_PRESERVED,0.9,1.0,0.09999999999999998,0.089,0.0,False,0.0,0.0,80000,8a015e3f860296dd3aca796cda326c3703d87c07b3f719b51b1eb7fb9b7d4abb
SMSP|jsr=0|seed=10300|center=4000|Oracle_FrFT_UpperBound,SMSP,0.0,10300,4000,Oracle_FrFT_UpperBound,ORACLE_DIAGNOSTIC_ONLY;NOT_FAIR;NOT_RL_ELIGIBLE,ORACLE_DIAGNOSTIC_ONLY,unified/pass,PASS,26.805541553683536,25.80218310976835,-1.003358443915186,True,True,True,0,0,0,0,-0.913415746172999,TARGET_PRESERVED,0.9,1.0,0.09999999999999998,0.089,0.0,False,0.0,0.0,80000,8a015e3f860296dd3aca796cda326c3703d87c07b3f719b51b1eb7fb9b7d4abb
SMSP|jsr=0|seed=10301|center=1000|Oracle_FrFT_UpperBound,SMSP,0.0,10301,1000,Oracle_FrFT_UpperBound,ORACLE_DIAGNOSTIC_ONLY;NOT_FAIR;NOT_RL_ELIGIBLE,ORACLE_DIAGNOSTIC_ONLY,unified/pass,PASS,26.48579061565824,25.87095538835861,-0.6148352272996291,True,True,True,0,0,0,0,-0.9134157461729969,TARGET_PRESERVED,0.9,1.0,0.09999999999999998,0.089,0.5318973083343975,False,0.0,0.0,80000,8a015e3f860296dd3aca796cda326c3703d87c07b3f719b51b1eb7fb9b7d4abb
SMSP|jsr=0|seed=10301|center=1500|Oracle_FrFT_UpperBound,SMSP,0.0,10301,1500,Oracle_FrFT_UpperBound,ORACLE_DIAGNOSTIC_ONLY;NOT_FAIR;NOT_RL_ELIGIBLE,ORACLE_DIAGNOSTIC_ONLY,unified/pass,PASS,26.79673423793713,25.995141946019395,-0.8015922919177356,True,True,True,0,0,0,0,-0.913415746172999,TARGET_PRESERVED,0.9,1.0,0.09999999999999998,0.089,0.6370791897177097,False,0.0,0.0,80000,8a015e3f860296dd3aca796cda326c3703d87c07b3f719b51b1eb7fb9b7d4abb
SMSP|jsr=0|seed=10301|center=2500|Oracle_FrFT_UpperBound,SMSP,0.0,10301,2500,Oracle_FrFT_UpperBound,ORACLE_DIAGNOSTIC_ONLY;NOT_FAIR;NOT_RL_ELIGIBLE,ORACLE_DIAGNOSTIC_ONLY,unified/pass,PASS,26.76678755958244,25.732065228830955,-1.0347223307514852,True,True,True,0,0,0,0,-0.913415746172999,TARGET_PRESERVED,0.9,1.0,0.09999999999999998,0.089,0.0,False,0.0,0.0,80000,8a015e3f860296dd3aca796cda326c3703d87c07b3f719b51b1eb7fb9b7d4abb
SMSP|jsr=0|seed=10301|center=3500|Oracle_FrFT_UpperBound,SMSP,0.0,10301,3500,Oracle_FrFT_UpperBound,ORACLE_DIAGNOSTIC_ONLY;NOT_FAIR;NOT_RL_ELIGIBLE,ORACLE_DIAGNOSTIC_ONLY,unified/pass,PASS,26.853196747934945,25.85032246349602,-1.0028742844389242,True,True,True,0,0,0,0,-0.913415746172999,TARGET_PRESERVED,0.9,1.0,0.09999999999999998,0.089,0.0,False,0.0,0.0,80000,8a015e3f860296dd3aca796cda326c3703d87c07b3f719b51b1eb7fb9b7d4abb
SMSP|jsr=0|seed=10301|center=4000|Oracle_FrFT_UpperBound,SMSP,0.0,10301,4000,Oracle_FrFT_UpperBound,ORACLE_DIAGNOSTIC_ONLY;NOT_FAIR;NOT_RL_ELIGIBLE,ORACLE_DIAGNOSTIC_ONLY,unified/pass,PASS,26.779984891706164,25.758434167127,-1.0215507245791642,True,True,True,0,0,0,0,-0.913415746172999,TARGET_PRESERVED,0.9,1.0,0.09999999999999998,0.089,0.0,False,0.0,0.0,80000,8a015e3f860296dd3aca796cda326c3703d87c07b3f719b51b1eb7fb9b7d4abb
