trial_id,jammer,jsr_db,seed,target_position,algorithm,selected_order,theoretical_target_order,order_deviation_d4
SMSP|jsr=0|seed=10300|center=1000|Identity,SMSP,0.0,10300,1000,Identity,0.0,1.0,1.0
SMSP|jsr=0|seed=10300|center=1000|Current_FrFT,SMSP,0.0,10300,1000,Current_FrFT,nan,1.0,nan
SMSP|jsr=0|seed=10300|center=1000|FROZEN_REJECTION_CONFIRMATION,SMSP,0.0,10300,1000,FROZEN_REJECTION_CONFIRMATION,nan,1.0,nan
SMSP|jsr=0|seed=10300|center=1000|Oracle_FrFT_UpperBound,SMSP,0.0,10300,1000,Oracle_FrFT_UpperBound,0.9,1.0,0.09999999999999998
SMSP|jsr=0|seed=10300|center=1500|Identity,SMSP,0.0,10300,1500,Identity,0.0,1.0,1.0
SMSP|jsr=0|seed=10300|center=1500|Current_FrFT,SMSP,0.0,10300,1500,Current_FrFT,nan,1.0,nan
SMSP|jsr=0|seed=10300|center=1500|FROZEN_REJECTION_CONFIRMATION,SMSP,0.0,10300,1500,FROZEN_REJECTION_CONFIRMATION,nan,1.0,nan
SMSP|jsr=0|seed=10300|center=1500|Oracle_FrFT_UpperBound,SMSP,0.0,10300,1500,Oracle_FrFT_UpperBound,0.9,1.0,0.09999999999999998
SMSP|jsr=0|seed=10300|center=2500|Identity,SMSP,0.0,10300,2500,Identity,0.0,1.0,1.0
SMSP|jsr=0|seed=10300|center=2500|Current_FrFT,SMSP,0.0,10300,2500,Current_FrFT,nan,1.0,nan
SMSP|jsr=0|seed=10300|center=2500|FROZEN_REJECTION_CONFIRMATION,SMSP,0.0,10300,2500,FROZEN_REJECTION_CONFIRMATION,nan,1.0,nan
SMSP|jsr=0|seed=10300|center=2500|Oracle_FrFT_UpperBound,SMSP,0.0,10300,2500,Oracle_FrFT_UpperBound,0.9,1.0,0.09999999999999998
SMSP|jsr=0|seed=10300|center=3500|Identity,SMSP,0.0,10300,3500,Identity,0.0,1.0,1.0
SMSP|jsr=0|seed=10300|center=3500|Current_FrFT,SMSP,0.0,10300,3500,Current_FrFT,nan,1.0,nan
SMSP|jsr=0|seed=10300|center=3500|FROZEN_REJECTION_CONFIRMATION,SMSP,0.0,10300,3500,FROZEN_REJECTION_CONFIRMATION,nan,1.0,nan
SMSP|jsr=0|seed=10300|center=3500|Oracle_FrFT_UpperBound,SMSP,0.0,10300,3500,Oracle_FrFT_UpperBound,0.9,1.0,0.09999999999999998
SMSP|jsr=0|seed=10300|center=4000|Identity,SMSP,0.0,10300,4000,Identity,0.0,1.0,1.0
SMSP|jsr=0|seed=10300|center=4000|Current_FrFT,SMSP,0.0,10300,4000,Current_FrFT,nan,1.0,nan
SMSP|jsr=0|seed=10300|center=4000|FROZEN_REJECTION_CONFIRMATION,SMSP,0.0,10300,4000,FROZEN_REJECTION_CONFIRMATION,nan,1.0,nan
SMSP|jsr=0|seed=10300|center=4000|Oracle_FrFT_UpperBound,SMSP,0.0,10300,4000,Oracle_FrFT_UpperBound,0.9,1.0,0.09999999999999998
SMSP|jsr=0|seed=10301|center=1000|Identity,SMSP,0.0,10301,1000,Identity,0.0,1.0,1.0
SMSP|jsr=0|seed=10301|center=1000|Current_FrFT,SMSP,0.0,10301,1000,Current_FrFT,nan,1.0,nan
SMSP|jsr=0|seed=10301|center=1000|FROZEN_REJECTION_CONFIRMATION,SMSP,0.0,10301,1000,FROZEN_REJECTION_CONFIRMATION,nan,1.0,nan
SMSP|jsr=0|seed=10301|center=1000|Oracle_FrFT_UpperBound,SMSP,0.0,10301,1000,Oracle_FrFT_UpperBound,0.9,1.0,0.09999999999999998
SMSP|jsr=0|seed=10301|center=1500|Identity,SMSP,0.0,10301,1500,Identity,0.0,1.0,1.0
SMSP|jsr=0|seed=10301|center=1500|Current_FrFT,SMSP,0.0,10301,1500,Current_FrFT,nan,1.0,nan
SMSP|jsr=0|seed=10301|center=1500|FROZEN_REJECTION_CONFIRMATION,SMSP,0.0,10301,1500,FROZEN_REJECTION_CONFIRMATION,nan,1.0,nan
SMSP|jsr=0|seed=10301|center=1500|Oracle_FrFT_UpperBound,SMSP,0.0,10301,1500,Oracle_FrFT_UpperBound,0.9,1.0,0.09999999999999998
SMSP|jsr=0|seed=10301|center=2500|Identity,SMSP,0.0,10301,2500,Identity,0.0,1.0,1.0
SMSP|jsr=0|seed=10301|center=2500|Current_FrFT,SMSP,0.0,10301,2500,Current_FrFT,nan,1.0,nan
SMSP|jsr=0|seed=10301|center=2500|FROZEN_REJECTION_CONFIRMATION,SMSP,0.0,10301,2500,FROZEN_REJECTION_CONFIRMATION,nan,1.0,nan
SMSP|jsr=0|seed=10301|center=2500|Oracle_FrFT_UpperBound,SMSP,0.0,10301,2500,Oracle_FrFT_UpperBound,0.9,1.0,0.09999999999999998
SMSP|jsr=0|seed=10301|center=3500|Identity,SMSP,0.0,10301,3500,Identity,0.0,1.0,1.0
SMSP|jsr=0|seed=10301|center=3500|Current_FrFT,SMSP,0.0,10301,3500,Current_FrFT,nan,1.0,nan
SMSP|jsr=0|seed=10301|center=3500|FROZEN_REJECTION_CONFIRMATION,SMSP,0.0,10301,3500,FROZEN_REJECTION_CONFIRMATION,nan,1.0,nan
SMSP|jsr=0|seed=10301|center=3500|Oracle_FrFT_UpperBound,SMSP,0.0,10301,3500,Oracle_FrFT_UpperBound,0.9,1.0,0.09999999999999998
SMSP|jsr=0|seed=10301|center=4000|Identity,SMSP,0.0,10301,4000,Identity,0.0,1.0,1.0
SMSP|jsr=0|seed=10301|center=4000|Current_FrFT,SMSP,0.0,10301,4000,Current_FrFT,nan,1.0,nan
SMSP|jsr=0|seed=10301|center=4000|FROZEN_REJECTION_CONFIRMATION,SMSP,0.0,10301,4000,FROZEN_REJECTION_CONFIRMATION,nan,1.0,nan
SMSP|jsr=0|seed=10301|center=4000|Oracle_FrFT_UpperBound,SMSP,0.0,10301,4000,Oracle_FrFT_UpperBound,0.9,1.0,0.09999999999999998
SMSP|jsr=0|seed=10302|center=1000|Identity,SMSP,0.0,10302,1000,Identity,0.0,1.0,1.0
SMSP|jsr=0|seed=10302|center=1000|Current_FrFT,SMSP,0.0,10302,1000,Current_FrFT,nan,1.0,nan
SMSP|jsr=0|seed=10302|center=1000|FROZEN_REJECTION_CONFIRMATION,SMSP,0.0,10302,1000,FROZEN_REJECTION_CONFIRMATION,nan,1.0,nan
SMSP|jsr=0|seed=10302|center=1000|Oracle_FrFT_UpperBound,SMSP,0.0,10302,1000,Oracle_FrFT_UpperBound,0.9,1.0,0.09999999999999998
SMSP|jsr=0|seed=10302|center=1500|Identity,SMSP,0.0,10302,1500,Identity,0.0,1.0,1.0
SMSP|jsr=0|seed=10302|center=1500|Current_FrFT,SMSP,0.0,10302,1500,Current_FrFT,nan,1.0,nan
SMSP|jsr=0|seed=10302|center=1500|FROZEN_REJECTION_CONFIRMATION,SMSP,0.0,10302,1500,FROZEN_REJECTION_CONFIRMATION,nan,1.0,nan
SMSP|jsr=0|seed=10302|center=1500|Oracle_FrFT_UpperBound,SMSP,0.0,10302,1500,Oracle_FrFT_UpperBound,0.9,1.0,0.09999999999999998
SMSP|jsr=0|seed=10302|center=2500|Identity,SMSP,0.0,10302,2500,Identity,0.0,1.0,1.0
SMSP|jsr=0|seed=10302|center=2500|Current_FrFT,SMSP,0.0,10302,2500,Current_FrFT,nan,1.0,nan
SMSP|jsr=0|seed=10302|center=2500|FROZEN_REJECTION_CONFIRMATION,SMSP,0.0,10302,2500,FROZEN_REJECTION_CONFIRMATION,nan,1.0,nan
SMSP|jsr=0|seed=10302|center=2500|Oracle_FrFT_UpperBound,SMSP,0.0,10302,2500,Oracle_FrFT_UpperBound,0.9,1.0,0.09999999999999998
SMSP|jsr=0|seed=10302|center=3500|Identity,SMSP,0.0,10302,3500,Identity,0.0,1.0,1.0
SMSP|jsr=0|seed=10302|center=3500|Current_FrFT,SMSP,0.0,10302,3500,Current_FrFT,nan,1.0,nan
SMSP|jsr=0|seed=10302|center=3500|FROZEN_REJECTION_CONFIRMATION,SMSP,0.0,10302,3500,FROZEN_REJECTION_CONFIRMATION,nan,1.0,nan
SMSP|jsr=0|seed=10302|center=3500|Oracle_FrFT_UpperBound,SMSP,0.0,10302,3500,Oracle_FrFT_UpperBound,0.9,1.0,0.09999999999999998
SMSP|jsr=0|seed=10302|center=4000|Identity,SMSP,0.0,10302,4000,Identity,0.0,1.0,1.0
SMSP|jsr=0|seed=10302|center=4000|Current_FrFT,SMSP,0.0,10302,4000,Current_FrFT,nan,1.0,nan
SMSP|jsr=0|seed=10302|center=4000|FROZEN_REJECTION_CONFIRMATION,SMSP,0.0,10302,4000,FROZEN_REJECTION_CONFIRMATION,nan,1.0,nan
SMSP|jsr=0|seed=10302|center=4000|Oracle_FrFT_UpperBound,SMSP,0.0,10302,4000,Oracle_FrFT_UpperBound,0.9,1.0,0.09999999999999998
SMSP|jsr=0|seed=10303|center=1000|Identity,SMSP,0.0,10303,1000,Identity,0.0,1.0,1.0
SMSP|jsr=0|seed=10303|center=1000|Current_FrFT,SMSP,0.0,10303,1000,Current_FrFT,nan,1.0,nan
SMSP|jsr=0|seed=10303|center=1000|FROZEN_REJECTION_CONFIRMATION,SMSP,0.0,10303,1000,FROZEN_REJECTION_CONFIRMATION,nan,1.0,nan
SMSP|jsr=0|seed=10303|center=1000|Oracle_FrFT_UpperBound,SMSP,0.0,10303,1000,Oracle_FrFT_UpperBound,0.9,1.0,0.09999999999999998
SMSP|jsr=0|seed=10303|center=1500|Identity,SMSP,0.0,10303,1500,Identity,0.0,1.0,1.0
SMSP|jsr=0|seed=10303|center=1500|Current_FrFT,SMSP,0.0,10303,1500,Current_FrFT,nan,1.0,nan
SMSP|jsr=0|seed=10303|center=1500|FROZEN_REJECTION_CONFIRMATION,SMSP,0.0,10303,1500,FROZEN_REJECTION_CONFIRMATION,nan,1.0,nan
SMSP|jsr=0|seed=10303|center=1500|Oracle_FrFT_UpperBound,SMSP,0.0,10303,1500,Oracle_FrFT_UpperBound,0.9,1.0,0.09999999999999998
SMSP|jsr=0|seed=10303|center=2500|Identity,SMSP,0.0,10303,2500,Identity,0.0,1.0,1.0
SMSP|jsr=0|seed=10303|center=2500|Current_FrFT,SMSP,0.0,10303,2500,Current_FrFT,nan,1.0,nan
SMSP|jsr=0|seed=10303|center=2500|FROZEN_REJECTION_CONFIRMATION,SMSP,0.0,10303,2500,FROZEN_REJECTION_CONFIRMATION,nan,1.0,nan
SMSP|jsr=0|seed=10303|center=2500|Oracle_FrFT_UpperBound,SMSP,0.0,10303,2500,Oracle_FrFT_UpperBound,0.9,1.0,0.09999999999999998
SMSP|jsr=0|seed=10303|center=3500|Identity,SMSP,0.0,10303,3500,Identity,0.0,1.0,1.0
SMSP|jsr=0|seed=10303|center=3500|Current_FrFT,SMSP,0.0,10303,3500,Current_FrFT,nan,1.0,nan
SMSP|jsr=0|seed=10303|center=3500|FROZEN_REJECTION_CONFIRMATION,SMSP,0.0,10303,3500,FROZEN_REJECTION_CONFIRMATION,nan,1.0,nan
SMSP|jsr=0|seed=10303|center=3500|Oracle_FrFT_UpperBound,SMSP,0.0,10303,3500,Oracle_FrFT_UpperBound,0.9,1.0,0.09999999999999998
SMSP|jsr=0|seed=10303|center=4000|Identity,SMSP,0.0,10303,4000,Identity,0.0,1.0,1.0
SMSP|jsr=0|seed=10303|center=4000|Current_FrFT,SMSP,0.0,10303,4000,Current_FrFT,nan,1.0,nan
SMSP|jsr=0|seed=10303|center=4000|FROZEN_REJECTION_CONFIRMATION,SMSP,0.0,10303,4000,FROZEN_REJECTION_CONFIRMATION,nan,1.0,nan
SMSP|jsr=0|seed=10303|center=4000|Oracle_FrFT_UpperBound,SMSP,0.0,10303,4000,Oracle_FrFT_UpperBound,0.9,1.0,0.09999999999999998
SMSP|jsr=0|seed=10304|center=1000|Identity,SMSP,0.0,10304,1000,Identity,0.0,1.0,1.0
SMSP|jsr=0|seed=10304|center=1000|Current_FrFT,SMSP,0.0,10304,1000,Current_FrFT,nan,1.0,nan
SMSP|jsr=0|seed=10304|center=1000|FROZEN_REJECTION_CONFIRMATION,SMSP,0.0,10304,1000,FROZEN_REJECTION_CONFIRMATION,nan,1.0,nan
SMSP|jsr=0|seed=10304|center=1000|Oracle_FrFT_UpperBound,SMSP,0.0,10304,1000,Oracle_FrFT_UpperBound,0.9,1.0,0.09999999999999998
SMSP|jsr=0|seed=10304|center=1500|Identity,SMSP,0.0,10304,1500,Identity,0.0,1.0,1.0
SMSP|jsr=0|seed=10304|center=1500|Current_FrFT,SMSP,0.0,10304,1500,Current_FrFT,nan,1.0,nan
SMSP|jsr=0|seed=10304|center=1500|FROZEN_REJECTION_CONFIRMATION,SMSP,0.0,10304,1500,FROZEN_REJECTION_CONFIRMATION,nan,1.0,nan
SMSP|jsr=0|seed=10304|center=1500|Oracle_FrFT_UpperBound,SMSP,0.0,10304,1500,Oracle_FrFT_UpperBound,0.9,1.0,0.09999999999999998
SMSP|jsr=0|seed=10304|center=2500|Identity,SMSP,0.0,10304,2500,Identity,0.0,1.0,1.0
