trial_id,jammer,jsr_db,seed,target_position,algorithm,role,oracle_audit,jammer_contract,interface_status,sinr_before_db,sinr_after_db,delta_sinr_db,detected_before,detected_after,identity_detected,peak_error_before,peak_error_after,false_peak_count_before,false_peak_count_after,target_only_response_change_db,target_preservation_status,selected_order,theoretical_target_order,order_deviation_d4,mask_support_ratio,target_protection_overlap,fallback,fallback_ratio,runtime_ms,memory_usage_bytes,candidate_hash_sha256
SMSP|jsr=0|seed=10300|center=1000|Identity,SMSP,0.0,10300,1000,Identity,OBSERVABLE_BASELINE,PASS,unified/pass,PASS,26.682868626620213,26.682868626620213,0.0,True,True,True,0,0,0,0,-8.678947198979587e-15,TARGET_PRESERVED,0.0,1.0,1.0,0.0,1.0,True,1.0,0.0,80000,8a015e3f860296dd3aca796cda326c3703d87c07b3f719b51b1eb7fb9b7d4abb
SMSP|jsr=0|seed=10300|center=1000|Current_FrFT,SMSP,0.0,10300,1000,Current_FrFT,OBSERVABLE_CURRENT_BASELINE,PASS,unified/pass,PASS,26.682868626620213,26.683956297176934,0.0010876705567213207,True,True,True,0,0,0,0,-0.004811247201855291,TARGET_PRESERVED,nan,1.0,nan,1.0,nan,False,0.0,4.932625000947155,80000,8a015e3f860296dd3aca796cda326c3703d87c07b3f719b51b1eb7fb9b7d4abb
SMSP|jsr=0|seed=10300|center=1000|FROZEN_REJECTION_CONFIRMATION,SMSP,0.0,10300,1000,FROZEN_REJECTION_CONFIRMATION,FROZEN_CURRENT_FRFT_NO_STAGE4_CANDIDATE,PASS,unified/pass,PASS,26.682868626620213,26.683956297176934,0.0010876705567213207,True,True,True,0,0,0,0,-0.004811247201855291,TARGET_PRESERVED,nan,1.0,nan,1.0,nan,False,0.0,4.932625000947155,80000,8a015e3f860296dd3aca796cda326c3703d87c07b3f719b51b1eb7fb9b7d4abb
SMSP|jsr=0|seed=10300|center=1000|Oracle_FrFT_UpperBound,SMSP,0.0,10300,1000,Oracle_FrFT_UpperBound,ORACLE_DIAGNOSTIC_ONLY;NOT_FAIR;NOT_RL_ELIGIBLE,ORACLE_DIAGNOSTIC_ONLY,unified/pass,PASS,26.682868626620213,26.01453187681456,-0.668336749805654,True,True,True,0,0,0,0,-0.9134157461729969,TARGET_PRESERVED,0.9,1.0,0.09999999999999998,0.089,0.5318973083343975,False,0.0,0.0,80000,8a015e3f860296dd3aca796cda326c3703d87c07b3f719b51b1eb7fb9b7d4abb
SMSP|jsr=0|seed=10300|center=1500|Identity,SMSP,0.0,10300,1500,Identity,OBSERVABLE_BASELINE,PASS,unified/pass,PASS,26.819480139424225,26.819480139424225,0.0,True,True,True,0,0,0,0,-8.678947198979587e-15,TARGET_PRESERVED,0.0,1.0,1.0,0.0,1.0,True,1.0,0.0,80000,8a015e3f860296dd3aca796cda326c3703d87c07b3f719b51b1eb7fb9b7d4abb
SMSP|jsr=0|seed=10300|center=1500|Current_FrFT,SMSP,0.0,10300,1500,Current_FrFT,OBSERVABLE_CURRENT_BASELINE,PASS,unified/pass,PASS,26.819480139424225,26.81897731219348,-0.0005028272307470161,True,True,True,0,0,0,0,-0.004811247201860116,TARGET_PRESERVED,nan,1.0,nan,1.0,nan,False,0.0,4.476083002373343,80000,8a015e3f860296dd3aca796cda326c3703d87c07b3f719b51b1eb7fb9b7d4abb
SMSP|jsr=0|seed=10300|center=1500|FROZEN_REJECTION_CONFIRMATION,SMSP,0.0,10300,1500,FROZEN_REJECTION_CONFIRMATION,FROZEN_CURRENT_FRFT_NO_STAGE4_CANDIDATE,PASS,unified/pass,PASS,26.819480139424225,26.81897731219348,-0.0005028272307470161,True,True,True,0,0,0,0,-0.004811247201860116,TARGET_PRESERVED,nan,1.0,nan,1.0,nan,False,0.0,4.476083002373343,80000,8a015e3f860296dd3aca796cda326c3703d87c07b3f719b51b1eb7fb9b7d4abb
SMSP|jsr=0|seed=10300|center=1500|Oracle_FrFT_UpperBound,SMSP,0.0,10300,1500,Oracle_FrFT_UpperBound,ORACLE_DIAGNOSTIC_ONLY;NOT_FAIR;NOT_RL_ELIGIBLE,ORACLE_DIAGNOSTIC_ONLY,unified/pass,PASS,26.819480139424225,25.99273143540453,-0.8267487040196961,True,True,True,0,0,0,0,-0.913415746172999,TARGET_PRESERVED,0.9,1.0,0.09999999999999998,0.089,0.6370791897177097,False,0.0,0.0,80000,8a015e3f860296dd3aca796cda326c3703d87c07b3f719b51b1eb7fb9b7d4abb
SMSP|jsr=0|seed=10300|center=2500|Identity,SMSP,0.0,10300,2500,Identity,OBSERVABLE_BASELINE,PASS,unified/pass,PASS,26.8110145975549,26.8110145975549,0.0,True,True,True,0,0,1,1,-8.678947198979587e-15,TARGET_PRESERVED,0.0,1.0,1.0,0.0,1.0,True,1.0,0.0,80000,8a015e3f860296dd3aca796cda326c3703d87c07b3f719b51b1eb7fb9b7d4abb
SMSP|jsr=0|seed=10300|center=2500|Current_FrFT,SMSP,0.0,10300,2500,Current_FrFT,OBSERVABLE_CURRENT_BASELINE,PASS,unified/pass,PASS,26.8110145975549,26.806605928638255,-0.004408668916646263,True,True,True,0,0,1,1,-0.004811247201860116,TARGET_PRESERVED,nan,1.0,nan,1.0,nan,False,0.0,4.882290999375982,80000,8a015e3f860296dd3aca796cda326c3703d87c07b3f719b51b1eb7fb9b7d4abb
SMSP|jsr=0|seed=10300|center=2500|FROZEN_REJECTION_CONFIRMATION,SMSP,0.0,10300,2500,FROZEN_REJECTION_CONFIRMATION,FROZEN_CURRENT_FRFT_NO_STAGE4_CANDIDATE,PASS,unified/pass,PASS,26.8110145975549,26.806605928638255,-0.004408668916646263,True,True,True,0,0,1,1,-0.004811247201860116,TARGET_PRESERVED,nan,1.0,nan,1.0,nan,False,0.0,4.882290999375982,80000,8a015e3f860296dd3aca796cda326c3703d87c07b3f719b51b1eb7fb9b7d4abb
SMSP|jsr=0|seed=10300|center=2500|Oracle_FrFT_UpperBound,SMSP,0.0,10300,2500,Oracle_FrFT_UpperBound,ORACLE_DIAGNOSTIC_ONLY;NOT_FAIR;NOT_RL_ELIGIBLE,ORACLE_DIAGNOSTIC_ONLY,unified/pass,PASS,26.8110145975549,25.785137028626576,-1.0258775689283262,True,True,True,0,0,1,0,-0.913415746172999,TARGET_PRESERVED,0.9,1.0,0.09999999999999998,0.089,0.0,False,0.0,0.0,80000,8a015e3f860296dd3aca796cda326c3703d87c07b3f719b51b1eb7fb9b7d4abb
SMSP|jsr=0|seed=10300|center=3500|Identity,SMSP,0.0,10300,3500,Identity,OBSERVABLE_BASELINE,PASS,unified/pass,PASS,26.844210005442832,26.844210005442832,0.0,True,True,True,0,0,1,1,-8.678947198979587e-15,TARGET_PRESERVED,0.0,1.0,1.0,0.0,1.0,True,1.0,0.0,80000,8a015e3f860296dd3aca796cda326c3703d87c07b3f719b51b1eb7fb9b7d4abb
SMSP|jsr=0|seed=10300|center=3500|Current_FrFT,SMSP,0.0,10300,3500,Current_FrFT,OBSERVABLE_CURRENT_BASELINE,PASS,unified/pass,PASS,26.844210005442832,26.839450599320106,-0.004759406122726517,True,True,True,0,0,1,1,-0.004811247201860116,TARGET_PRESERVED,nan,1.0,nan,1.0,nan,False,0.0,4.337916001531994,80000,8a015e3f860296dd3aca796cda326c3703d87c07b3f719b51b1eb7fb9b7d4abb
SMSP|jsr=0|seed=10300|center=3500|FROZEN_REJECTION_CONFIRMATION,SMSP,0.0,10300,3500,FROZEN_REJECTION_CONFIRMATION,FROZEN_CURRENT_FRFT_NO_STAGE4_CANDIDATE,PASS,unified/pass,PASS,26.844210005442832,26.839450599320106,-0.004759406122726517,True,True,True,0,0,1,1,-0.004811247201860116,TARGET_PRESERVED,nan,1.0,nan,1.0,nan,False,0.0,4.337916001531994,80000,8a015e3f860296dd3aca796cda326c3703d87c07b3f719b51b1eb7fb9b7d4abb
SMSP|jsr=0|seed=10300|center=3500|Oracle_FrFT_UpperBound,SMSP,0.0,10300,3500,Oracle_FrFT_UpperBound,ORACLE_DIAGNOSTIC_ONLY;NOT_FAIR;NOT_RL_ELIGIBLE,ORACLE_DIAGNOSTIC_ONLY,unified/pass,PASS,26.844210005442832,25.850293386720544,-0.9939166187222881,True,True,True,0,0,1,0,-0.913415746172999,TARGET_PRESERVED,0.9,1.0,0.09999999999999998,0.089,0.0,False,0.0,0.0,80000,8a015e3f860296dd3aca796cda326c3703d87c07b3f719b51b1eb7fb9b7d4abb
SMSP|jsr=0|seed=10300|center=4000|Identity,SMSP,0.0,10300,4000,Identity,OBSERVABLE_BASELINE,PASS,unified/pass,PASS,26.805541553683536,26.805541553683536,0.0,True,True,True,0,0,0,0,-8.678947198979587e-15,TARGET_PRESERVED,0.0,1.0,1.0,0.0,1.0,True,1.0,0.0,80000,8a015e3f860296dd3aca796cda326c3703d87c07b3f719b51b1eb7fb9b7d4abb
SMSP|jsr=0|seed=10300|center=4000|Current_FrFT,SMSP,0.0,10300,4000,Current_FrFT,OBSERVABLE_CURRENT_BASELINE,PASS,unified/pass,PASS,26.805541553683536,26.801231701354517,-0.004309852329019037,True,True,True,0,0,0,0,-0.004811247201860116,TARGET_PRESERVED,nan,1.0,nan,1.0,nan,False,0.0,4.487082998821279,80000,8a015e3f860296dd3aca796cda326c3703d87c07b3f719b51b1eb7fb9b7d4abb
SMSP|jsr=0|seed=10300|center=4000|FROZEN_REJECTION_CONFIRMATION,SMSP,0.0,10300,4000,FROZEN_REJECTION_CONFIRMATION,FROZEN_CURRENT_FRFT_NO_STAGE4_CANDIDATE,PASS,unified/pass,PASS,26.805541553683536,26.801231701354517,-0.004309852329019037,True,True,True,0,0,0,0,-0.004811247201860116,TARGET_PRESERVED,nan,1.0,nan,1.0,nan,False,0.0,4.487082998821279,80000,8a015e3f860296dd3aca796cda326c3703d87c07b3f719b51b1eb7fb9b7d4abb
SMSP|jsr=0|seed=10300|center=4000|Oracle_FrFT_UpperBound,SMSP,0.0,10300,4000,Oracle_FrFT_UpperBound,ORACLE_DIAGNOSTIC_ONLY;NOT_FAIR;NOT_RL_ELIGIBLE,ORACLE_DIAGNOSTIC_ONLY,unified/pass,PASS,26.805541553683536,25.80218310976835,-1.003358443915186,True,True,True,0,0,0,0,-0.913415746172999,TARGET_PRESERVED,0.9,1.0,0.09999999999999998,0.089,0.0,False,0.0,0.0,80000,8a015e3f860296dd3aca796cda326c3703d87c07b3f719b51b1eb7fb9b7d4abb
SMSP|jsr=0|seed=10301|center=1000|Identity,SMSP,0.0,10301,1000,Identity,OBSERVABLE_BASELINE,PASS,unified/pass,PASS,26.48579061565824,26.48579061565824,0.0,True,True,True,0,0,0,0,-8.678947198979587e-15,TARGET_PRESERVED,0.0,1.0,1.0,0.0,1.0,True,1.0,0.0,80000,8a015e3f860296dd3aca796cda326c3703d87c07b3f719b51b1eb7fb9b7d4abb
SMSP|jsr=0|seed=10301|center=1000|Current_FrFT,SMSP,0.0,10301,1000,Current_FrFT,OBSERVABLE_CURRENT_BASELINE,PASS,unified/pass,PASS,26.48579061565824,26.486891646963848,0.0011010313056090126,True,True,True,0,0,0,0,-0.004811247201855291,TARGET_PRESERVED,nan,1.0,nan,1.0,nan,False,0.0,4.500208000536077,80000,8a015e3f860296dd3aca796cda326c3703d87c07b3f719b51b1eb7fb9b7d4abb
SMSP|jsr=0|seed=10301|center=1000|FROZEN_REJECTION_CONFIRMATION,SMSP,0.0,10301,1000,FROZEN_REJECTION_CONFIRMATION,FROZEN_CURRENT_FRFT_NO_STAGE4_CANDIDATE,PASS,unified/pass,PASS,26.48579061565824,26.486891646963848,0.0011010313056090126,True,True,True,0,0,0,0,-0.004811247201855291,TARGET_PRESERVED,nan,1.0,nan,1.0,nan,False,0.0,4.500208000536077,80000,8a015e3f860296dd3aca796cda326c3703d87c07b3f719b51b1eb7fb9b7d4abb
SMSP|jsr=0|seed=10301|center=1000|Oracle_FrFT_UpperBound,SMSP,0.0,10301,1000,Oracle_FrFT_UpperBound,ORACLE_DIAGNOSTIC_ONLY;NOT_FAIR;NOT_RL_ELIGIBLE,ORACLE_DIAGNOSTIC_ONLY,unified/pass,PASS,26.48579061565824,25.87095538835861,-0.6148352272996291,True,True,True,0,0,0,0,-0.9134157461729969,TARGET_PRESERVED,0.9,1.0,0.09999999999999998,0.089,0.5318973083343975,False,0.0,0.0,80000,8a015e3f860296dd3aca796cda326c3703d87c07b3f719b51b1eb7fb9b7d4abb
SMSP|jsr=0|seed=10301|center=1500|Identity,SMSP,0.0,10301,1500,Identity,OBSERVABLE_BASELINE,PASS,unified/pass,PASS,26.79673423793713,26.79673423793713,0.0,True,True,True,0,0,0,0,-8.678947198979587e-15,TARGET_PRESERVED,0.0,1.0,1.0,0.0,1.0,True,1.0,0.0,80000,8a015e3f860296dd3aca796cda326c3703d87c07b3f719b51b1eb7fb9b7d4abb
SMSP|jsr=0|seed=10301|center=1500|Current_FrFT,SMSP,0.0,10301,1500,Current_FrFT,OBSERVABLE_CURRENT_BASELINE,PASS,unified/pass,PASS,26.79673423793713,26.795954831967403,-0.0007794059697268096,True,True,True,0,0,0,0,-0.004811247201860116,TARGET_PRESERVED,nan,1.0,nan,1.0,nan,False,0.0,4.431583001860417,80000,8a015e3f860296dd3aca796cda326c3703d87c07b3f719b51b1eb7fb9b7d4abb
